EntrezID,PercInfected.Zscore,CellNumber.Zscore,assigned.value
1,0.657883445,-1.700583489,0
2,0.731033061,-0.64721979,0
9,-0.357658859,-0.058713799,0
10,1.750714007,-0.888765532,0
12,-0.415213283,-0.535088329,0
13,0.687149066,-0.055439726,0
14,0.638815637,-0.501239108,0
15,-0.933650577,-1.700583489,0
16,-1.306137263,-0.939449726,0
18,-0.507635549,-0.094201569,0
19,-0.861350247,0.88930403,0
20,1.775343503,-0.835216374,0
21,-0.493439039,-0.270508252,0
22,0.626162431,-1.104166871,0
23,1.639893799,-0.801885691,0
24,-0.234414817,0.597367024,0
25,0.443276848,0.472480516,0
26,-0.895065974,0.943427584,0
27,-0.901259564,1.239856167,0
28,1.272663083,-0.48688783,0
29,0.923489964,-0.343815937,0
30,1.748032935,-1.191943135,0
31,0.26105619,0.351541652,0
32,1.055890178,0.862185025,0
33,-0.86008375,-1.574521982,0
34,0.725933153,-0.204129015,0
35,1.959501856,-0.303535503,0
36,0.902157254,-0.658549819,0
37,0.302995313,0.174122889,0
38,0.796422793,0.270123992,0
39,-1.638702638,-0.032239758,0.5
40,0.285396759,-0.501089276,0
41,0.454708889,-0.903968516,0
43,0.802988454,0.491723217,0
47,0.894920427,-0.473819024,0
48,1.267407113,0.204113277,0
49,-1.776449071,0.625564476,0.5
50,1.301269539,0.073551522,0
51,1.254605454,0.270123992,0
52,-0.170295509,0.758631544,0
53,-0.260921809,0.407804662,0
54,-1.107061082,0.919853727,0
55,-1.28549262,1.044387554,0
56,0.759470723,-0.200292861,0
58,-1.666112389,0.393968879,0.5
59,-1.62295235,1.062924543,0.5
60,1.614050592,-1.321401731,0
70,-0.543951369,1.049270978,0
71,0.189769297,1.062924543,0
72,0.189769297,-0.091245586,0
81,0.103522842,-0.068428707,0
86,-0.371311212,-0.859827609,0
87,1.148802021,-0.632710201,0
88,-0.539725884,1.288376556,0
89,-1.625208108,0.968342068,0.5
90,-0.901259564,0.748483599,0
91,-0.412337232,-0.350301062,0
92,0.687738014,0.049232097,0
93,0.687738014,-1.315361326,0
94,0.382161557,-0.676743422,0
95,-1.28302159,-0.283027845,0
97,-1.068210711,1.155819853,0
98,-0.262800659,0.255534688,0
100,0.091526392,0.740420495,0
101,-0.493439039,-0.585713603,0
102,-3.435673997,1.513583032,1
103,-0.188677205,0.977288104,0
104,0.217671907,-0.705752908,0
105,-0.967513003,0.586542518,0
107,-0.391851761,0.453301408,0
108,-0.662751169,-0.319035653,0
109,-0.188677205,0.600704087,0
111,1.030370131,1.730105521,0
112,-1.339999689,0.453301408,0
113,0.962645279,-0.155089686,0
114,0.183809481,1.426462146,0
115,-1.069100281,1.075325616,0
116,0.827195575,-1.43815654,0
117,1.15238996,-2.08927439,0
118,-0.66033502,0.418923009,0
119,-0.098870423,-0.421769748,0
120,0.384944159,0.294519101,0
123,-0.493439039,1.534006802,0
124,1.489435989,-0.049564676,0
125,1.872016916,-1.305418242,0
126,1.272663083,-0.912672137,0
127,1.12598901,-1.179812713,0
128,2.486392838,-1.485979424,0
130,-0.510128921,1.137886621,0
131,-0.160388686,0.49613234,0
132,0.198815682,-0.20698652,0
133,-0.473999233,0.551099228,0
134,1.15238996,-0.778474561,0
135,0.387561907,-1.408684114,0
136,1.387721668,-0.338863167,0
140,0.152230199,-1.145760194,0
141,-0.389262527,0.467261722,0
142,0.336077111,-0.986335422,0
143,-0.225676988,0.887307798,0
146,0.799392397,-1.716886518,0
147,-0.092648778,-0.257589366,0
148,-0.37996632,1.120307811,0
150,1.740719231,-0.916499248,0
151,-1.142094198,1.542625361,0
152,-0.965595416,-1.105456569,0
153,0.799392397,0.177076163,0
154,-1.189046205,-1.014732177,0
155,0.975891179,-0.530710797,0
156,-0.930003943,1.118666832,0
157,-0.80206745,0.772449834,0
158,0.620198693,-0.042582461,0
159,-0.208618439,0.907902874,0
160,1.944655633,0.761789271,0
161,0.014497351,0.628667683,0
162,-0.899788151,0.977288104,0
163,-1.223177655,1.056599972,0
164,0.962645279,0.774529201,0
165,0.319259185,1.197589887,0
166,0.386984037,-0.420594645,0
167,0.972300506,-0.7717021,0
172,-0.100231986,0.467261722,0
173,0.353121611,0.908535961,0
174,0.264335023,0.257434182,0
175,-0.155187348,0.270123992,0
176,1.29453658,-0.050270603,0
177,-0.543951369,0.863051204,0
178,1.477060966,-1.582663177,0
181,0.48415357,0.009705809,0
182,-0.114661075,0.662978469,0
183,0.880329925,-0.290774375,0
185,-0.259600291,1.257039092,0
186,-1.503752119,1.541653879,0.5
187,-0.789096635,0.497548415,0
189,0.796422793,-0.24297142,0
190,-0.797065609,0.897436476,0
191,-1.17728713,0.996787839,0
196,-1.070027423,0.862551984,0
197,2.48645445,0.79971767,0
199,0.884710991,-0.071298468,0
202,-0.933650577,0.761789271,0
203,-0.473452523,0.237877565,0
204,0.687738014,-1.49455835,0
205,0.809968597,-0.03216719,0
207,-2.84917544,1.099022822,1
208,1.36000622,-0.426503027,0
210,-0.76102275,-0.277111569,0
211,-0.290264483,1.147742813,0
212,1.289850274,0.740420495,0
213,-0.848790739,0.630921095,0
214,0.359177117,-0.889571214,0
215,-1.062365473,0.764253407,0
216,0.336077111,-1.439311274,0
217,-1.10679749,0.605379787,0
218,-0.472390729,-0.553862982,0
219,-1.741204251,1.184689701,0.5
220,0.937402074,-0.303535503,0
221,-0.613370009,0.510395504,0
222,-1.10679749,0.431322777,0
223,1.433176971,-0.251251664,0
224,1.12598901,0.663929548,0
225,-0.053227501,1.451909633,0
226,-1.10679749,-2.122377525,0
229,2.135320882,-0.32984116,0
230,-0.76102275,-0.175591661,0
231,0.02888915,0.851445087,0
238,0.321046265,0.748483599,0
239,-0.324126909,1.980356675,0
240,2.793580799,-2.085764419,0
241,-0.425714187,1.106751569,0
242,-0.335258803,0.421233449,0
244,0.862685044,-1.262680346,0
246,-0.324126909,1.657414791,0
247,0.451656725,-0.382662096,0
248,-0.585486772,-0.30330516,0
249,-0.606035433,1.003497713,0
250,1.257640994,-1.962697946,0
251,0.658473184,-0.438804808,0
257,0.229118183,0.072099141,0
258,-0.798200873,-0.369033802,0
259,0.116084629,-0.343845333,0
262,-0.933650577,-0.61491459,0
265,-1.20650833,0.662978469,0
266,0.183809481,0.358093494,0
267,0.32039122,0.535471799,0
268,0.942400562,-1.906627162,0
269,0.259930974,0.00899499,0
270,-0.409950794,-0.150985601,0
271,0.082222203,0.422171943,0
272,0.197260852,0.542845371,0
273,1.335131965,-0.111092074,0
274,-1.155978699,1.918043583,0
275,1.148870994,-0.743088231,0
276,0.319259185,-0.528817873,0
279,1.335131965,-0.132944217,0
280,0.420846463,-0.068237387,0
283,0.87524609,0.404161838,0
284,0.859082927,-0.889571214,0
285,0.567471205,0.347042292,0
286,0.425147205,0.21961486,0
287,0.431262552,-0.498842178,0
288,0.340275281,0.043333964,0
290,-0.058878839,0.364604175,0
291,-0.552603887,0.302123669,0
292,-0.146646828,-0.52599123,0
293,1.538306521,0.186082358,0
301,-1.024326716,-0.200499643,0
302,-0.146646828,-0.251251664,0
303,-1.814073653,0.308346629,0.5
305,1.131957409,1.329645361,0
306,-1.709272428,0.356013547,0.5
307,1.040234022,0.040366135,0
308,-1.005188527,1.027611614,0
309,0.072773144,0.402197381,0
310,0.46535025,-0.113367564,0
311,1.130606344,-1.074135008,0
312,0.556850519,-0.114134661,0
313,0.267750492,-0.389013924,0
314,-0.256402057,-0.005972916,0
316,-0.772434097,0.436474906,0
317,-0.969922621,1.027611614,0
318,-1.389491126,0.832685221,0
319,-0.453834789,-2.507267159,0
320,0.624021019,1.356618376,0
321,0.725608297,0.034268413,0
322,0.556850519,0.109361727,0
323,-0.087089927,0.274328668,0
324,-0.508696013,0.011325607,0
325,0.884710991,-0.528559006,0
326,-1.03630785,1.290264714,0
327,-1.638702638,1.280397286,0.5
328,0.555497083,0.924737348,0
329,-0.794805891,0.438220459,0
330,0.32039122,0.387640547,0
331,-0.616374353,0.551202211,0
332,-0.405668125,-2.681125484,0
333,1.130606344,-0.613199092,0
334,-0.017743159,0.850661847,0
335,0.666365477,-0.329804199,0
336,1.345408983,-1.179812713,0
337,0.248309122,0.227258803,0
338,0.862685044,-0.30330516,0
339,1.257640994,-0.710661675,0
341,-1.625208108,0.18103146,0.5
343,1.389292977,-0.616227201,0
344,1.052970082,-1.859799286,0
345,0.687149066,-0.383977037,0
346,-0.338710657,-0.136239854,0
347,1.301524988,0.439107036,0
348,-0.014994844,0.247457727,0
350,1.038221022,-0.175591661,0
351,-0.017743159,0.377987281,0
353,-0.497718783,-0.710661675,0
354,-0.322061948,0.695553911,0
355,0.942400562,0.287775063,0
356,0.158300738,0.85075868,0
357,0.149947055,-0.737178861,0
358,-1.142771564,0.806853241,0
359,0.384944159,0.486534081,0
360,-0.017086294,0.503069365,0
361,0.987989839,0.764253407,0
362,0.947786794,-0.51692849,0
363,0.063319796,0.200420594,0
364,0.746771567,0.161443459,0
366,1.345408983,0.247457727,0
367,0.112807103,0.931601648,0
368,1.108598975,0.599382882,0
369,0.321046265,-0.53342888,0
372,-2.660634303,-4.045603599,0
373,-0.4825507,1.103691315,0
374,0.275859482,-0.535419382,0
375,-2.911338476,0.227258803,1
377,1.345408983,-0.496782451,0
378,-1.199862694,-0.078907907,0
379,0.550086731,-1.636010478,0
381,-0.3660668,-0.32984116,0
382,-0.497718783,0.836463653,0
383,-0.064103169,0.417012339,0
384,0.082222203,0.274328668,0
387,2.398624849,-1.582663177,0
388,-0.280876074,-0.980698773,0
389,-0.932391722,1.207450504,0
390,1.477060966,-0.175591661,0
391,0.622344366,-0.200443571,0
392,-1.018711801,-0.398253488,0
393,-0.888052881,1.59967641,0
394,0.837169886,-0.139352581,0
395,0.65873073,0.155080941,0
396,-0.053009065,0.675707593,0
397,-0.198671056,0.237780937,0
398,0.966650003,-0.825636624,0
399,0.299649995,0.842017372,0
400,1.030370131,0.931773143,0
401,0.384737941,0.443696717,0
402,0.617043149,-1.341602201,0
403,1.328888741,-0.142125201,0
405,-0.433116525,0.293240278,0
406,0.567743459,0.276587353,0
407,0.708020612,1.039186555,0
408,0.74055947,-0.237797793,0
409,1.08484843,1.389950093,0
410,0.586215549,-1.207293952,0
411,0.369442643,0.338070344,0
412,0.364221666,0.405856511,0
414,1.210457703,2.06770728,0
415,2.31085686,-1.903853968,0
416,0.488571315,0.358093494,0
417,0.091526392,0.407804662,0
419,1.113626174,-0.930990093,0
420,0.091526392,0.785397085,0
421,-0.13769543,0.503069365,0
427,0.479219413,-1.691120627,0
429,-0.229338595,-0.695743395,0
430,-0.222539631,0.572258336,0
432,1.959784905,-1.439311274,0
433,-0.265705145,-1.31565138,0
434,0.067565395,-0.206881019,0
435,-0.058878839,0.420736095,0
438,-1.277672036,1.269947933,0
439,-0.154814779,0.221949263,0
440,-0.78959411,0.174122889,0
443,-0.190432168,-0.528974796,0
444,2.351004745,0.221949263,0
445,0.513957913,0.907902874,0
460,0.522433741,0.390443799,0
462,1.040234022,0.148202048,0
463,-1.322581682,1.03511013,0
466,-1.498911212,1.5221147,0.5
467,-1.146252152,1.19662584,0
468,1.004968116,-1.167879361,0
471,0.620198693,-0.042582461,0
472,0.198815682,0.255693393,0
473,0.723120634,-0.463559265,0
474,-1.170687559,1.085867586,0
475,-1.170687559,-0.132944217,0
476,0.149947055,-1.254655077,0
477,0.233069078,-0.407200013,0
478,0.996507705,-0.473819024,0
479,0.556296167,0.669743979,0
480,0.082222203,-0.026467747,0
481,-0.764338447,-0.528817873,0
482,1.131957409,1.032470929,0
483,-0.764338447,-0.939449726,0
486,-1.564980151,-1.322398145,0.5
487,-0.859869155,0.390341662,0
488,-0.3660668,0.101653275,0
489,-1.384479508,1.01202064,0
490,1.233544687,0.86105606,0
491,-1.475449393,0.79971767,0.5
492,-0.595026317,0.453301408,0
493,-1.204549985,-0.200292861,0
495,0.014497351,0.656165197,0
496,0.691745871,-0.005972916,0
498,0.590158593,0.073551522,0
501,-1.318266411,0.75860096,0
506,3.231427822,0.130776196,0
509,0.511613089,-1.179812713,0
513,-0.256402057,0.204113277,0
514,0.082222203,0.5578494,0
515,-1.069100281,-2.233099122,0
516,0.827195575,0.683211912,0
517,2.65576658,-0.005972916,0
518,-0.154814779,-0.319035653,0
521,-0.188677205,-1.818477393,0
522,0.902157254,0.665004551,0
523,0.116084629,-0.111092074,0
525,-1.25332692,0.81640915,0
526,-0.527301465,-0.528817873,0
527,-1.069100281,0.873054751,0
528,0.116084629,0.167852198,0
529,-0.933650577,1.47697056,0
533,-0.595026317,0.014270438,0
534,-0.222539631,0.656165197,0
535,-1.712486375,1.167862729,1
537,-1.069100281,0.422171943,0
538,-0.510128921,0.065568526,0
539,1.267407113,0.528648413,0
540,-1.952807389,1.137886621,0.5
545,0.382161557,-0.898856704,0
546,0.906569038,-0.467987996,0
547,0.141959683,0.995559528,0
549,-0.425391345,0.378099968,0
550,0.759470723,0.204113277,0
551,1.48396519,-0.206881019,0
552,0.154094752,0.169651237,0
553,0.160941845,0.573281198,0
554,0.858225324,-0.41858455,0
558,1.665582677,0.456705295,0
563,0.522433741,0.86105606,0
566,-0.351221941,0.472480516,0
567,-0.146646828,0.247457727,0
570,1.360339914,-1.233969893,0
571,1.004968116,0.562506771,0
572,-0.672626248,1.044400814,0
573,-0.322182805,-1.393691937,0
574,1.233544687,-0.343845333,0
575,-0.789096635,0.810892063,0
576,-0.906762489,1.299239529,0
577,0.211063126,0.076858148,0
578,-0.585486772,-0.949758304,0
579,-0.405668125,-0.58726486,0
580,-1.107061082,0.64291666,0
581,-0.453834789,0.910289065,0
582,1.301524988,-0.175591661,0
583,0.379961105,-0.009301942,0
585,2.047552893,-0.078907907,0
586,0.373484953,-1.073548132,0
587,-0.754349289,-2.408380901,0
590,-0.317004892,0.515762941,0
593,-0.331411449,-1.819397724,0
594,0.479219413,-2.408380901,0
595,-1.063232085,0.60388964,0
596,-1.246382073,1.340180088,0
597,-0.190530822,0.493242913,0
598,1.301524988,-2.023298718,0
599,1.608712949,-1.220823706,0
602,0.511613089,-0.30330516,0
604,-1.181518058,-2.069656048,0
605,-0.426730895,0.390342498,0
607,-2.077542582,-0.009301942,1
608,1.608941642,-1.31565138,0
610,-0.804906744,0.995475345,0
611,-1.429665392,-1.715870258,0.5
613,1.604467386,-1.978506681,0
617,-1.328347191,0.687610965,0
622,-0.93057339,0.828848747,0
623,0.505227762,0.215646161,0
624,1.020866381,-0.177380656,0
627,0.796835345,-2.960675677,0
629,2.523418977,-0.930990093,0
631,0.894920427,0.186082358,0
632,0.962645279,0.274328668,0
633,0.340275281,0.225600186,0
634,-0.222539631,1.264938531,0
635,1.007891714,0.532119774,0
636,0.599381077,-0.776150422,0
637,-0.453834789,0.364604175,0
638,0.4238451,-0.616227201,0
639,-1.408690336,1.386815043,0.5
640,-0.167876066,0.237877565,0
641,-1.220225333,1.290901551,0
642,-0.980442722,1.181354468,0
643,0.152230199,-0.589517239,0
644,-0.155187348,-0.411304943,0
645,0.248309122,-0.175591661,0
646,2.02767939,-1.251843251,0
648,-1.017845313,1.161181218,0
649,0.923489964,0.001736699,0
650,0.796835345,-1.82842805,0
651,1.247767534,-1.31959454,0
652,0.616462469,-1.82842805,0
653,2.104538693,-1.95115809,0
654,0.661555688,-0.173733977,0
655,2.23981835,-2.745709259,0
656,0.436089593,-2.960675677,0
657,0.748853305,-0.400740339,0
658,1.298890929,-0.618034033,0
659,-1.206836021,0.219882681,0
660,-0.473452523,0.665831574,0
661,-1.678404161,0.911756596,0.5
662,0.687149066,-0.126674231,0
663,-0.457631291,0.591118706,0
664,-0.754591366,0.941314391,0
665,-0.409950794,0.345543236,0
666,-0.673254761,0.057996214,0
667,-0.888052881,0.136971994,0
668,0.405447713,-0.245931903,0
669,0.467729094,-0.878523799,0
670,1.078381354,0.419617661,0
671,-1.419282666,2.021284904,0.5
672,-0.259511277,-0.075033829,0
673,0.382161557,0.734970508,0
675,-0.194072689,-2.681125484,0
676,-0.290106649,0.679874594,0
677,0.972646894,-0.042582461,0
678,-0.019365075,-0.111092074,0
680,0.975891179,-0.619659727,0
682,-1.363992114,0.832853477,0
683,0.996507705,0.572258336,0
684,-0.087089927,-0.939449726,0
685,-1.339999689,-1.089536119,0
686,0.248309122,0.206856872,0
687,1.181297646,-1.127845779,0
688,0.553929287,-0.181219672,0
689,-0.673254761,-1.582663177,0
