SCORE,EntrezID
1,100129
1,102075
1,104174
1,109225
1,110058
1,11489
1,11568
1,11609
1,11827
1,12035
1,12051
1,12061
1,12326
1,12338
1,12630
1,12661
1,12738
1,12774
1,12825
1,12831
1,12931
1,13008
1,13123
1,13175
1,140497
1,14115
1,14119
1,14585
1,15945
1,16010
1,16156
1,16190
1,16516
1,17150
1,17174
1,17242
1,17384
1,17386
1,17390
1,17392
1,17474
1,17476
1,18126
1,18552
1,192199
1,19288
1,20208
1,20209
1,20307
1,20311
1,20319
1,20377
1,20568
1,20613
1,20717
1,208777
1,213053
1,21333
1,214305
1,215900
1,21857
1,22262
1,223332
1,22355
1,22403
1,226075
1,228801
1,230971
1,232313
1,233744
1,234356
1,23850
1,239405
1,239849
1,240913
1,242050
1,269152
1,269855
1,27052
1,320452
1,329278
1,385643
1,432763
1,50490
1,50706
1,545260
1,56620
1,56710
1,574428
1,59058
1,60440
1,68588
1,68655
1,70021
1,70358
1,72709
1,74488
1,74748
1,76293
1,77125
1,81840
0.5,100039796
0.5,100952
0.5,106878
0.5,108153
0.5,108797
0.5,11307
0.5,11810
0.5,12394
0.5,12703
0.5,12816
0.5,12818
0.5,12832
0.5,12842
0.5,13003
0.5,13040
0.5,13612
0.5,13717
0.5,13723
0.5,13823
0.5,13844
0.5,14086
0.5,14129
0.5,14314
0.5,14456
0.5,14726
0.5,14758
0.5,14783
0.5,15117
0.5,15251
0.5,15439
0.5,16000
0.5,16777
0.5,16790
0.5,17022
0.5,171285
0.5,17387
0.5,17748
0.5,17750
0.5,19130
0.5,20344
0.5,20502
0.5,20716
0.5,21336
0.5,216161
0.5,216188
0.5,21789
0.5,21826
0.5,21828
0.5,233067
0.5,23887
0.5,242509
0.5,244954
0.5,269116
0.5,271127
0.5,30944
0.5,319480
0.5,329628
0.5,381413
0.5,434341
0.5,50781
0.5,55963
0.5,56401
0.5,57875
0.5,58203
0.5,58223
0.5,58859
0.5,59126
0.5,64817
0.5,66695
0.5,667742
0.5,68774
0.5,68797
0.5,69195
0.5,69219
0.5,69538
0.5,72640
0.5,72713
0.5,94352
0,11287
0,11298
0,11302
0,11303
0,11304
0,11305
0,11308
0,11350
0,11352
0,11354
0,11363
0,11364
0,11370
0,11409
0,11416
0,11418
0,11419
0,11421
0,11423
0,11425
0,11428
0,11429
0,11430
0,11431
0,11432
0,11433
0,11434
0,11435
0,11438
0,11440
0,11441
0,11443
0,11444
0,11447
0,11448
0,11449
0,11450
0,11451
0,11459
0,11461
0,11464
0,11465
0,11468
0,11470
0,11471
0,11472
0,11474
0,11475
0,11477
0,11479
0,11480
0,11481
0,11482
0,11484
0,11486
0,11487
0,11488
0,11490
0,11491
0,11492
0,11495
0,11496
0,11497
0,11498
0,11499
0,11500
0,11501
0,11502
0,11504
0,11512
0,11513
0,11514
0,11515
0,11516
0,11517
0,11518
0,11519
0,11520
0,11522
0,11529
0,11532
0,11534
0,11535
0,11536
0,11537
0,11539
0,11540
0,11541
0,11542
0,11544
0,11545
0,11546
0,11548
0,11549
0,11550
0,11551
0,11552
0,11553
0,11554
0,11555
0,11556
0,11564
0,11565
0,11566
0,11567
0,11569
0,11571
0,11572
0,11576
0,11593
0,11595
0,11596
0,11600
0,11601
0,11602
0,11603
0,11604
0,11605
0,11606
0,11607
0,11608
0,11610
0,11611
0,11614
0,11622
0,11624
0,11625
0,11628
0,11629
0,11630
0,11632
0,11634
0,11636
0,11637
0,11639
0,11640
0,11641
0,11642
0,11643
0,11647
0,11648
0,11650
0,11651
0,11652
0,11655
0,11656
0,11657
0,11658
0,11666
0,11668
0,11669
0,11670
0,11671
0,11674
0,11676
0,11677
0,11682
0,11684
0,11685
0,11686
0,11687
0,11688
0,11689
0,11690
0,11692
0,11694
0,11695
0,11698
0,11699
0,11702
0,11704
0,11705
0,11717
0,11720
0,11722
0,11723
0,11727
0,11730
0,11731
0,11732
0,11733
0,11735
0,11736
0,11737
0,11740
0,11744
0,11745
0,11746
0,11747
0,11749
0,11750
0,11752
0,11754
0,11757
0,11758
0,11761
0,11764
0,11765
0,11766
0,11767
0,11768
0,11769
0,11770
0,11771
0,11772
0,11773
0,11774
0,11775
0,11776
0,11777
0,11778
0,11781
0,11782
0,11783
0,11784
0,11785
0,11787
0,11789
0,11790
0,11792
0,11793
0,11796
0,11797
0,11798
0,11799
0,11800
0,11801
0,11803
0,11804
0,11806
0,11807
0,11808
0,11811
0,11812
0,11813
0,11814
0,11815
0,11816
0,11818
0,11819
0,11820
0,11821
0,11826
0,11828
0,11829
0,11830
0,11831
0,11832
0,11833
0,11834
0,11835
0,11836
0,11837
0,11838
0,11839
0,11840
0,11841
0,11842
0,11843
0,11844
0,11845
0,11846
0,11847
0,11848
0,11852
0,11853
0,11854
0,11855
0,11856
0,11857
0,11858
0,11859
0,11861
0,11863
0,11864
0,11865
0,11867
0,11870
0,11871
0,11872
0,11875
0,11876
0,11877
0,11878
0,11881
0,11883
0,11886
0,11889
0,11890
0,11891
0,11898
0,11899
0,11905
0,11906
0,11907
0,11908
0,11909
0,11910
0,11911
0,11920
0,11921
0,11922
0,11923
0,11924
0,11925
0,11927
0,11928
0,11931
0,11932
0,11933
0,11936
0,11937
0,11938
0,11941
0,11944
0,11945
0,11946
0,11947
0,11949
0,11950
0,11951
0,11957
0,11958
0,11964
0,11966
0,11972
0,11973
0,11974
0,11975
0,11977
0,11979
0,11980
0,11981
0,11982
0,11983
0,11984
0,11987
0,11988
0,11989
0,11990
0,11991
0,11992
0,11993
0,11994
0,11997
0,11998
0,12000
0,12005
0,12006
0,12007
0,12009
0,12010
0,12012
0,12013
0,12014
0,12015
0,12017
0,12018
0,12020
0,12021
0,12022
0,12023
0,12028
0,12029
0,12032
0,12033
0,12034
0,12036
0,12038
0,12039
0,12040
0,12041
0,12042
0,12043
0,12046
0,12048
0,12049
0,12050
0,12053
0,12054
0,12055
0,12057
0,12062
0,12064
0,12068
0,12069
0,12070
0,12075
0,12091
0,12095
0,12111
0,12116
0,12121
0,12122
0,12123
0,12124
0,12125
0,12140
0,12142
0,12143
0,12144
0,12145
0,12151
0,12153
0,12154
0,12155
0,12156
0,12159
0,12160
0,12161
0,12162
0,12163
0,12164
0,12165
0,12166
0,12167
0,12168
0,12169
0,12173
0,12175
0,12176
0,12177
0,12180
0,12181
0,12182
0,12183
0,12189
0,12190
0,12192
0,12193
0,12209
0,12211
0,12212
0,12215
0,12217
0,12223
0,12224
0,12226
0,12227
0,12228
0,12229
0,12231
0,12234
0,12235
0,12236
0,12237
0,12238
0,12257
0,12258
0,12259
0,12260
0,12261
0,12262
0,12263
0,12265
0,12266
0,12267
0,12268
0,12269
0,12273
0,12274
0,12279
0,12282
0,12283
0,12286
0,12287
0,12288
0,12289
0,12290
0,12291
0,12292
0,12293
0,12294
0,12295
0,12296
0,12297
0,12298
0,12299
0,12300
0,12301
0,12304
0,12305
0,12306
0,12307
0,12308
0,12309
0,12311
0,12313
0,12314
0,12315
0,12316
0,12317
0,12319
0,12321
0,12322
0,12323
0,12325
0,12328
0,12330
0,12331
0,12332
0,12333
0,12334
0,12335
0,12336
0,12337
0,12339
0,12340
0,12343
0,12344
0,12345
0,12346
0,12348
0,12349
0,12350
0,12351
0,12352
0,12353
0,12354
0,12355
0,12359
0,12361
0,12362
0,12363
0,12364
0,12365
0,12366
0,12367
0,12368
0,12369
0,12370
0,12371
0,12372
0,12373
0,12374
0,12380
0,12385
0,12386
0,12387
0,12388
0,12389
0,12390
0,12391
0,12393
0,12395
0,12396
0,12398
0,12399
0,12400
0,12401
0,12402
0,12404
0,12405
0,12406
0,12408
0,12409
0,12411
0,12412
0,12416
0,12417
0,12418
0,12419
0,12421
0,12424
0,12425
0,12426
0,12427
0,12428
0,12442
0,12443
0,12444
0,12445
0,12447
0,12448
0,12449
0,12450
0,12452
0,12453
0,12454
0,12455
0,12457
0,12458
0,12460
0,12461
0,12462
0,12464
0,12465
0,12466
0,12467
0,12468
0,12469
0,12475
0,12476
0,12477
0,12478
0,12479
0,12480
0,12481
0,12482
0,12483
0,12484
0,12487
0,12488
0,12489
0,12490
0,12491
0,12492
0,12493
0,12494
