"","name","imports","weights","datasource","Confidence","Color"
"1","RNA transport.EIF2S1","Novel.EIF4H",900,"database","High","#ff0000"
"2","RNA transport.EIF2S1","Novel.MAX",900,"database","High","#ff0000"
"3","RNA transport.EIF2S1","Novel.RPL37",900,"database","High","#ff0000"
"4","RNA transport.EIF2S1","Novel.DNTTIP1",417,"experimental","High","#ff0000"
"5","RNA transport.EIF2S1","Novel.RPL36AL",900,"database","High","#ff0000"
"6","RNA transport.EIF2S1","Novel.YBX1",503,"experimental","High","#ff0000"
"7","RNA transport.EIF2S1","Novel.RPL23A",900,"database","High","#ff0000"
"8","RNA transport.EIF2S1","Novel.RPS2",900,"database","High","#ff0000"
"9","RNA transport.EIF2S1","Novel.RPS8",900,"database","High","#ff0000"
"10","RNA transport.EIF2S1","Novel.RPL19",900,"database","High","#ff0000"
"11","RNA transport.EIF2S1","Novel.EIF2AK2",900,"database","High","#ff0000"
"12","RNA transport.EIF2S1","Novel.RPL27",900,"database","High","#ff0000"
"13","RNA transport.EIF2S1","Novel.RPS27A",900,"database","High","#ff0000"
"14","RNA transport.EIF2S1","Novel.RPL4",900,"database","High","#ff0000"
"15","RNA transport.EIF2S1","Novel.RPLP2",900,"database","High","#ff0000"
"16","RNA transport.EIF2S1","Novel.RPL3",900,"database","High","#ff0000"
"17","RNA transport.EIF2S1","Novel.RPL24",900,"database","High","#ff0000"
"18","RNA transport.EIF2S1","Novel.RPL31",900,"database","High","#ff0000"
"19","RNA transport.EIF2S1","Novel.RPL26L1",900,"database","High","#ff0000"
"20","RNA transport.EIF2S1","Novel.RPL3L",900,"database","High","#ff0000"
"21","RNA transport.EIF2S1","Novel.RPL32",900,"database","High","#ff0000"
"22","RNA transport.EIF2S2","Novel.EIF4H",900,"database","High","#ff0000"
"23","RNA transport.EIF2S2","Novel.RPL37",900,"database","High","#ff0000"
"24","RNA transport.EIF2S2","Novel.RPL36AL",900,"database","High","#ff0000"
"25","RNA transport.EIF2S2","Novel.RD3",429,"experimental","High","#ff0000"
"26","RNA transport.EIF2S2","Novel.RPL23A",900,"database","High","#ff0000"
"27","RNA transport.EIF2S2","Novel.RPS2",900,"database","High","#ff0000"
"28","RNA transport.EIF2S2","Novel.RPS8",900,"database","High","#ff0000"
"29","RNA transport.EIF2S2","Novel.RPL19",900,"database","High","#ff0000"
"30","RNA transport.EIF2S2","Novel.EIF2AK2",900,"database","High","#ff0000"
"31","RNA transport.EIF2S2","Novel.RPL27",900,"database","High","#ff0000"
"32","RNA transport.EIF2S2","Novel.RPS27A",900,"database","High","#ff0000"
"33","RNA transport.EIF2S2","Novel.RPL4",900,"database","High","#ff0000"
"34","RNA transport.EIF2S2","Novel.RPLP2",900,"database","High","#ff0000"
