"","Node1","Parent1","Name1","Connections1","Confidence","Node2","Parent2","Name2","Connections2","Weight","Source"
"1","RNA transport.UBE2I","RNA transport","UBE2I","24","Medium","Novel Genes.BIRC5","Novel Genes","BIRC5","9","900","database"
"2","Novel Genes.BIRC5","Novel Genes","BIRC5","9","Medium","RNA transport.NUP155","RNA transport","NUP155","17","900","database"
"3","RNA transport.NUP155","RNA transport","NUP155","17","Medium","Novel Genes.POLDIP3","Novel Genes","POLDIP3","12","900","database"
"4","Novel Genes.POLDIP3","Novel Genes","POLDIP3","12","Medium",NA,NA,NA,NA,NA,NA
