"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","replicate1","replicate2","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"KRTDAP",388533,5,0.31922,0.53601,0.995379,11508,3,-0.58072,0.18153,0.32158,0.990367,6936,2,-0.58072,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"KSR1",8844,5,0.12387,0.29854,0.995379,6261,2,0.12567,0.27466,0.41475,0.990367,9153,1,0.12567,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"KSR2",283455,6,0.88061,0.92327,0.998285,19861,1,-0.050246,0.4703,0.61488,0.990367,13008,2,-0.050246,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"KTI12",112970,6,0.96383,0.96426,0.998985,20933,1,0.38437,0.0082938,0.032287,0.973334,653,2,0.38437,0,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"KTN1",3895,6,0.86741,0.91922,0.998285,19735,1,0.72218,0.51357,0.65431,0.990367,13792,2,0.72218,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"KXD1",79036,6,0.27077,0.51291,0.995379,10504,2,1.0301,0.022308,0.069821,0.990367,1405,3,1.0301,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"KY",339855,5,0.17779,0.36761,0.995379,8016,3,-0.9255,0.69613,0.71598,0.991961,16065,1,-0.9255,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"KYNU",8942,6,0.3223,0.56067,0.995379,11583,3,-0.38042,0.62436,0.71203,0.991961,15183,1,-0.38042,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"L1CAM",3897,6,0.12613,0.30629,0.995379,6321,2,1.4871,0.11195,0.24053,0.990367,4885,3,1.4871,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"L1TD1",54596,6,0.28971,0.53047,0.995379,10903,2,0.57339,0.12743,0.26387,0.990367,5349,3,0.57339,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"L2HGDH",79944,6,0.020298,0.075423,0.995379,1549,5,-2.0374,0.96877,0.96877,0.999983,20989,0,-2.0374,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"L3HYPDH",112849,6,0.58378,0.77455,0.99581,16290,2,1.4262,0.046573,0.12992,0.990367,2577,3,1.4262,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"L3MBTL1",26013,6,0.18348,0.39886,0.995379,8182,4,-0.79124,0.97658,0.97671,0.999983,21155,0,-0.79124,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"L3MBTL2",83746,6,0.040455,0.13408,0.995379,2725,4,-1.6785,0.22458,0.40393,0.990367,8156,1,-1.6785,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"L3MBTL3",84456,6,0.7192,0.84417,0.995872,18015,2,0.60426,0.6374,0.71772,0.992015,15334,1,0.60426,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"L3MBTL4",91133,5,0.055805,0.15766,0.995379,3534,2,-0.36841,0.81376,0.81395,0.992362,17878,0,-0.36841,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LACC1",144811,5,0.61784,0.76201,0.99581,16700,1,0.11295,0.56282,0.63687,0.990367,14530,1,0.11295,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LACRT",90070,6,0.14213,0.33302,0.995379,6840,4,-2.2345,0.87969,0.87974,0.997442,19134,0,-2.2345,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LACTB",114294,6,0.020795,0.076941,0.995379,1580,5,-4.0043,0.95873,0.95873,0.999358,20812,0,-4.0043,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LACTB2",51110,6,0.060665,0.18784,0.995379,3811,4,-1.8249,0.69475,0.74505,0.992015,16044,1,-1.8249,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAD1",3898,6,0.44911,0.6744,0.995579,14118,3,0.50682,0.14361,0.28838,0.990367,5874,3,0.50682,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAG3",3902,6,0.31302,0.55205,0.995379,11370,2,0.45004,0.10357,0.22766,0.990367,4594,2,0.45004,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAGE3",8270,6,0.34663,0.58285,0.995379,12083,3,-0.65942,0.11252,0.24141,0.990367,4905,1,-0.65942,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAIR1",3903,6,0.15481,0.3537,0.995379,7266,4,-0.83417,0.738,0.76878,0.992015,16654,1,-0.83417,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAIR2",3904,5,0.030395,0.097932,0.995379,2151,4,-1.9789,0.14641,0.28672,0.990367,5957,1,-1.9789,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LALBA",3906,6,0.1612,0.36402,0.995379,7483,2,0.20635,0.91917,0.9194,0.99901,19920,0,0.20635,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LAMA1",284217,6,0.73939,0.85543,0.995987,18295,2,1.1495,0.026254,0.079973,0.990367,1612,3,1.1495,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMA2",3908,6,0.099165,0.25996,0.995379,5321,3,0.14295,0.50504,0.64648,0.990367,13652,2,0.14295,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMA3",3909,6,0.31419,0.55314,0.995379,11391,2,1.2587,0.081177,0.19274,0.990367,3878,3,1.2587,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMA4",3910,6,0.39136,0.62327,0.995379,13004,2,0.15479,0.47582,0.61988,0.990367,13105,2,0.15479,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMA5",3911,6,0.03592,0.12136,0.995379,2465,5,-2.3567,0.62357,0.71169,0.991961,15175,1,-2.3567,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMB1",3912,6,0.80702,0.89602,0.998011,19146,2,0.55129,0.18933,0.35542,0.990367,7150,2,0.55129,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMB2",3913,6,0.24586,0.48931,0.995379,9990,3,-1.3384,0.61368,0.70744,0.991961,15061,1,-1.3384,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMB3",3914,6,0.34995,0.5859,0.995379,12137,3,0.35177,0.12599,0.26173,0.990367,5307,3,0.35177,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMB4",22798,5,0.98582,0.98583,0.999727,21385,0,1.1075,0.061978,0.14539,0.990367,3226,3,1.1075,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMC1",3915,6,0.16493,0.36999,0.995379,7597,3,-0.29027,0.15896,0.31119,0.990367,6303,2,-0.29027,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMC2",3918,6,0.0090474,0.039642,0.989847,784,3,-1.9683,0.47876,0.6225,0.990367,13154,2,-1.9683,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMC3",10319,6,0.5169,0.73349,0.995579,15316,2,0.54601,0.5599,0.68577,0.991115,14499,1,0.54601,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMP1",3916,6,0.17725,0.38925,0.995379,8005,2,0.6429,0.0059373,0.02376,0.973334,489,3,0.6429,0,0,"MedConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Phagosome, Autophagy - animal"
"LAMP2",3920,6,0.21471,0.44601,0.995379,9122,3,-0.029116,0.55252,0.68305,0.991115,14410,1,-0.029116,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMP3",27074,6,0.40373,0.63432,0.995379,13255,2,0.29325,0.89353,0.89372,0.99901,19392,0,0.29325,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LAMP5",24141,6,0.85347,0.91537,0.998285,19621,1,0.85383,0.51586,0.65642,0.990367,13837,2,0.85383,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAMTOR1",55004,5,0.41768,0.63246,0.995379,13512,1,1.891,0.01298,0.042086,0.988111,919,4,1.891,0,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"LAMTOR2",28956,6,0.20571,0.4326,0.995379,8862,4,-0.55623,0.079888,0.1907,0.990367,3844,2,-0.55623,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LAMTOR3",8649,6,0.1642,0.36884,0.995379,7566,2,-0.031874,0.16466,0.31967,0.990367,6452,3,-0.031874,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"LAMTOR4",389541,6,0.018905,0.071067,0.995379,1460,5,-3.2215,0.639,0.71843,0.992015,15350,1,-3.2215,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LAMTOR5",10542,5,0.48074,0.67144,0.995427,14673,2,-0.39542,0.35323,0.49441,0.990367,10710,1,-0.39542,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LANCL1",10314,6,0.060207,0.18665,0.995379,3783,3,-2.123,0.35277,0.51193,0.990367,10701,1,-2.123,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LANCL2",55915,6,0.33993,0.57676,0.995379,11935,3,-0.66113,0.86699,0.867,0.996035,18883,0,-0.66113,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LANCL3",347404,6,0.080713,0.22691,0.995379,4619,4,-2.3121,0.022891,0.071355,0.990367,1438,1,-2.3121,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"LAP3",51056,6,0.99904,0.99904,1,21663,0,2.1513,0.0085964,0.033103,0.973334,673,4,2.1513,0,0,"MedConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Arginine and proline metabolism"
"LAPTM4A",9741,6,0.1612,0.36402,0.995379,7481,4,-0.71482,0.70641,0.75125,0.992015,16202,1,-0.71482,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LAPTM4B",55353,6,0.081353,0.22809,0.995379,4644,2,-0.094061,0.68088,0.73811,0.992015,15847,1,-0.094061,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LAPTM5",7805,5,0.68673,0.81069,0.99581,17553,1,0.28543,0.37431,0.51599,0.990367,11107,1,0.28543,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"LARP1",23367,5,0.053999,0.15355,0.995379,3458,1,1.8718,0.0051536,0.018559,0.973334,421,4,1.8718,0,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
