"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","replicate1","replicate2","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"A1BG",1,6,0.47737,0.69908,0.995579,14616,3,0.035398,0.36356,0.52116,0.990367,10901,1,0.035398,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.79342,0.88753,0.998011,18971,2,-0.016864,0.52121,0.66143,0.990367,13934,1,-0.016864,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.0015193,0.0076466,0.906536,166,2,0.47889,0.78774,0.80057,0.992362,17418,1,0.47889,0.5,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.063468,0.19493,0.995379,3939,5,-1.1025,0.33419,0.49602,0.990367,10330,1,-1.1025,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.10118,0.26347,0.995379,5385,4,-2.158,0.12019,0.25304,0.990367,5132,1,-2.158,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.99908,0.9991,1,21665,0,1.9075,0.0036543,0.015095,0.973334,304,5,1.9075,0,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"A4GNT",51146,5,0.36684,0.58904,0.995379,12505,2,0.16524,0.1961,0.33605,0.990367,7360,2,0.16524,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.0019483,0.0097428,0.927825,212,5,-5.5205,0.73516,0.76711,0.992015,16614,1,-5.5205,0.5,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AACS",65985,6,0.60486,0.78477,0.99581,16555,2,0.5824,0.22312,0.40273,0.990367,8125,2,0.5824,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC",13,5,0.34584,0.56587,0.995379,12073,2,0.72423,0.038607,0.10183,0.990367,2187,3,0.72423,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.21064,0.43996,0.995379,8993,4,-0.79662,0.77508,0.79192,0.992015,17203,1,-0.79662,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.18876,0.40695,0.995379,8337,2,0.75519,0.35259,0.51177,0.990367,10699,1,0.75519,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.11226,0.28271,0.995379,5809,4,-1.2785,0.40333,0.55568,0.990367,11692,2,-1.2785,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.93656,0.94607,0.998806,20493,1,1.4595,0.044721,0.12554,0.990367,2497,4,1.4595,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","No","0","No","0","No","0","No","0",NA
"AAED1",195827,6,0.13065,0.3139,0.995379,6478,4,-0.63544,0.18894,0.35485,0.990367,7139,1,-0.63544,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,0.41507,0.64431,0.995379,13466,3,-0.26738,0.82949,0.83222,0.993208,18155,1,-0.26738,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",22848,5,0.11341,0.2787,0.995379,5854,3,-1.1672,0.10699,0.22508,0.990367,4706,1,-1.1672,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.055403,0.17428,0.995379,3521,4,-1.6748,0.39701,0.55014,0.990367,11570,2,-1.6748,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",14,6,0.67505,0.82033,0.99581,17423,2,1.3394,0.051293,0.14107,0.990367,2809,4,1.3394,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",15,6,0.17725,0.38925,0.995379,8001,1,1.3846,0.071518,0.17746,0.990367,3540,3,1.3846,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAR2",25980,6,0.10553,0.27108,0.995379,5552,3,-2.1548,0.076011,0.18466,0.990367,3696,1,-2.1548,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,5,0.15635,0.34065,0.995379,7311,3,-0.6029,0.11009,0.23042,0.990367,4817,2,-0.6029,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,0.13684,0.32428,0.995379,6664,3,-1.7147,0.33469,0.49643,0.990367,10341,2,-1.7147,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARS2",57505,6,0.003679,0.017737,0.983147,358,1,0.27266,0.5357,0.67484,0.990367,14225,2,0.27266,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARSD1",80755,6,0.85341,0.91535,0.998285,19620,1,2.6109,0.0026858,0.011429,0.964095,238,4,2.6109,0,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AASDH",132949,5,0.3568,0.57796,0.995379,12281,3,-0.44518,0.13481,0.27209,0.990367,5600,2,-0.44518,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,6,0.42623,0.65421,0.995379,13675,3,0.078762,0.40663,0.55852,0.990367,11780,2,0.078762,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.064693,0.19753,0.995379,4000,4,-1.9324,0.9577,0.9577,0.99901,20794,0,-1.9324,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","No","0","No","0","No","0","No","0",NA
"AATF",26574,6,0.65092,0.80776,0.99581,17121,2,-0.78325,0.47751,0.62141,0.990367,13131,2,-0.78325,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,0.17887,0.39175,0.995379,8040,4,-0.61143,0.78012,0.79531,0.992015,17297,1,-0.61143,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABAT",18,5,0.96294,0.96311,0.998985,20914,0,0.57333,0.032049,0.089294,0.990367,1889,2,0.57333,0,0,"LowConf","Yes","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA1",19,6,0.97077,0.97079,0.999511,21068,0,0.9852,0.36573,0.52303,0.990367,10948,2,0.9852,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.92171,0.93879,0.998806,20286,1,0.68641,0.45552,0.6017,0.990367,12715,2,0.68641,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.23312,0.47284,0.995379,9657,3,-0.5362,0.42064,0.57079,0.990367,12054,1,-0.5362,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.78306,0.88121,0.996969,18850,2,0.93114,0.12672,0.26282,0.990367,5325,3,0.93114,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,0.01399,0.055676,0.991427,1150,5,-4.4326,0.80512,0.81291,0.992362,17722,1,-4.4326,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA3",21,5,0.09006,0.23171,0.995379,4978,2,0.32391,0.095045,0.20442,0.990367,4306,2,0.32391,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.084781,0.23432,0.995379,4778,2,0.99357,0.010758,0.039076,0.973334,816,3,0.99357,0,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCA5",23461,6,0.20296,0.42855,0.995379,8774,4,-0.66775,0.87735,0.87739,0.997337,19074,0,-0.66775,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA6",23460,6,0.9399,0.94793,0.998806,20543,1,0.36518,0.8729,0.87296,0.99726,18989,0,0.36518,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA7",10347,6,0.29683,0.537,0.995379,11031,2,0.3163,0.026475,0.080515,0.990367,1627,1,0.3163,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA8",10351,6,0.87209,0.9206,0.998285,19788,1,0.54367,0.090939,0.20807,0.990367,4173,1,0.54367,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA9",10350,5,0.86935,0.89382,0.998011,19766,1,0.58311,0.33471,0.47557,0.990367,10342,2,0.58311,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB1",5243,6,0.049252,0.15792,0.995379,3223,5,-3.4913,0.38777,0.5421,0.990367,11364,1,-3.4913,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB10",23456,6,0.18594,0.40268,0.995379,8259,3,0.24143,0.15086,0.29917,0.990367,6085,2,0.24143,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB11",8647,6,0.10076,0.26275,0.995379,5367,3,-0.5809,0.32537,0.4885,0.990367,10167,2,-0.5809,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB4",5244,6,0.34234,0.57894,0.995379,11994,2,0.66457,0.19343,0.36132,0.990367,7275,2,0.66457,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB5",340273,5,0.58244,0.73772,0.995579,16281,2,0.46534,0.11547,0.23964,0.990367,4998,3,0.46534,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB6",10058,6,0.28117,0.52248,0.995379,10718,2,-0.14643,0.42091,0.57102,0.990367,12060,1,-0.14643,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB7",22,6,0.0011419,0.0058384,0.885087,129,6,-3.3681,0.99886,0.99885,0.999983,21661,0,-3.3681,0.5,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB8",11194,6,0.011572,0.047919,0.989847,991,5,-2.7745,0.9845,0.98463,0.999983,21343,0,-2.7745,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB9",23457,6,0.010211,0.043527,0.989847,875,2,0.44464,0.51951,0.65983,0.990367,13902,1,0.44464,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC1",4363,6,0.1678,0.37452,0.995379,7703,4,-0.97429,0.077871,0.18756,0.990367,3762,2,-0.97429,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC10",89845,6,0.37064,0.60451,0.995379,12580,3,-0.49506,0.47351,0.61773,0.990367,13068,2,-0.49506,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC11",85320,6,0.85983,0.91708,0.998285,19677,1,1.0413,0.1862,0.35085,0.990367,7058,3,1.0413,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC12",94160,6,0.80665,0.89577,0.998011,19140,2,0.29207,0.49014,0.63284,0.990367,13377,1,0.29207,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC2",1244,5,0.42561,0.63727,0.995379,13664,2,-0.29418,0.53719,0.62388,0.990367,14255,1,-0.29418,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABCC3",8714,6,0.24633,0.48975,0.995379,10011,2,-0.78501,0.64867,0.72283,0.992015,15460,1,-0.78501,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC4",10257,6,0.024416,0.087969,0.995379,1801,4,-3.4441,0.86657,0.86658,0.996035,18872,0,-3.4441,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABCC5",10057,5,0.01706,0.064381,0.995379,1335,1,0.18812,0.047326,0.11831,0.990367,2608,2,0.18812,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC6",368,6,0.53602,0.74972,0.995725,15668,2,1.1982,0.11444,0.24432,0.990367,4962,3,1.1982,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC8",6833,6,0.75651,0.86531,0.995987,18497,2,0.08059,0.18885,0.35472,0.990367,7136,2,0.08059,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC9",10060,6,0.48132,0.70248,0.995579,14706,1,1.3847,0.12452,0.25951,0.990367,5257,3,1.3847,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD1",215,6,0.040226,0.13345,0.995379,2711,3,-1.2956,0.31399,0.47885,0.990367,9976,2,-1.2956,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD2",225,6,0.1371,0.3247,0.995379,6672,2,0.40466,0.30545,0.47163,0.990367,9800,2,0.40466,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD3",5825,6,0.22851,0.4662,0.995379,9527,2,0.73328,0.35022,0.50979,0.990367,10654,2,0.73328,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD4",5826,6,0.53703,0.75058,0.995725,15689,3,0.81302,0.066048,0.16872,0.990367,3356,3,0.81302,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCE1",6059,6,0.45333,0.67813,0.995579,14192,1,2.0014,0.012215,0.042986,0.990367,890,4,2.0014,0,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABCF1",23,6,0.22888,0.46675,0.995379,9546,2,0.45857,0.47327,0.61751,0.990367,13064,2,0.45857,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF2",10061,6,0.3972,0.62845,0.995379,13137,3,-0.21225,0.37936,0.53481,0.990367,11190,2,-0.21225,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF3",55324,6,0.695,0.8309,0.99581,17660,2,0.94451,0.1054,0.23049,0.990367,4661,3,0.94451,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCG1",9619,6,0.49893,0.71783,0.995579,15009,3,0.34988,0.52884,0.66852,0.990367,14085,2,0.34988,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG2",9429,6,0.45333,0.67813,0.995579,14193,3,-0.32268,0.42785,0.57713,0.990367,12194,2,-0.32268,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG4",64137,6,0.95534,0.95764,0.998806,20790,1,1.0823,0.4529,0.59938,0.990367,12661,2,1.0823,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG5",64240,6,0.17495,0.3857,0.995379,7929,3,-1.967,0.042639,0.12057,0.990367,2401,2,-1.967,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG8",64241,6,0.26139,0.50413,0.995379,10308,2,0.24943,0.36318,0.52083,0.990367,10893,2,0.24943,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD1",84696,6,0.21305,0.44355,0.995379,9078,3,-0.30724,0.054602,0.14877,0.990367,2949,2,-0.30724,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD10",55347,6,0.95466,0.95718,0.998806,20771,1,0.42834,0.82757,0.83065,0.993112,18123,1,0.42834,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD11",83451,6,0.11406,0.28584,0.995379,5865,4,-2.3227,0.95266,0.95279,0.99901,20669,0,-2.3227,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12",26090,6,0.64802,0.80632,0.99581,17073,2,1.3147,0.052584,0.14409,0.990367,2871,3,1.3147,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12B",145447,6,0.22537,0.46163,0.995379,9444,2,0.023878,0.68552,0.74039,0.992015,15910,1,0.023878,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD13",84945,5,0.55745,0.72123,0.995579,15973,1,0.47406,0.20286,0.34284,0.990367,7537,1,0.47406,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14A",25864,6,0.095278,0.25308,0.995379,5182,4,-1.3257,0.90644,0.90656,0.99901,19663,0,-1.3257,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14B",84836,6,0.010671,0.045013,0.989847,911,4,-1.7599,0.95054,0.95066,0.99901,20620,0,-1.7599,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD15",116236,6,0.015635,0.060877,0.995379,1255,4,-3.0476,0.74038,0.77018,0.992015,16691,1,-3.0476,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16A",7920,6,0.43355,0.66067,0.995379,13810,1,1.1399,0.25498,0.42926,0.990367,8765,2,1.1399,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16B",140701,6,0.065667,0.19932,0.995379,4037,2,0.46685,0.77924,0.79472,0.992015,17271,1,0.46685,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17A",81926,5,0.51212,0.69159,0.995579,15229,1,1.769,0.011131,0.036704,0.973334,836,4,1.769,0,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABHD17B",51104,6,0.092651,0.24837,0.995379,5066,2,0.95391,0.098832,0.22034,0.990367,4420,3,0.95391,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17C",58489,6,0.29488,0.53525,0.995379,10995,2,0.70831,0.14518,0.29071,0.990367,5915,2,0.70831,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD2",11057,6,0.96819,0.9682,0.999408,21014,1,1.2395,0.19101,0.35785,0.990367,7188,3,1.2395,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD3",171586,6,0.019333,0.072428,0.995379,1485,2,0.68412,0.49853,0.64057,0.990367,13535,2,0.68412,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD4",63874,6,0.094364,0.2514,0.995379,5138,4,-0.86807,0.4009,0.55352,0.990367,11650,2,-0.86807,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD5",51099,6,0.00043795,0.0022986,0.741919,58,4,-2.1879,0.68435,0.7398,0.992015,15888,1,-2.1879,0.5,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD6",57406,5,0.87138,0.89481,0.998011,19781,1,0.67596,0.12375,0.2535,0.990367,5227,3,0.67596,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD8",79575,6,0.22347,0.45884,0.995379,9387,3,-0.2238,0.46763,0.61248,0.990367,12953,2,-0.2238,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI1",10006,6,0.68842,0.8274,0.99581,17575,2,0.32651,0.68634,0.7408,0.992015,15919,1,0.32651,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI2",10152,6,0.00012883,0.00069851,0.704758,15,3,-0.56387,0.86456,0.86451,0.995683,18836,0,-0.56387,1,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABI3",51225,5,0.74964,0.84905,0.995872,18412,1,0.29739,0.020138,0.062714,0.990367,1299,4,0.29739,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI3BP",25890,6,0.035991,0.12158,0.995379,2471,4,-2.4515,0.97297,0.97302,0.999983,21075,0,-2.4515,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABL1",25,6,0.034835,0.11829,0.995379,2398,4,-2.0134,0.642,0.71977,0.992015,15390,1,-2.0134,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABL2",27,6,0.81826,0.90322,0.998285,19314,2,1.1425,0.091768,0.20934,0.990367,4198,3,1.1425,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABLIM1",3983,6,0.1781,0.39058,0.995379,8021,4,-0.67741,0.31019,0.47563,0.990367,9913,1,-0.67741,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM2",84448,6,0.033562,0.11471,0.995379,2334,4,-3.3654,0.44687,0.594,0.990367,12549,1,-3.3654,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM3",22885,6,0.016276,0.062841,0.995379,1288,5,-2.9919,0.97491,0.97505,0.999983,21118,0,-2.9919,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABO",28,6,0.0037964,0.01827,0.983147,366,3,-2.4478,0.53748,0.67654,0.990738,14258,2,-2.4478,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABR",29,6,0.38882,0.62097,0.995379,12949,2,0.29925,0.63139,0.71505,0.991961,15266,1,0.29925,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRA",137735,6,0.48847,0.7087,0.995579,14827,2,1.2105,0.11091,0.23893,0.990367,4850,2,1.2105,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRACL",58527,6,0.64999,0.8073,0.99581,17093,1,0.49417,0.46141,0.60695,0.990367,12836,2,0.49417,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABT1",29777,6,0.03461,0.11765,0.995379,2390,4,-3.8119,0.7308,0.76458,0.992015,16545,1,-3.8119,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABTB1",80325,6,0.25691,0.49987,0.995379,10216,3,-0.80017,0.054848,0.14936,0.990367,2963,1,-0.80017,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABTB2",25841,6,0.025996,0.092658,0.995379,1901,2,0.74376,0.44522,0.59256,0.990367,12521,2,0.74376,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAA1",30,6,0.17224,0.38147,0.995379,7833,3,-0.11236,0.076672,0.1857,0.990367,3718,3,-0.11236,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACAA2",10449,6,0.50562,0.72366,0.995579,15116,2,0.12746,0.085486,0.19955,0.990367,4009,2,0.12746,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACACA",31,6,0.17174,0.38068,0.995379,7824,3,-0.34074,0.21747,0.39534,0.990367,7965,3,-0.34074,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACACB",32,6,0.8681,0.91943,0.998285,19749,1,0.70123,0.80258,0.81103,0.992362,17664,1,0.70123,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACAD10",80724,6,0.11763,0.29188,0.995379,6027,4,-1.6405,0.052305,0.14345,0.990367,2860,2,-1.6405,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAD11",84129,6,0.52841,0.74329,0.995579,15532,2,0.39298,0.30241,0.46904,0.990367,9732,1,0.39298,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAD8",27034,6,0.064717,0.19758,0.995379,4003,3,-1.1594,0.32852,0.49119,0.990367,10223,2,-1.1594,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAD9",28976,6,0.66381,0.81438,0.99581,17272,1,0.82018,0.85758,0.85757,0.994699,18699,1,0.82018,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACADL",33,6,0.25921,0.50204,0.995379,10272,3,0.047201,0.87571,0.87577,0.997337,19044,0,0.047201,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACADM",34,6,0.1621,0.36547,0.995379,7507,3,-0.0053961,0.23975,0.41648,0.990367,8466,2,-0.0053961,0,0,"LowConf","Yes","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
