"","EntrezID","AveCells.LogPlateNorm","Replicate1","Score","PrimaryTier","ConfirmTier","RANK.hits","RANK.nonhits","Normalized.triage","Selected.triage","Confirmed.triage"
"9253",51095,-0.856126909305786,1.3,1.282,0,0,14794,14584,0,0,0
"9254",51096,-2.05479046477865,0.66,-1.151,0,0,NA,NA,0,0,0
"9255",51097,0.0425164375087363,1.28,0.737,0,0,12524,12314,0,0,0
"9256",51098,1.7493699333555,0.71,-0.999,0,0,2545,2335,0,0,0
"9257",51099,-0.553862981963011,1.34,1.149,0,0,14338,14128,0,0,0
"9258",51100,0.613830205742029,0.8,-0.725,0,0,3815,3605,0,0,0
"9259",51101,0.765525726375919,0.9,-0.42,0,0,5503,5293,0,0,0
"9260",51102,-0.0142648291177982,0.29,-2.665,1,0.5,51,15,1,1,0.5
"9261",51103,0.460431313590047,0.93,-0.329,0,0,6069,5859,0,0,0
"9262",51104,1.89570342966439,1.06,0.067,0,0,8569,8359,0,0,0
"9263",51105,1.58069631838953,0.78,-0.786,0,0,3485,3275,0,0,0
"9264",51106,1.58011680378385,0.83,-0.737,0,0,3759,3549,0,0,0
"9265",51107,0.678845759109893,0.72,-0.968,0,0,2655,2445,0,0,0
"9266",51108,0.38536139731503,0.73,-0.938,0,0,2755,2545,0,0,0
"9267",51109,0.171294436227056,0.65,-1.182,0,0,1839,1629,0,0,0
"9268",51110,1.36711520032611,0.66,-1.151,0,0,1940,1730,0,0,0
"9269",51111,0.704108836157698,0.5,-1.638,0.5,1,725,NA,0.5,0.5,1
"9270",51112,-1.30618512736517,0.97,-0.207,0,0,6793,6583,0,0,0
"9271",51114,0.653165091680318,1.6,1.711,0,0,15830,15620,0,0,0
"9272",51115,0.489472252696331,1.27,0.706,0,0,12373,12163,0,0,0
"9273",51116,-1.09302329010473,0.65,-1.182,0,0,1840,1630,0,0,0
"9274",51117,0.777523044726016,0.6,-1.334,0,0,1346,1137,0.5,0,0
"9275",51118,-1.13337997483423,0.64,-1.212,0,0,1722,1512,0,0,0
"9276",51119,1.14813171654391,1.25,0.437,0,0,10846,10636,0,0,0
"9277",51121,-0.977885809261473,0.67,-1.121,0,0,2055,1845,0,0,0
"9278",51122,-2.38308978288235,0.35,-2.095,0,0,NA,NA,0,0,0
"9279",51123,1.02042933620013,1.56,1.59,0,0,15590,15380,0,0,0
"9280",51124,0.50379166287235,0.58,-1.395,0,0,1214,1005,0.5,0,0
"9281",51125,-0.616473341927131,1.52,1.468,0,0,15325,15115,0,0,0
"9282",51126,-0.323469612775243,1.35,0.95,0,0,13536,13326,0,0,0
"9283",51127,-2.38308978288235,0.55,-1.486,0,0,NA,NA,0,0,0
"9284",51128,0.691528645917055,1.47,1.316,0,0,14916,14706,0,0,0
"9285",51129,0.467852003024685,0.68,-1.407,0,0,1183,974,0.5,0,0.5
"9286",51130,0.240356695154235,0.92,-0.359,0,0,5874,5664,0,0,0
"9287",51131,0.741249529248246,0.67,-1.121,0,0,2056,1846,0,0,0
"9288",51132,-0.676236287035587,1.83,2.412,0,0,16379,16169,0,0,0
"9289",51133,-0.372795819359481,1.21,0.524,0,0,11394,11184,0,0,0
"9290",51134,-0.398058896407285,1.5,1.407,0,0,15165,14955,0,0,0
"9291",51135,0.57395256996589,0.91,-0.414,0,0,5547,5337,0,0,0
"9292",51136,1.14792914068262,1.73,2.107,0,0,16221,16011,0,0,0
"9293",51138,-0.530929994073878,0.5,-1.638,0.5,0.5,726,521,0.5,0.5,0.5
"9294",51141,0.88768774986815,0.96,-0.195,0,0,6880,6670,0,0,0
"9295",51142,-2.38308978288235,0.88,-0.481,0,0,NA,NA,0,0,0
"9296",51143,-0.476410540294277,1.13,0.28,0,0,9961,9751,0,0,0
"9297",51144,-0.00583017293766257,0.94,-0.322,0,0,6119,5909,0,0,0
"9298",51146,0.505822165015575,1.38,1.103,0,0,14159,13949,0,0,0
"9299",51147,0.819096424134619,0.84,-1.41,0,0,1170,961,0.5,0,0.5
"9300",51148,-0.216706108933561,0.7,-1.097,0,0,2155,1945,0,0,0
"9301",51149,-0.275661378960539,0.87,-0.512,0,0,4954,4744,0,0,0
"9302",51150,-0.707002540040468,0.97,-0.207,0,0,6794,6584,0,0,0
"9303",51151,-0.00103014018621832,0.76,-0.847,0,0,3205,2995,0,0,0
"9304",51154,0.64016380237055,0.67,-1.121,0,0,2057,1847,0,0,0
"9305",51155,-1.56167319936337,0.84,-0.603,0,0,4448,4238,0,0,0
"9306",51156,-1.69853524872553,1.4,1.7,0,0,15817,15607,0,0,0
"9307",51157,-0.803134952022848,0.8,-0.725,0,0,3816,3606,0,0,0
"9308",51160,-0.323469612775243,1.11,0.219,0,0,9570,9360,0,0,0
"9309",51161,-0.476410540294277,1.22,0.554,0,0,11527,11317,0,0,0
"9310",51162,-0.616473341927131,1.14,0.311,0,0,10147,9937,0,0,0
