Column1,GeneSymbol,Cutoff
14020,ACTR3B,0
17061,ACTR5,0
15218,ACTR6,0
4359,ACTRT1,0
4395,ACTRT2,0
18134,ACTRT3,0
18956,ACVR1,0
19141,ACVR1B,0
4069,ACVR1C,0
19319,ACVR2A,0
19474,ACVR2B,0
19604,ACVRL1,0
19725,ACY1,0
19271,ACY3,0
19908,ACYP1,0
20002,ACYP2,0
88,ADA,1
2070,ADA,0
4148,ADAD1,0
5193,ADAD2,0
5189,ADAL,0
121,ADAM10,0.5
2252,ADAM10,0
10741,ADAM11,0
17294,ADAM12,0
18718,ADAM15,0
15866,ADAM17,0
18716,ADAM18,0
18696,ADAM19,0
7116,ADAM2,0
18715,ADAM20,0
18714,ADAM21,0
12317,ADAM22,0
18713,ADAM23,0
2814,ADAM28,0
3010,ADAM29,0
3009,ADAM30,0
5867,ADAM32,0
17278,ADAM33,0
18720,ADAM7,0
2162,ADAM8,0
18719,ADAM9,0
8052,ADAMDEC1,0
19736,ADAMTS1,0
17515,ADAMTS10,0
17513,ADAMTS12,0
3014,ADAMTS13,0
4420,ADAMTS14,0
5422,ADAMTS15,0
5423,ADAMTS16,0
5424,ADAMTS17,0
5425,ADAMTS18,0
5434,ADAMTS19,0
19734,ADAMTS2,0
17149,ADAMTS20,0
19733,ADAMTS3,0
19732,ADAMTS4,0
3017,ADAMTS5,0
3091,ADAMTS6,0
3090,ADAMTS7,0
3016,ADAMTS8,0
13902,ADAMTS9,0
19468,ADAMTSL1,0
19925,ADAMTSL2,0
14027,ADAMTSL3,0
12508,ADAMTSL4,0
9292,ADAMTSL5,0
2964,ADAP1,0
13454,ADAP2,0
1382,ADAR,0
2354,ADAR,0
2431,ADARB1,0
2526,ADARB2,0
6911,ADAT1,0
4210,ADAT2,0
3235,ADAT3,0
13989,ADCK1,0
19133,ADCK2,0
13900,ADCK3,0
17078,ADCK4,0
5861,ADCK5,0
2702,ADCY1,0
13461,ADCY10,0
2774,ADCY2,0
2849,ADCY3,0
5679,ADCY4,0
3021,ADCY5,0
3115,ADCY6,0
3217,ADCY7,0
3300,ADCY8,0
3387,ADCY9,0
3447,ADCYAP1,0
3517,ADCYAP1R1,0
3555,ADD1,0
3592,ADD2,0
3623,ADD3,0
3757,ADH1A,0
3813,ADH1B,0
3841,ADH1C,0
3910,ADH4,0
812,ADH5,0
3960,ADH5,0
4052,ADH6,0
4096,ADH7,0
4289,ADHFE1,0
13066,ADI1,0
4784,ADIG,0
19576,ADIPOQ,0
11639,ADIPOR1,0
16809,ADIPOR2,0
2915,ADIRF,0
1264,ADK,0
4131,ADK,0
4164,ADM,0
17069,ADM2,0
6802,ADNP,0
6365,ADNP2,0
1730,ADO,0
18322,ADO,0
4185,ADORA1,0
4219,ADORA2A,0
4249,ADORA2B,0
4367,ADORA3,0
1817,ADPGK,0
17648,ADPGK,0
909,ADPRH,0
4450,ADPRH,0
3285,ADPRHL1,0
1881,ADPRHL2,0
12776,ADPRHL2,0
13890,ADPRM,0
4704,ADRA1A,0
4646,ADRA1B,0
4591,ADRA1D,0
4796,ADRA2A,0
4844,ADRA2B,0
4894,ADRA2C,0
4938,ADRB1,0
4972,ADRB2,0
5004,ADRB3,0
1892,ADRBK1,0
5026,ADRBK1,0
5029,ADRBK2,0
1060,ADRM1,0
2976,ADRM1,0
1225,ADSL,0
5060,ADSL,0
1829,ADSS,0
5111,ADSS,0
3700,ADSSL1,0
18289,ADTRP,0
5297,AEBP1,0
3677,AEBP2,0
15330,AEN,0
5323,AES,0
14648,AFAP1,0
4193,AFAP1L1,0
18186,AFAP1L2,0
10820,AFF1,0
6764,AFF2,0
10229,AFF3,0
7963,AFF4,0
1833,AFG3L2,0
2883,AFG3L2,0
5459,AFM,0
3815,AFMID,0
5469,AFP,0
12666,AFTPH,0
795,AGA,0
5479,AGA,0
3515,AGAP1,0
3514,AGAP2,0
3516,AGAP3,0
3593,AGAP4,0
10694,AGAP6,0
15521,AGAP7P,0
3740,AGBL1,0
17003,AGBL2,0
9348,AGBL3,0
18308,AGBL4,0
14688,AGBL5,0
5493,AGER,0
1377,AGFG1,0
9126,AGFG1,0
9127,AGFG2,0
12925,AGGF1,0
13401,AGK,0
5501,AGL,0
16978,AGMAT,0
10367,AGMO,0
7775,AGO1,0
1934,AGO2,0
7985,AGO2,0
5616,AGO3,0
5617,AGO4,0
2572,AGPAT1,0
2573,AGPAT2,0
13811,AGPAT3,0
13812,AGPAT4,0
13136,AGPAT5,0
4292,AGPAT6,0
108,AGPAT9,0.5
18274,AGPAT9,0
1266,AGPS,0
18495,AGPS,0
2569,AGR2,0
5021,AGR3,0
9908,AGRN,0
5527,AGRP,0
5547,AGT,0
6722,AGTPBP1,0
5567,AGTR1,0
5575,AGTR2,0
13939,AGTRAP,0
5588,AGXT,0
15388,AGXT2,0
7441,AHCTF1,0
1152,AHCY,0
5604,AHCY,0
94,AHCYL1,0.5
2750,AHCYL1,0
6792,AHCYL2,0
8025,AHDC1,0
12659,AHI1,0
396,AHNAK,0
16635,AHNAK,0
5644,AHR,0
14148,AHRR,0
1903,AHSA1,0
2613,AHSA1,0
4091,AHSA2,0
5684,AHSG,0
11840,AHSP,0
14081,AICDA,0
15368,AIDA,0
1234,AIF1,0
5707,AIF1,0
17688,AIF1L,0
1652,AIFM1,0
19195,AIFM1,0
18317,AIFM2,0
4805,AIFM3,0
11888,AIG1,0
1299,AIM1,0
5837,AIM1,0
12881,AIM1L,0
19678,AIM2,0
1555,AIMP1,0
19409,AIMP1,0
839,AIMP2,0
16845,AIMP2,0
889,AIP,0
19049,AIP,0
7024,AIPL1,0
9118,AIRE,0
13562,AJAP1,0
18390,AJUBA,0
5859,AK1,0
1335,AK2,0
5896,AK2,0
1873,AK3,0
11509,AK3,0
5912,AK4,0
7714,AK5,0
3694,AK7,0
5067,AK8,0
6187,AK9,0
17493,AKAP1,0
3126,AKAP10,0
3125,AKAP11,0
19811,AKAP12,0
1132,AKAP13,0
3124,AKAP13,0
5099,AKAP14,0
17572,AKAP17A,0
3127,AKAP2,0
2585,AKAP3,0
18801,AKAP4,0
19720,AKAP5,0
19701,AKAP6,0
19694,AKAP7,0
2325,AKAP8,0
7882,AKAP8L,0
2202,AKAP9,0
13761,AKIP1,0
16843,AKIRIN1,0
12937,AKIRIN2,0
