GeneSymbol	EntrezID
Pcyt1a	13026
Ctrl	109660
Ctrb1	66473
Ctsb	13030
Ctsd	13033
Ctsg	13035
Ctsl	13039
Ctxn1	330695
Cux1	13047
Cybb	13058
Cycs	13063
Cyct	13067
Cyp11a1	13070
Cyp11b1	110115
Cyp11b2	13072
Cyp17a1	13074
Cyp19a1	13075
Cyp1a1	13076
Cyp1a2	13077
Cyp1b1	13078
Cyp21a1	13079
Cyp24a1	13081
Cyp27a1	104086
Cyp2a4	13086
Cyp2a5	13087
Cyp2b10	13088
Cyp2b13	13089
Cyp2b9	13094
Cyp2d10	13101
Cyp2d11	545123
Cyp2d12	380997
Cyp2d9	13105
Cyp2e1	13106
Cyp2f2	13107
Cyp3a11	13112
Cyp3a13	13113
Cyp4a10	13117
Cyp4a12a	277753
Ccn1	16007
Reep3	28193
Apon	28194
Dcaf11	28199
Dhrs4	28200
D17H6S53E	114585
Vars	22321
Lsm2	27756
D1Pas1	110957
Dcaf8	98193
Csde1	229663
Serp1	28146
Adipor2	68465
Lrrc32	434215
Nudt19	110959
Oaf	102644
Dao	13142
Ppp1r1b	19049
Slc6a3	13162
Dbh	13166
Dbi	13167
Dbp	13170
Dbx1	13172
Dcc	13176
Eci1	13177
Dcn	13179
Pcbd1	13180
Ddc	13195
Defa29	13218
Defa2	100294660
Defa3	13237
Des	13346
Dhfr	13361
Dhh	13363
Cyb5r3	109754
Dio1	13370
Dlk1	13386
Dlx1	13390
Dlx2	13392
Dlx3	13393
Dlx4	13394
Dmpk	13400
Dmwd	13401
Dmd	13405
Dmp1	13406
Dnmt1	13433
Dpep1	13479
Dpp4	13482
Dpp6	13483
Drd2	13489
Drd3	13490
Drd4	13491
Drd5	13492
Dsg1a	13510
Dvl1	13542
Slc10a3	214601
Ubl4a	27643
Ebf1	13591
Epha7	13841
Epha2	13836
Ect2	13605
Edn1	13614
Edn2	13615
Edn3	13616
Eed	13626
Eef2	13629
Egf	13645
Klk1b22	13646
Klk1b9	13648
Egfr	13649
Egr1	13653
Egr2	13654
Eif1a	13664
Eif2s1	13665
Eif2b4	13667
Eif3a	13669
Eif4a1	13681
Eif4b	75705
Eif4e	13684
Eif5	217869
Cela1	109901
Cela2a	13706
Eln	13717
Emb	13723
Emx1	13796
Emx2	13797
En1	13798
En2	13799
Eng	13805
Eno1	13806
Eno2	13807
Eno3	13808
Epb41	269587
Epb42	13828
Stom	13830
Ephx1	13849
Epo	13856
Epor	13857
Erbb2	13866
Erbb3	13867
Ercc1	13870
Ercc2	13871
Ercc3	13872
Erg	13876
Ces1c	13884
Esd	13885
Ces1e	13897
Smarcad1	13990
Etl4	208618
Ets1	23871
Ets2	23872
Mecom	14013
Evi2a	14017
Zfp521	225207
Evx1	14028
Evx2	14029
F8a	14070
Fabp3	14077
Fabp2	14079
Fabp1	14080
Fancc	14088
Ptk2	14083
Fah	14085
Fas	14102
Fasn	14104
Fbl	14113
Fbln1	14114
Fbln2	14115
Fbn1	14118
Fbn2	14119
Fbp2	14120
Fbp1	14121
Fcer1a	14125
Ms4a2	14126
Fcer1g	14127
Fcer2a	14128
Fcgr1	14129
Fcgr2b	14130
Fcgr3	14131
Fech	14151
Fes	14159
Fgf1	14164
Fgf2	14173
Fgf3	14174
Fgf4	14175
Fgf5	14176
Fgf6	14177
Fgf7	14178
Fgfr1	14182
Fgfr2	14183
Fgfr3	14184
Fgfr4	14186
Fgg	99571
Fgr	14191
Fh1	14194
Ccn2	14219
Fkbp1a	14225
Fkbp2	14227
Fkbp4	14228
Foxs1	14239
Flg	14246
Fli1	14247
Flna	192176
Flnc	68794
Flt1	14254
Flt3	14255
Flt3l	14256
Flt4	14257
Fmr1	14265
Fn1	14268
Folr1	14275
Folr2	14276
Fos	14281
Fosb	14282
Fpgs	14287
Fshb	14308
Fshr	14309
Cidec	14311
Fst	14313
Fth1	14319
Ftl1	14325
Fuca1	71665
Fut4	14345
Fv1	14349
Fyn	14360
Xrcc6	14375
G6pc	14377
Gaa	14387
Gabpa	14390
Gabpb1	14391
Gabpb2	213054
Gabra1	14394
Gabra2	14395
Gabra3	14396
Gabra4	14397
Gabra5	110886
Gabra6	14399
Gabrb1	14400
Gabrb2	14401
Gabrb3	14402
Gabrd	14403
Gabrg2	14406
Gabrg3	14407
Gabrr1	14408
Gabrr2	14409
Slc6a1	232333
Slc6a12	14411
Slc6a13	14412
Slc6a11	243616
Gad1	14415
Gad2	14417
Galc	14420
Gal	14419
Galt	14430
Gap43	14432
Gapdh	14433
Gapdhs	14447
Gart	14450
Gas1	14451
Gas2	14453
Gas6	14456
Gata1	14460
Gata2	14461
Gata3	14462
Gata4	14463
Gba	14466
Gbp2b	14468
Gbx1	231044
Gbx2	14472
Gc	14473
Gcg	14526
Gch1	14528
Gcnt1	14537
Gda	14544
Gpd1	14555
Gdf1	14559
Gdf10	14560
Gdf3	14562
Gdf5	14563
Gdf6	242316
Gdf7	238057
Mstn	17700
Gdf9	14566
Gfap	14580
Gfpt1	14583
Ggct	110175
Ggta1	14594
B4galt1	14595
Ggt1	14598
Gh	14599
Ghr	14600
Ghrh	14601
Ghrhr	14602
Gpr83	14608
Gja1	14609
Gja3	14611
Gja4	14612
Gja5	14613
Gja6	414089
Gjc1	14615
Gjb1	14618
Gjb2	14619
Gjb3	14620
Gjb4	14621
Gjb5	14622
Gli1	14632
Gli2	14633
Gli3	14634
Galk1	14635
Glul	14645
Glo1	109801
Hagh	14651
Glra1	14654
Glra2	237213
Glra3	110304
Glra4	14657
Glrb	14658
Gls	14660
Glud1	14661
Slc2a1	20525
Slc2a3	20527
Slc2a4	20528
Glycam1	14663
Slc6a9	14664
Gm2a	14667
Gnl1	14670
Gna11	14672
Gna12	14673
Gna13	14674
Gna14	14675
Gna15	14676
Gnai1	14677
Gnai2	14678
Gnai3	14679
Gnal	14680
Gnao1	14681
Gnaq	14682
Gnas	14683
Gnat1	14685
Gnat2	14686
Gnaz	14687
Gnb1	14688
Gnb2	14693
Gnb3	14695
Gng7	14708
Gnrh1	14714
Gnrhr	14715
Got1	14718
Got2	14719
Lrp2	14725
Gpi1	14751
Grk4	14772
Gpt	76282
Gsr	14782
Grb2	14784
Aes	14797
Gria1	14799
Gria2	14800
Gria3	53623
Gria4	14802
Grid1	14803
Grid2	14804
Grik1	14805
Grik2	14806
Grik3	14807
Grik4	110637
Grik5	14809
Grin1	14810
Grin2a	14811
Grin2b	14812
