"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"IDUA",3425,6,0.45318,0.88379,0.42439,0.97594,0.37681,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IER2",9592,6,0.25034,0.5845,0.99313,0.99995,0.55888,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IER3",8870,6,0.49602,0.93288,0.33728,0.97136,0.35088,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IER3IP1",51124,6,0.59699,0.75604,0.17205,0.90382,0.44962,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IER5",51278,6,0.32156,0.5878,0.77955,0.99598,0.55667,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IER5L",389792,6,0.28145,0.60243,0.89962,0.99913,0.54689,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFFO1",25900,6,-0.031234,-0.080709,0.3,0.96525,0.93567,0.98467,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFFO2",126917,6,0.39668,0.68361,0.56607,0.98706,0.49422,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFI16",3428,6,0.1379,0.23115,0.67857,0.9938,0.8172,0.96164,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFI27",3429,6,0.43495,1.2187,0.4691,0.98105,0.22294,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFI27L1",122509,6,0.35866,0.78276,0.67304,0.9938,0.43377,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFI27L2",83982,6,0.49826,0.90517,0.33295,0.97058,0.36538,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFI30",10437,6,0.091159,0.26129,0.55528,0.98383,0.79387,0.95503,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFI35",3430,6,0.69093,1.0406,0.084804,0.80078,0.29804,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFI44",10561,6,0.46506,0.83729,0.39858,0.97543,0.40243,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFI44L",10964,6,0.21978,0.59839,0.91367,0.99913,0.54958,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFI6",2537,6,0.69152,0.93844,0.084436,0.8,0.34802,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFIH1",64135,6,0.78448,1.4872,0.036457,0.6328,0.13695,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"IFIT1",3434,6,0.53324,1.1043,0.26898,0.95663,0.26947,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFIT1B",439996,6,-0.080748,-0.27613,0.22427,0.94103,0.78245,0.95305,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFIT2",3433,6,0.07432,0.19872,0.51496,0.98209,0.84248,0.96625,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFIT3",3437,6,0.36381,0.82487,0.65866,0.9938,0.40944,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFIT5",24138,6,0.25179,0.73558,0.98885,0.9993,0.46199,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFITM1",8519,6,0.21917,0.56451,0.91179,0.99913,0.5724,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFITM10",402778,6,0.55962,1.1069,0.22644,0.94444,0.26834,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFITM2",10581,6,0.81655,1.1394,0.026501,0.571,0.25455,0.94395,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"IFITM3",10410,6,0.35357,0.67874,0.68567,0.9938,0.4973,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFITM5",387733,6,0.074996,0.22246,0.51666,0.98209,0.82396,0.96301,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFNA1",3439,5,0.6951,1.2293,0.1114,0.8454,0.21895,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA10",3446,6,0.46183,0.80148,0.4054,0.97543,0.42285,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA13",3447,1,0.44675,0.51791,0.7613,0.99458,0.60452,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA14",3448,6,0.46124,0.98539,0.40619,0.97543,0.32443,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA16",3449,6,0.28571,0.64305,0.8863,0.9983,0.52019,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"IFNA17",3451,6,0.40131,0.716,0.55515,0.98383,0.47399,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
