"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"A1BG",1,6,0.29459,0.82525,0.8586,0.99732,0.40923,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.27229,0.6203,0.92593,0.99913,0.53506,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.32386,0.82179,0.77232,0.99578,0.4112,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.20053,0.50073,0.85634,0.99732,0.61656,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.21847,0.45521,0.90957,0.99913,0.64896,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.51214,1.1754,0.30728,0.9671,0.23983,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GNT",51146,6,0.15289,0.45576,0.7201,0.9938,0.64856,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.64074,0.95591,0.12707,0.86855,0.33912,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AACS",65985,6,0.33177,0.7743,0.74932,0.9938,0.43875,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC",13,6,0.36168,0.94898,0.66461,0.9938,0.34263,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.39882,0.7609,0.561,0.98583,0.44672,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.45086,0.75611,0.43043,0.97881,0.44958,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.025161,0.068021,0.40614,0.97543,0.94577,0.98646,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.37171,0.90382,0.63612,0.99181,0.36609,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AAED1",195827,6,0.32479,0.55039,0.769,0.99494,0.58205,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,-0.19579,-0.68729,0.10614,0.83533,0.4919,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",22848,6,0.74244,1.0174,0.054616,0.72655,0.30894,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.16854,0.25921,0.76453,0.99494,0.79547,0.95561,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",14,6,-0.2999,-0.96159,0.050007,0.70592,0.33625,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",15,6,0.33095,0.80034,0.75167,0.9938,0.42351,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAR2",25980,6,-0.014746,-0.033629,0.32889,0.97005,0.97317,0.99355,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,6,0.31252,0.71265,0.805,0.99668,0.47606,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,-0.291,-0.98546,0.054247,0.72655,0.3244,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AARS2",57505,6,0.35643,0.71878,0.67871,0.9938,0.47227,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AARSD1",80755,6,0.23111,0.74751,0.94926,0.99913,0.45475,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",132949,6,0.54459,1.1179,0.25022,0.95129,0.26361,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,6,0.42128,0.97791,0.50399,0.98209,0.32812,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.054505,0.12548,0.4691,0.98105,0.90015,0.97682,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AATF",26574,6,0.1804,0.43771,0.79771,0.99598,0.66159,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,-0.15186,-0.48394,0.14361,0.88655,0.62843,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABAT",18,6,0.44127,0.83434,0.45264,0.98007,0.40409,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA1",19,6,0.36276,0.93053,0.66157,0.9938,0.3521,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.52501,1.0121,0.28313,0.95663,0.31147,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.43564,0.87273,0.46707,0.98057,0.38281,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.35957,0.66328,0.67078,0.9938,0.50715,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,-0.032316,-0.07818,0.29811,0.96409,0.93769,0.98505,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA3",21,6,0.005995,0.015008,0.3683,0.97382,0.98803,0.99765,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.77121,1.2294,0.042448,0.67325,0.21894,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCA5",23461,6,0.44593,1.1707,0.44296,0.97974,0.24171,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA6",23460,6,0.42058,0.8468,0.50583,0.98209,0.39711,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA7",10347,6,0.28718,0.6864,0.88183,0.9983,0.49246,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA8",10351,6,0.48192,1.2353,0.36415,0.97382,0.2167,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA9",10350,6,0.83182,1.1832,0.022768,0.53989,0.23673,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCB1",5243,6,0.50291,0.85281,0.32438,0.96993,0.39376,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB10",23456,6,0.30345,0.76102,0.83127,0.99668,0.44664,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB11",8647,6,0.55642,0.73846,0.23155,0.94724,0.46024,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB4",5244,6,0.31331,0.61789,0.80283,0.99668,0.53665,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB5",340273,6,0.55005,1.2613,0.24142,0.9507,0.20721,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB6",10058,6,0.15847,0.46936,0.73572,0.9938,0.63881,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB7",22,6,-0.18517,-0.51214,0.11462,0.85065,0.60855,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB8",11194,6,0.2608,0.58156,0.96156,0.9993,0.56087,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB9",23457,6,-0.19414,-0.81957,0.10748,0.83825,0.41246,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC1",4363,6,0.46119,0.79929,0.40632,0.97544,0.42412,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC10",89845,6,0.29148,0.58541,0.8686,0.9983,0.55827,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC11",85320,6,0.55349,1.0019,0.23556,0.95,0.31638,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC12",94160,6,0.73754,1.0357,0.057243,0.73622,0.30033,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC2",1244,6,0.33349,0.56139,0.7443,0.9938,0.57453,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC3",8714,6,0.35435,0.7723,0.68364,0.9938,0.43994,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC4",10257,6,0.52117,1.0118,0.28972,0.95985,0.31164,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC5",10057,6,0.17247,0.51173,0.77601,0.99598,0.60884,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC6",368,6,-0.1137,-0.29897,0.18297,0.91314,0.76497,0.9507,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC8",6833,6,-0.013544,-0.052627,0.33097,0.97027,0.95803,0.98936,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC9",10060,6,0.42915,0.8568,0.48444,0.98209,0.39156,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD1",215,6,0.19258,0.51764,0.83385,0.99668,0.60471,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD2",225,6,0.41902,1.1512,0.51002,0.98209,0.24963,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD3",5825,6,0.53955,0.96804,0.2587,0.95509,0.33302,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD4",5826,6,0.407,0.45391,0.54146,0.98209,0.64989,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCE1",6059,6,0.29184,0.59748,0.86726,0.9983,0.55019,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF1",23,6,0.083131,0.15754,0.53533,0.98209,0.87482,0.9724,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF2",10061,6,0.28943,0.75102,0.87487,0.9983,0.45264,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF3",55324,6,0.32564,0.88508,0.76674,0.99494,0.37612,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCG1",9619,6,0.23903,0.59801,0.97414,0.9993,0.54983,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG2",9429,6,0.23448,0.70906,0.95926,0.99923,0.47829,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG4",64137,6,0.32849,0.93639,0.75909,0.99458,0.34907,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG5",64240,6,0.69242,1.0631,0.083975,0.79947,0.28773,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG8",64241,6,0.50489,0.94669,0.3211,0.96993,0.3438,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD1",84696,6,0.075023,0.19491,0.51675,0.98209,0.84546,0.96673,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD10",55347,6,0.41705,0.61511,0.51556,0.98209,0.53848,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD11",83451,6,-0.32762,-0.89376,0.040697,0.65848,0.37145,0.94395,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABHD12",26090,6,0.51199,0.927,0.30751,0.9671,0.35393,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12B",145447,6,0.35368,0.79203,0.6853,0.9938,0.42834,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD13",84945,6,0.25273,0.57502,0.9858,0.9993,0.56528,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14A",25864,6,0.18031,0.42132,0.79748,0.99598,0.67352,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14B",84836,6,0.10711,0.36419,0.59589,0.98885,0.71572,0.94548,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD15",116236,6,0.23581,0.77712,0.96368,0.9993,0.43709,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16A",7920,6,0.34026,0.77991,0.72508,0.9938,0.43544,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16B",140701,6,-0.21273,-0.78576,0.09416,0.81104,0.43201,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17A",81926,6,-0.058376,-0.1275,0.25653,0.95292,0.89855,0.9766,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17B",51104,6,0.30633,0.57944,0.82274,0.99668,0.5623,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17C",58489,6,-0.0051705,-0.01784,0.34738,0.97252,0.98577,0.99707,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD2",11057,6,0.30514,0.71356,0.82606,0.99668,0.4755,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD3",171586,6,0.54103,0.99315,0.25607,0.95252,0.32064,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD4",63874,6,0.3371,0.62133,0.73402,0.9938,0.53438,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD5",51099,6,0.20176,0.45054,0.86007,0.99791,0.65232,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD6",57406,6,0.49925,1.0042,0.33074,0.97027,0.31528,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD8",79575,6,0.24961,0.69934,0.99511,1,0.48434,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI1",10006,6,0.64289,0.99746,0.12453,0.86393,0.31854,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI2",10152,6,1.0662,0.97978,0.0022123,0.22535,0.32719,0.94395,0.5,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABI3",51225,6,0.28462,0.57484,0.88952,0.9983,0.5654,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI3BP",25890,6,0.42172,0.90312,0.50311,0.98209,0.36646,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABL1",25,6,0.45029,1.0472,0.43172,0.97881,0.29502,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABL2",27,6,0.086703,0.3089,0.54349,0.98209,0.7574,0.95003,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM1",3983,6,-0.36487,-1.212,0.030142,0.59491,0.2255,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABLIM2",84448,6,0.34056,0.85187,0.72429,0.9938,0.39429,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM3",22885,6,0.55462,1.1285,0.23349,0.9478,0.25909,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABO",28,6,0.0079035,0.025782,0.37236,0.97461,0.97943,0.99551,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABR",29,6,0.064181,0.12239,0.49081,0.98209,0.90259,0.97697,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRA",137735,6,0.71785,0.88107,0.067336,0.76786,0.37828,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRACL",58527,6,0.021147,0.073357,0.39895,0.97543,0.94152,0.98558,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABT1",29777,6,-0.62218,-1.6699,0.0029497,0.24806,0.094941,0.94395,0.5,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABTB1",80325,6,0.16732,0.39445,0.76093,0.99458,0.69325,0.94512,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABTB2",25841,6,0.40397,1.1385,0.54842,0.98209,0.2549,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAA1",30,6,0.22779,0.56758,0.93944,0.99913,0.57032,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAA2",10449,6,0.42357,0.8984,0.498,0.98209,0.36897,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACACA",31,6,0.10249,0.30656,0.58474,0.98867,0.75918,0.95003,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACACB",32,6,0.12833,0.39618,0.65161,0.9938,0.69197,0.94497,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAD10",80724,6,-0.0295,-0.093088,0.30308,0.96525,0.92583,0.98117,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAD11",84129,6,0.033319,0.10223,0.42333,0.97594,0.91857,0.9794,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAD8",27034,6,0.12346,0.30756,0.63774,0.99199,0.75841,0.95003,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAD9",28976,6,0.31759,0.67661,0.78988,0.99598,0.49865,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACADL",33,6,0.19308,0.45987,0.83537,0.99668,0.64561,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACADM",34,6,0.43538,0.73587,0.46771,0.98077,0.46181,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACADS",35,6,0.037358,0.14218,0.43176,0.97881,0.88694,0.97527,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACADSB",36,6,0.072453,0.23041,0.5097,0.98209,0.81777,0.96164,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACADVL",37,6,-0.44341,-1.1903,0.016638,0.49035,0.23395,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ACAN",176,6,0.98475,1.1501,0.0052081,0.32754,0.25009,0.94395,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ACAP1",9744,6,0.21737,0.49944,0.90699,0.99913,0.61747,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAP2",23527,6,0.26501,0.34409,0.94769,0.99913,0.73078,0.94727,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAP3",116983,6,0.35104,0.7334,0.69328,0.9938,0.46332,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAT1",38,6,0.39726,0.94405,0.56464,0.98679,0.34515,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACAT2",39,6,0.53756,1.1461,0.26206,0.95628,0.25174,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACBD3",64746,6,0.5007,1.0694,0.32806,0.97005,0.28491,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD4",79777,6,0.37098,0.77544,0.63857,0.99199,0.43808,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD5",91452,6,0.6369,1.2534,0.13089,0.875,0.21007,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD6",84320,6,0.76805,0.93625,0.043416,0.67502,0.34915,0.94395,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ACBD7",414149,6,0.60407,1.127,0.1644,0.89524,0.25976,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACCS",84680,6,0.5462,0.90823,0.24768,0.95129,0.36376,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACCSL",390110,6,0.51368,0.83232,0.30433,0.96563,0.40523,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACD",65057,6,0.25735,0.65274,0.97179,0.9993,0.51392,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACE",1636,6,0.25084,0.53083,0.99157,0.99995,0.59554,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACE2",59272,6,0.2089,0.54995,0.88155,0.9983,0.58235,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER1",125981,6,0.32285,1.2031,0.77513,0.99598,0.22895,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER2",340485,6,0.36452,0.96121,0.65705,0.9938,0.33645,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER3",55331,6,0.38124,0.84107,0.60976,0.98948,0.40031,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACHE",43,6,0.36201,0.7639,0.66373,0.9938,0.44493,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACIN1",22985,6,0.67927,0.98238,0.093377,0.81104,0.32591,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACKR2",1238,6,0.27677,0.70946,0.91349,0.99913,0.47804,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACKR3",57007,6,0.24643,0.78296,0.99664,1,0.43365,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACKR4",51554,6,0.51137,0.89031,0.30848,0.96748,0.3733,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACLY",47,6,0.14627,0.38152,0.70153,0.9938,0.70282,0.94531,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0",NA
"ACMSD",130013,6,0.37565,0.90929,0.6246,0.99024,0.3632,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACO1",48,6,-0.3904,-1.1727,0.024796,0.55809,0.2409,0.94395,0,"MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Carbon metabolism, Biosynthesis of amino acids, Citrate cycle (TCA cycle)"
"ACO2",50,6,-0.448,-1.2455,0.016131,0.49035,0.21295,0.94395,0,"MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Carbon metabolism, Biosynthesis of amino acids, Citrate cycle (TCA cycle)"
"ACOT1",641371,6,0.33105,0.96409,0.75121,0.9938,0.335,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT11",26027,6,0.12441,0.34094,0.64115,0.99266,0.73315,0.94754,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOT12",134526,6,-0.18145,-0.49393,0.11785,0.85762,0.62135,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT13",55856,6,-0.018373,-0.055556,0.32221,0.96993,0.9557,0.98811,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOT2",10965,6,0.19399,0.41193,0.83804,0.99668,0.68039,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT4",122970,6,0.3476,0.56974,0.70291,0.9938,0.56885,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT6",641372,6,0.29078,0.70681,0.8709,0.9983,0.47968,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOT7",11332,6,0.16088,0.42811,0.74291,0.9938,0.66857,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT8",10005,6,0.38317,1.1722,0.60446,0.98945,0.24112,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT9",23597,6,0.33262,0.80211,0.74642,0.9938,0.42249,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOX1",51,6,0.18949,0.61484,0.82449,0.99668,0.53866,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOX2",8309,6,0.056436,0.21399,0.47329,0.98138,0.83056,0.96431,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOX3",8310,6,0.82025,0.84468,0.025533,0.56531,0.39829,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ACOXL",55289,6,0.32296,0.80235,0.77476,0.99598,0.42235,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACP1",52,6,0.42625,0.74159,0.49191,0.98209,0.45834,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACP2",53,6,-0.15852,-0.29611,0.13712,0.88072,0.76714,0.9508,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
