"","name","imports","weights","datasource","Confidence","Color"
"1","Base excision repair.LIG1","Novel.UBC",900,"database","Medium","#46008B"
"2","Base excision repair.LIG1","Novel.XAB2",900,"database","Medium","#46008B"
"3","Base excision repair.LIG1","Novel.RPS27A",900,"database","Medium","#46008B"
"4","Base excision repair.LIG1","Novel.UBB",900,"database","Medium","#46008B"
"5","Base excision repair.LIG1","Novel.POLR2J",900,"database","Medium","#46008B"
"6","Base excision repair.LIG1","Novel.POLR2F",900,"database","Medium","#46008B"
"7","Base excision repair.PCNA","Novel.XAB2",900,"database","Medium","#46008B"
"8","Base excision repair.PCNA","Novel.CCND2",800,"database","Medium","#46008B"
"9","Base excision repair.PCNA","Novel.CCND3",800,"database","Medium","#46008B"
"10","Base excision repair.PCNA","Novel.RPS27A",900,"database","Medium","#46008B"
"11","Base excision repair.PCNA","Novel.UBE2I",900,"database","Medium","#46008B"
"12","Base excision repair.PCNA","Novel.UBB",900,"database","Medium","#46008B"
"13","Base excision repair.PCNA","Novel.MSH2",900,"database","Medium","#46008B"
"14","Base excision repair.PCNA","Novel.RAD51",900,"database","Medium","#46008B"
"15","Base excision repair.PCNA","Novel.ISG15",900,"database","Medium","#46008B"
"16","Base excision repair.PCNA","Novel.USP1",900,"database","Medium","#46008B"
"17","Base excision repair.PCNA","Novel.POLR2J",900,"database","Medium","#46008B"
"18","Base excision repair.PCNA","Novel.POLR2F",900,"database","Medium","#46008B"
"19","Base excision repair.PCNA","Novel.NMI",900,"database","Medium","#46008B"
"20","Base excision repair.PCNA","Novel.TOP2A",900,"database","Medium","#46008B"
"21","Base excision repair.PCNA","Novel.CCNE1",900,"database","Medium","#46008B"
"22","Base excision repair.PCNA","Novel.UBC",900,"database","Medium","#46008B"
"23","Base excision repair.PCNA","Novel.RAD21",503,"experimental","Medium","#46008B"
"24","Base excision repair.PCNA","Novel.BRCA2",900,"database","Medium","#46008B"
"25","Base excision repair.PCNA","Novel.PALB2",900,"database","Medium","#46008B"
"26","Base excision repair.PCNA","Novel.TRAIP",866,"experimental","Medium","#46008B"
"27","Base excision repair.PCNA","Novel.LIN52",900,"database","Medium","#46008B"
"28","Base excision repair.PCNA","Novel.LIN9",900,"database","Medium","#46008B"
"29","Base excision repair.PCNA","Novel.VCP",900,"database","Medium","#46008B"
"30","Base excision repair.PCNA","Novel.HSP90B1",503,"experimental","Medium","#46008B"
"31","Base excision repair.PCNA","Novel.CALR",417,"experimental","Medium","#46008B"
"32","Base excision repair.PCNA","Novel.XPA",900,"database","Medium","#46008B"
"33","Base excision repair.PCNA","Novel.CCAR1",417,"experimental","Medium","#46008B"
"34","Base excision repair.PCNA","Novel.P4HB",417,"experimental","Medium","#46008B"
"35","Base excision repair.POLB","Novel.TDP1",774,"experimental","Medium","#46008B"
"36","Base excision repair.POLD3","Novel.PALB2",900,"database","Medium","#46008B"
"37","Base excision repair.POLD3","Novel.XPA",900,"database","Medium","#46008B"
"38","Base excision repair.POLD3","Novel.XAB2",900,"database","Medium","#46008B"
"39","Base excision repair.POLD3","Novel.RPS27A",900,"database","Medium","#46008B"
"40","Base excision repair.POLD3","Novel.UBB",900,"database","Medium","#46008B"
"41","Base excision repair.POLD3","Novel.RAD51",900,"database","Medium","#46008B"
"42","Base excision repair.POLD3","Novel.ISG15",900,"database","Medium","#46008B"
"43","Base excision repair.POLD3","Novel.USP1",900,"database","Medium","#46008B"
"44","Base excision repair.POLD3","Novel.POLR2J",900,"database","Medium","#46008B"
"45","Base excision repair.POLD3","Novel.POLR2F",900,"database","Medium","#46008B"
"46","Base excision repair.POLD3","Novel.UBC",900,"database","Medium","#46008B"
"47","Base excision repair.POLD3","Novel.ITPA",900,"database","Medium","#46008B"
"48","Base excision repair.POLD3","Novel.BRCA2",900,"database","Medium","#46008B"
"49","Base excision repair.POLE","Novel.POLR2J",900,"database","Medium","#46008B"
"50","Base excision repair.POLE","Novel.POLR2F",900,"database","Medium","#46008B"
"51","Base excision repair.POLE","Novel.PABPC4",417,"experimental","Medium","#46008B"
"52","Base excision repair.POLE","Novel.UBC",900,"database","Medium","#46008B"
"53","Base excision repair.POLE","Novel.ITPA",900,"database","Medium","#46008B"
"54","Base excision repair.POLE","Novel.BRCA2",900,"database","Medium","#46008B"
"55","Base excision repair.POLE","Novel.PALB2",900,"database","Medium","#46008B"
"56","Base excision repair.POLE","Novel.MCM8",900,"database","Medium","#46008B"
"57","Base excision repair.POLE","Novel.PHF21A",900,"database","Medium","#46008B"
"58","Base excision repair.POLE","Novel.PSMD11",417,"experimental","Medium","#46008B"
"59","Base excision repair.POLE","Novel.XPA",900,"database","Medium","#46008B"
"60","Base excision repair.POLE","Novel.XAB2",900,"database","Medium","#46008B"
"61","Base excision repair.POLE","Novel.RPS27A",900,"database","Medium","#46008B"
"62","Base excision repair.POLE","Novel.UBB",900,"database","Medium","#46008B"
"63","Base excision repair.POLE","Novel.EIF4G1",417,"experimental","Medium","#46008B"
"64","Base excision repair.POLE","Novel.MSH2",900,"database","Medium","#46008B"
"65","Base excision repair.POLE","Novel.RAD51",900,"database","Medium","#46008B"
"66","Base excision repair.POLE","Novel.ISG15",900,"database","Medium","#46008B"
"67","Base excision repair.POLE","Novel.USP1",900,"database","Medium","#46008B"
"68","Base excision repair.POLE","Novel.LRRC46",774,"experimental","Medium","#46008B"
"69","Novel.ADPRHL1","Protein export.SRP68",424,"experimental","High","#00238B"
"70","Novel.ADPRHL1","Novel.EIF4B",614,"experimental","High","#00238B"
"71","Novel.ADPRHL1","Novel.RAE1",614,"experimental","High","#00238B"
"72","Novel.ATP1B3","Novel.RPLP2",417,"experimental","High","#00238B"
"73","Novel.ATP1B3","Novel.RPL26L1",417,"experimental","High","#00238B"
"74","Novel.BCAS2","Novel.SF3B6",900,"database","Medium","#00238B"
"75","Novel.BCAS2","Novel.POLR2J",900,"database","Medium","#00238B"
"76","Novel.BCAS2","Novel.POLR2F",900,"database","Medium","#00238B"
"77","Novel.BCAS2","Novel.YBX1",900,"database","Medium","#00238B"
"78","Novel.BCAS2","Novel.CCAR1",900,"database","Medium","#00238B"
"79","Novel.BCAS2","Novel.XAB2",900,"database","Medium","#00238B"
"80","Novel.BCAS2","Novel.PTBP1",900,"database","Medium","#00238B"
"81","Novel.BCL2L1","Novel.NMI",900,"database","High","#00238B"
"82","Novel.BRCA2","Base excision repair.POLD3",900,"database","Medium","#00238B"
"83","Novel.BRCA2","Base excision repair.POLD4",900,"database","Medium","#00238B"
"84","Novel.BRCA2","Base excision repair.PCNA",900,"database","Medium","#00238B"
"85","Novel.BRCA2","Base excision repair.POLE",900,"database","Medium","#00238B"
"86","Novel.CALR","Base excision repair.PCNA",417,"experimental","Medium","#00238B"
"87","Novel.CALR","Protein export.HSPA5",900,"database","Medium","#00238B"
"88","Novel.CALR","Novel.P4HB",774,"experimental","Medium","#00238B"
"89","Novel.CALR","Novel.PDIA3",900,"database","Medium","#00238B"
"90","Novel.CALR","Novel.APOB",900,"database","Medium","#00238B"
"91","Novel.CALR","Novel.TAP1",900,"database","Medium","#00238B"
