"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"CCDC102B",79839,5,0.97812,0.93215,0.997988,20244,0,0.61659,0.84259,0.90429,1,17467,0,0.61659,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC103",388389,6,0.10221,0.087433,0.33459,5464,2,0.19215,0.03801,0.1295,1,2139,2,0.19215,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC105",126402,6,0.084277,0.077768,0.33459,4817,4,-1.3796,0.97246,0.99269,1,20077,0,-1.3796,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC106",29903,6,0.002854,0.0016113,0.107324,278,4,-3.2498,0.87062,0.9154,1,18008,0,-3.2498,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC107",203260,6,0.0084098,0.010005,0.286184,742,5,-3.8864,0.61929,0.7371,1,13962,1,-3.8864,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC110",256309,5,0.97123,0.907,0.977717,20114,0,0.61649,0.25137,0.39925,1,8211,1,0.61649,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC112",153733,6,0.012522,0.015949,0.329107,1038,3,-1.6711,0.71496,0.7835,1,15185,1,-1.6711,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC113",29070,6,0.1937,0.1483,0.381783,8425,3,-0.68439,0.48712,0.68267,1,12592,2,-0.68439,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC114",93233,5,0.57132,0.42078,0.589494,15789,2,-0.32375,0.21501,0.35921,1,7490,2,-0.32375,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC115",84317,6,0.58653,0.46084,0.62336,15949,2,-0.33695,0.14263,0.31259,1,5649,2,-0.33695,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC116",164592,5,0.13446,0.11414,0.359646,6570,2,-0.073549,0.20007,0.34265,1,7194,1,-0.073549,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC117",150275,6,0.06888,0.070248,0.33459,4244,4,-0.62813,0.15507,0.33243,1,6045,2,-0.62813,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC12",151903,6,0.11682,0.10149,0.35622,5980,3,-0.94834,0.74644,0.80649,1,15664,1,-0.94834,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CCDC120",90060,6,0.094719,0.085448,0.33459,5201,3,-0.4655,0.090218,0.21611,1,3990,3,-0.4655,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC121",79635,6,0.59377,0.46344,0.625191,16033,2,0.39574,0.11704,0.26743,1,4869,2,0.39574,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC122",160857,6,0.26416,0.22646,0.462088,10368,3,-0.57834,0.1445,0.31369,1,5709,1,-0.57834,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC124",115098,6,0.97736,0.92102,0.989332,20231,0,0.44219,0.17615,0.36588,1,6629,2,0.44219,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC125",202243,6,0.29429,0.2415,0.469133,10918,3,-0.48908,0.61683,0.73503,1,13933,1,-0.48908,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC126",90693,6,0.076696,0.076666,0.33459,4558,3,-0.66709,0.42403,0.61468,1,11431,2,-0.66709,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC127",133957,6,0.26412,0.22646,0.462088,10362,3,0.026277,0.58925,0.71883,1,13653,1,0.026277,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC129",223075,6,0.3999,0.29666,0.495801,12943,3,0.0056265,0.29019,0.46226,1,8966,2,0.0056265,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC13",152206,6,0.02519,0.031912,0.329107,1828,4,-1.6337,0.85348,0.89809,1,17665,0,-1.6337,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC130",81576,6,0.077967,0.076888,0.33459,4604,4,-2.4787,0.14491,0.31369,1,5724,1,-2.4787,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC134",79879,6,0.48047,0.36354,0.544959,14386,3,-0.12413,0.16914,0.35324,1,6420,1,-0.12413,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC136",64753,6,0.71787,0.55795,0.696278,17383,1,1.0192,0.27491,0.45172,1,8679,2,1.0192,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC137",339230,6,0.034698,0.045951,0.329107,2378,4,-1.9642,0.87325,0.91843,1,18053,0,-1.9642,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC138",165055,6,0.10057,0.087173,0.33459,5404,3,-0.81966,0.11939,0.27082,1,4939,2,-0.81966,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC14",64770,6,0.556,0.44093,0.607681,15608,1,0.10537,0.52402,0.6996,1,13009,1,0.10537,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC140",151278,6,0.99584,0.98652,1,20607,0,2.0922,0.014302,0.056855,1,957,4,2.0922,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC142",84865,6,0.49003,0.3722,0.551798,14558,1,2.065,0.0094285,0.041732,1,699,3,2.065,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CCDC144A",9720,5,0.32684,0.24611,0.470634,11541,3,-0.49681,0.38049,0.56438,1,10638,2,-0.49681,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC144NL",339184,5,0.033035,0.043552,0.329107,2270,4,-2.8783,0.34909,0.53705,1,10040,1,-2.8783,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC146",57639,6,0.8196,0.69203,0.806205,18570,2,0.2539,0.26356,0.44218,1,8457,2,0.2539,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC148",130940,6,0.74271,0.58713,0.72153,17668,2,0.71767,0.11458,0.26245,1,4792,1,0.71767,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC149",91050,6,0.62707,0.49372,0.650459,16358,2,0.99372,0.089736,0.21285,1,3973,3,0.99372,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC15",80071,6,0.40943,0.30123,0.497667,13130,2,0.76107,0.11007,0.25603,1,4635,3,0.76107,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC150",284992,6,0.23406,0.20085,0.44571,9594,1,0.99663,0.86299,0.90745,1,17870,0,0.99663,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC151",115948,6,0.99021,0.96156,1,20489,0,0.70188,0.10783,0.24757,1,4556,2,0.70188,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC152",100129792,6,0.076783,0.076735,0.33459,4560,4,-1.879,0.084611,0.19611,1,3803,1,-1.879,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC153",283152,6,0.097077,0.086134,0.33459,5281,4,-0.98502,0.54861,0.70569,1,13238,1,-0.98502,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC154",645811,6,0.044166,0.053929,0.329107,2929,5,-2.5445,0.2997,0.47176,1,9148,1,-2.5445,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC155",147872,6,0.11289,0.099636,0.35622,5832,2,0.58614,0.84232,0.88498,1,17461,0,0.58614,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC157",550631,5,0.69485,0.54982,0.690706,17126,2,-0.36063,0.52224,0.63652,1,12989,1,-0.36063,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC158",339965,6,0.0324,0.0447,0.329107,2236,5,-0.93935,0.55009,0.7077,1,13250,1,-0.93935,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC159",126075,6,0.21997,0.18,0.421052,9189,2,0.59054,0.67531,0.75621,1,14646,1,0.59054,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC160",347475,6,0.46067,0.34724,0.533163,14025,1,0.51711,0.21653,0.41217,1,7518,1,0.51711,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC166",100130274,6,0.52426,0.40048,0.571469,15103,3,-1.1116,0.7464,0.80649,1,15662,1,-1.1116,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC167",154467,6,0.64824,0.50084,0.653629,16599,2,1.8265,0.039961,0.13138,1,2224,4,1.8265,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC168",643677,6,0.050831,0.057025,0.329107,3273,2,1.1294,0.28529,0.46026,1,8877,2,1.1294,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC169",728591,6,0.019253,0.028672,0.329107,1485,5,-3.2284,0.40486,0.58832,1,11087,1,-3.2284,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC169-SOHLH2",100526761,5,0.4499,0.33812,0.526391,13851,2,0.20253,0.62065,0.69073,1,13975,1,0.20253,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC17",149483,6,0.81458,0.68032,0.795241,18515,1,1.3084,0.056829,0.15931,1,2887,3,1.3084,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC170",80129,6,0.13973,0.11656,0.359646,6768,4,-1.0229,0.056731,0.15931,1,2883,2,-1.0229,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC171",203238,6,0.67135,0.52258,0.671381,16847,2,0.50164,0.88631,0.93418,1,18306,0,0.50164,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC172",374355,6,0.34837,0.26488,0.474933,11972,3,-0.73663,0.13933,0.30737,1,5555,3,-0.73663,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC173",129881,6,0.011264,0.01579,0.329107,952,5,-2.8163,0.90559,0.94836,1,18669,0,-2.8163,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC174",51244,6,0.13204,0.11434,0.359646,6486,4,-1.3472,0.95002,0.98039,1,19610,0,-1.3472,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC175",729665,6,0.020563,0.029559,0.329107,1582,4,-1.5654,0.76576,0.82368,1,15978,1,-1.5654,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC177",56936,6,0.7034,0.54464,0.686231,17219,2,1.2351,0.14054,0.30944,1,5588,3,1.2351,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC178",374864,6,0.017326,0.028126,0.329107,1364,4,-1.8759,0.67118,0.7542,1,14589,1,-1.8759,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC179",100500938,6,0.7986,0.65718,0.776135,18327,2,1.0414,0.052854,0.15682,1,2743,3,1.0414,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC180",100499483,6,0.86714,0.74279,0.847794,18979,1,1.7442,0.062889,0.17173,1,3101,3,1.7442,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC181",57821,6,0.45142,0.33525,0.523192,13873,3,-0.28201,0.67837,0.75719,1,14676,1,-0.28201,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC22",28952,6,0.018175,0.028282,0.329107,1419,4,-3.1907,0.96193,0.98784,1,19867,0,-3.1907,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC24",149473,6,0.062844,0.06219,0.329107,3932,3,-0.25045,0.28502,0.46026,1,8872,1,-0.25045,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC25",55246,6,0.36438,0.27528,0.48186,12299,2,1.3293,0.069069,0.17695,1,3305,3,1.3293,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC27",148870,6,0.66388,0.51266,0.662356,16766,2,0.0066922,0.32114,0.50218,1,9542,2,0.0066922,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC28A",25901,6,0.49609,0.37876,0.55516,14659,3,-0.5393,0.76917,0.82666,1,16050,1,-0.5393,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC28B",79140,6,0.66927,0.51927,0.668307,16828,2,0.66982,0.45105,0.64586,1,11944,2,0.66982,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC3",83643,6,0.048047,0.055356,0.329107,3131,3,0.69314,0.029049,0.10329,1,1707,3,0.69314,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC30",728621,6,0.068734,0.070183,0.33459,4224,3,-2.2777,0.044159,0.14123,1,2428,1,-2.2777,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC33",80125,6,0.24577,0.21252,0.455811,9937,3,0.10755,0.14083,0.30944,1,5598,3,0.10755,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC34",91057,6,0.46627,0.35045,0.534763,14127,3,-0.81296,0.89777,0.9447,1,18513,0,-0.81296,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC36",339834,6,0.023861,0.031727,0.329107,1760,5,-2.2849,0.9663,0.99004,1,19944,0,-2.2849,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC38",120935,6,0.010256,0.015681,0.329107,877,5,-3.7115,0.88169,0.92963,1,18209,0,-3.7115,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC39",339829,6,0.95613,0.85516,0.937054,19857,1,0.72528,0.21738,0.41217,1,7538,2,0.72528,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC40",55036,6,0.30585,0.24719,0.470634,11152,2,1.5328,0.0022267,0.013891,1,173,3,1.5328,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CCDC42",146849,6,0.041202,0.053169,0.329107,2763,3,-2.1817,0.30599,0.47667,1,9257,2,-2.1817,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC43",124808,6,0.38567,0.29074,0.494159,12706,3,-0.074392,0.24158,0.43255,1,7998,1,-0.074392,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC47",57003,6,0.75789,0.60822,0.739567,17845,2,-1.0553,0.041564,0.13501,1,2315,1,-1.0553,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC50",152137,6,0.048792,0.055792,0.329107,3168,4,-0.90576,0.88202,0.93098,1,18218,0,-0.90576,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC51",79714,6,0.42032,0.31139,0.505108,13345,1,0.23254,0.23137,0.42202,1,7798,2,0.23254,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC54",84692,6,0.14687,0.11882,0.359646,7019,4,-0.90134,0.72588,0.79046,1,15341,1,-0.90134,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC58",131076,5,0.18982,0.15694,0.393193,8299,3,-0.86896,0.089288,0.21613,1,3957,2,-0.86896,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC59",29080,5,0.083854,0.072757,0.33459,4802,4,-2.159,0.92486,0.96531,1,19082,0,-2.159,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC6",8030,6,0.33189,0.25862,0.473134,11646,2,0.5147,0.72105,0.79046,1,15272,1,0.5147,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC60",160777,5,0.72871,0.59593,0.728752,17515,2,0.21186,0.56756,0.66794,1,13422,1,0.21186,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC61",729440,6,0.47859,0.36173,0.54375,14358,3,-0.19034,0.91352,0.95281,1,18831,0,-0.19034,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC62",84660,5,0.38564,0.30175,0.498071,12697,2,-0.313,0.26929,0.42724,1,8569,2,-0.313,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC63",160762,6,0.12624,0.10823,0.359646,6294,3,-1.2268,0.81773,0.8698,1,16933,1,-1.2268,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC65",85478,6,0.36138,0.27329,0.480173,12239,3,-0.53044,0.10743,0.2446,1,4546,1,-0.53044,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC66",285331,6,0.096479,0.086134,0.33459,5260,3,0.032376,0.31651,0.49668,1,9464,2,0.032376,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC68",80323,6,0.010421,0.015691,0.329107,890,3,-2.5062,0.4838,0.67846,1,12539,1,-2.5062,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC69",26112,6,0.01603,0.028047,0.329107,1281,4,-2.1952,0.21715,0.41217,1,7532,1,-2.1952,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC7",79741,6,0.0075938,0.0097406,0.286184,685,5,-2.7978,0.9466,0.978,1,19540,0,-2.7978,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC70",83446,6,0.23182,0.19879,0.445418,9524,2,-0.20284,0.82819,0.87489,1,17165,1,-0.20284,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC71",64925,6,0.99444,0.97953,1,20580,0,0.76946,0.76069,0.81964,1,15887,1,0.76946,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC71L",168455,6,0.17271,0.13126,0.365122,7807,3,-0.31153,0.079359,0.18924,1,3643,2,-0.31153,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC73",493860,4,0.58494,0.44884,0.614716,15938,1,1.1037,0.041205,0.11045,1,2292,3,1.1037,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC74A",90557,6,0.032108,0.044634,0.329107,2226,5,-3.5938,0.91698,0.95512,1,18912,0,-3.5938,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC74B",91409,5,0.057116,0.053947,0.329107,3640,4,-2.4765,0.92727,0.9666,1,19118,0,-2.4765,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC77",84318,5,0.40054,0.31668,0.510828,12969,2,0.051203,0.70212,0.76157,1,15015,1,0.051203,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC78",124093,6,0.87281,0.74537,0.849443,19026,1,0.04744,0.08998,0.21285,1,3985,2,0.04744,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC8",83987,6,0.15011,0.11947,0.359646,7127,3,0.33109,0.022666,0.078533,1,1371,3,0.33109,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC80",151887,6,0.60669,0.47163,0.631422,16156,2,1.1216,0.026841,0.090993,1,1594,3,1.1216,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC81",60494,6,0.97172,0.90193,0.97452,20120,1,1.0138,0.45312,0.64725,1,11995,1,1.0138,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC82",79780,6,0.0040594,0.0020964,0.107324,385,6,-0.78445,0.99594,0.99968,1,20599,0,-0.78445,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC83",220047,6,0.086134,0.078128,0.33459,4884,4,-1.7337,0.85652,0.89987,1,17728,0,-1.7337,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC84",338657,6,0.089203,0.079442,0.33459,4995,3,-1.1371,0.036903,0.1226,1,2089,3,-1.1371,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC85A",114800,6,0.80145,0.65829,0.777017,18362,2,1.1757,0.10361,0.23748,1,4428,3,1.1757,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC85B",11007,6,0.54284,0.4208,0.589494,15398,2,1.365,0.11965,0.27365,1,4945,3,1.365,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC85C",317762,6,0.42344,0.31419,0.507718,13409,2,0.51649,0.24243,0.43255,1,8013,2,0.51649,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC86",79080,5,0.008442,0.012524,0.329107,745,4,-3.8161,0.98023,0.99627,1,20266,0,-3.8161,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC87",55231,6,0.21997,0.18,0.421052,9193,3,0.49423,0.04906,0.15044,1,2603,3,0.49423,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
