"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"SS18L2",51188,5,0.99902,0.99836,1,20677,0,-4.684,0.42081,0.6066,1,8736,0,-4.684,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSB",6741,5,0.79248,0.95597,1,18082,1,-6.7156,0.75103,0.78961,1,15574,0,-6.7156,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSBP1",6742,6,0.0093886,0.22805,1,887,6,-8.4,0.99061,0.97258,1,20481,0,-8.4,"LowConf","No","0","No","0","No","0","No","0",NA
"SSBP2",23635,6,0.1985,0.74384,1,8644,3,-7.6641,0.56502,0.73811,1,11677,0,-7.6641,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSBP3",23648,6,0.11574,0.65121,1,6233,3,-8.0707,0.58082,0.74405,1,12016,0,-8.0707,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSBP4",170463,6,0.62338,0.94134,1,16365,3,-7.3061,0.25076,0.3148,1,5123,0,-7.3061,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSC5D",284297,6,0.054672,0.48709,1,3622,3,-7.9548,0.96038,0.94351,1,19807,0,-7.9548,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSFA2",6744,6,0.14117,0.6791,1,6978,3,-8.0469,0.62058,0.76568,1,12836,0,-8.0469,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSH1",54434,5,0.18501,0.69095,1,8271,2,-7.345,0.66852,0.75154,1,13834,0,-7.345,"LowConf","No","0","No","0","No","0","No","0",NA
"SSH2",85464,6,0.50859,0.9136,1,14656,3,-7.0827,0.038518,0.076403,1,794,1,-7.0827,"LowConf","No","0","No","0","No","0","No","0",NA
"SSH3",54961,6,0.58545,0.93412,1,15807,3,-7.3026,0.00069297,0.0028478,1,26,1,-7.3026,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"SSMEM1",136263,6,0.080556,0.58133,1,4828,2,-6.745,0.40386,0.56679,1,8355,0,-6.745,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSNA1",8636,6,0.51655,0.91591,1,14769,3,-7.5888,0.54466,0.72396,1,11288,0,-7.5888,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSPN",8082,6,0.002119,0.096938,1,245,5,-9.1512,0.92869,0.91655,1,19152,0,-9.1512,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSPO",23145,6,0.44416,0.89469,1,13696,3,-7.745,0.55839,0.73416,1,11524,0,-7.745,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSR1",6745,6,0.0045327,0.15683,1,484,5,-9.2618,0.92673,0.91461,1,19117,0,-9.2618,"LowConf","No","0","No","0","No","0","No","0",NA
"SSR2",6746,6,0.053084,0.482,1,3511,3,-6.6569,0.71489,0.80031,1,14795,0,-6.6569,"LowConf","No","0","No","0","No","0","No","0",NA
"SSR3",6747,6,0.14397,0.683,1,7068,4,-8.4937,0.3015,0.40173,1,6167,0,-8.4937,"LowConf","No","0","No","0","No","0","No","0",NA
"SSR4",6748,6,0.001206,0.065251,1,157,2,-7.0888,0.5095,0.69184,1,10538,0,-7.0888,"LowConf","No","0","No","0","No","0","No","0",NA
"SSRP1",6749,5,0.37683,0.83489,1,12659,2,-7.4942,0.89387,0.87696,1,18447,0,-7.4942,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SSSCA1",10534,6,0.054672,0.48709,1,3621,3,-8.1156,0.022456,0.060299,1,484,1,-8.1156,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SST",6750,6,0.74286,0.96202,1,17614,2,-4.231,0.36011,0.50324,1,7416,0,-4.231,"LowConf","No","0","No","0","No","0","No","0",NA
"SSTR1",6751,6,0.62912,0.94211,1,16447,2,-6.5221,0.23628,0.31037,1,4854,0,-6.5221,"LowConf","No","0","No","0","No","0","No","0",NA
"SSTR2",6752,5,0.0076715,0.17747,1,750,5,-8.7745,0.97711,0.94664,1,20158,0,-8.7745,"LowConf","No","0","No","0","No","0","No","0",NA
