"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"A1BG",1,6,0.15263,0.69079,1,7326,3,-7.8725,0.33767,0.46522,1,6944,0,-7.8725,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.70301,0.9553,1,17256,2,-7.036,0.89547,0.89548,1,18464,0,-7.036,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.0038061,0.13524,1,406,5,-8.9193,0.92869,0.91655,1,19163,0,-8.9193,"LowConf","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.019968,0.30702,1,1650,4,-8.2123,0.61204,0.75557,1,12665,0,-8.2123,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.17245,0.71502,1,7925,3,-7.5737,0.49496,0.6827,1,10246,0,-7.5737,"LowConf","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.12935,0.66739,1,6634,4,-8.5475,0.6281,0.76834,1,12976,0,-8.5475,"LowConf","No","0","No","0","No","0","No","0",NA
"A4GNT",51146,6,0.16501,0.70855,1,7689,4,-8.2802,0.57143,0.74014,1,11833,0,-8.2802,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.59391,0.93653,1,15966,3,-7.7282,0.80093,0.84491,1,16564,0,-7.7282,"LowConf","No","0","No","0","No","0","No","0",NA
"AACS",65985,6,0.077519,0.56958,1,4709,4,-8.5025,0.039164,0.076403,1,807,1,-8.5025,"LowConf","No","0","No","0","No","0","No","0",NA
"AADAC",13,5,0.74616,0.94856,1,17650,2,-5.2271,0.10302,0.12332,1,2089,0,-5.2271,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.045796,0.45761,1,3160,5,-8.6381,0.66967,0.77883,1,13860,0,-8.6381,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.098812,0.62003,1,5609,4,-8.4804,0.66408,0.77883,1,13768,0,-8.4804,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.0051762,0.16693,1,544,4,-9.264,0.88514,0.89367,1,18261,0,-9.264,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.72538,0.95937,1,17442,2,-6.806,0.74551,0.81704,1,15479,0,-6.806,"LowConf","No","0","No","0","No","0","No","0",NA
"AAED1",195827,6,0.24362,0.78381,1,9819,3,-7.7769,0.57143,0.74014,1,11835,0,-7.7769,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,0.56465,0.92937,1,15476,2,-5.3988,0.21478,0.27893,1,4404,0,-5.3988,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",22848,5,0.397,0.84725,1,12966,1,-7.0116,0.60715,0.71713,1,12545,0,-7.0116,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.16485,0.70824,1,7681,3,-7.1265,0.32915,0.44719,1,6789,0,-7.1265,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",14,6,0.94403,0.98632,1,19684,1,-4.9832,0.22434,0.28811,1,4602,0,-4.9832,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",15,6,0.3406,0.85303,1,12076,3,-7.8153,0.35809,0.50324,1,7370,0,-7.8153,"LowConf","No","0","No","0","No","0","No","0",NA
"AAR2",25980,6,0.73951,0.96152,1,17582,1,-6.4611,0.7893,0.83782,1,16331,0,-6.4611,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,5,0.38015,0.8381,1,12717,3,-7.356,0.082117,0.10985,1,1658,0,-7.356,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,0.80971,0.97067,1,18305,2,-7.2585,0.76328,0.82559,1,15854,0,-7.2585,"LowConf","No","0","No","0","No","0","No","0",NA
"AARS2",57505,6,0.026393,0.35146,1,2054,4,-8.7185,0.1281,0.15164,1,2607,0,-8.7185,"LowConf","No","0","No","0","No","0","No","0",NA
"AARSD1",80755,6,0.057592,0.50108,1,3744,3,-7.7261,0.75151,0.81848,1,15602,0,-7.7261,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",132949,5,0.079496,0.52631,1,4786,4,-7.8526,0.44255,0.62065,1,9186,0,-7.8526,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,5,0.0062054,0.15553,1,634,4,-8.9595,0.94319,0.91711,1,19440,0,-8.9595,"LowConf","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.28524,0.82073,1,10853,2,-7.5853,0.84967,0.87053,1,17546,0,-7.5853,"LowConf","No","0","No","0","No","0","No","0",NA
"AATF",26574,6,0.49714,0.91161,1,14483,2,-4.5374,0.18207,0.23203,1,3721,0,-4.5374,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,0.24045,0.78232,1,9727,3,-7.8746,0.23278,0.31037,1,4773,0,-7.8746,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABAT",18,5,0.069102,0.50356,1,4326,4,-7.5472,0.77385,0.80639,1,16053,0,-7.5472,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA1",19,6,0.26762,0.80695,1,10453,2,-6.6289,0.32544,0.43983,1,6685,0,-6.6289,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.73689,0.96107,1,17565,2,-6.7667,0.1508,0.17734,1,3069,0,-6.7667,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.36491,0.8667,1,12470,3,-7.6812,0.28977,0.37379,1,5918,0,-7.6812,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.52716,0.91798,1,14939,2,-7.1459,0.6162,0.76295,1,12745,0,-7.1459,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,0.35384,0.86176,1,12285,3,-7.6268,0.82216,0.85547,1,17012,0,-7.6268,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA3",21,5,0.44319,0.87015,1,13683,3,-7.4811,0.54277,0.69099,1,11240,0,-7.4811,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.30008,0.82753,1,11153,4,-7.9405,0.22563,0.28811,1,4626,0,-7.9405,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA5",23461,6,0.24927,0.79095,1,9979,3,-7.6407,0.53557,0.70711,1,11100,0,-7.6407,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA6",23460,6,0.22402,0.76544,1,9315,2,-6.9531,0.49384,0.6827,1,10216,0,-6.9531,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA7",10347,6,0.66548,0.9499,1,16887,2,-6.8689,0.34032,0.46881,1,7004,0,-6.8689,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA8",10351,6,0.49657,0.91128,1,14468,3,-7.0069,0.13908,0.15686,1,2828,0,-7.0069,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA9",10350,5,0.19108,0.69541,1,8455,3,-7.6517,0.54277,0.69099,1,11235,0,-7.6517,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB1",5243,6,0.28271,0.81935,1,10797,3,-7.441,0.7953,0.84046,1,16494,0,-7.441,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB10",23456,6,0.069198,0.54435,1,4332,3,-7.3957,0.17563,0.22242,1,3585,0,-7.3957,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB11",8647,6,0.74525,0.9626,1,17637,2,-7.0208,0.47734,0.67341,1,9879,0,-7.0208,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB4",5244,6,0.60621,0.93891,1,16122,3,-7.1385,0.31161,0.42101,1,6370,0,-7.1385,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB5",340273,5,0.097377,0.56636,1,5540,1,-2.4373,0.094001,0.11886,1,1902,0,-2.4373,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB6",10058,6,0.3824,0.87286,1,12762,2,-6.5005,0.5384,0.7156,1,11169,0,-6.5005,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB7",22,6,0.913,0.9834,1,19353,1,-6.2335,0.029939,0.06564,1,634,1,-6.2335,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB8",11194,6,0.28854,0.82087,1,10912,3,-7.684,0.80629,0.84556,1,16696,0,-7.684,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB9",23457,6,0.56972,0.93043,1,15578,2,-6.3046,0.17313,0.21749,1,3533,0,-6.3046,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC1",4363,6,0.52797,0.91813,1,14958,3,-7.6553,0.50502,0.68733,1,10440,0,-7.6553,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC10",89845,6,0.76668,0.96524,1,17834,1,-6.0066,0.14139,0.15686,1,2873,0,-6.0066,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC11",85320,6,0.03174,0.38196,1,2387,3,-7.6786,0.10256,0.13583,1,2079,0,-7.6786,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC12",94160,6,0.19975,0.74528,1,8692,3,-7.3201,0.405,0.56679,1,8379,0,-7.3201,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC2",1244,5,0.60534,0.91337,1,16116,2,-6.6264,0.27805,0.38252,1,5675,0,-6.6264,"LowConf","Yes","0","No","0","Yes","0","No","0",NA
"ABCC3",8714,6,0.48666,0.90885,1,14312,2,-6.9162,0.41194,0.57566,1,8526,0,-6.9162,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC4",10257,6,0.85964,0.97806,1,18813,1,-6.1123,0.62664,0.76834,1,12948,0,-6.1123,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC5",10057,5,0.14887,0.65173,1,7205,2,-4.6697,0.0439,0.06855,1,895,1,-4.6697,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC6",368,6,0.16209,0.70418,1,7590,3,-7.561,0.53615,0.70927,1,11130,0,-7.561,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC8",6833,6,0.0035388,0.12797,1,382,5,-9.0031,0.7953,0.84046,1,16441,0,-9.0031,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCC9",10060,6,0.80103,0.96938,1,18192,1,-6.4134,0.12732,0.15164,1,2593,0,-6.4134,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCD1",215,6,0.11226,0.64653,1,6123,4,-7.9343,0.90222,0.89959,1,18593,0,-7.9343,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCD2",225,6,0.10899,0.642,1,6037,3,-7.9364,0.91962,0.90913,1,18976,0,-7.9364,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCD3",5825,6,0.13955,0.67767,1,6920,3,-7.7988,0.44535,0.62068,1,9249,0,-7.7988,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCD4",5826,6,0.21167,0.7573,1,9010,3,-7.7571,0.40733,0.56971,1,8426,0,-7.7571,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCE1",6059,5,0.044643,0.41054,1,3088,2,-7.0625,0.044973,0.06855,1,915,1,-7.0625,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABCF1",23,6,0.92735,0.98488,1,19513,1,-5.9612,0.084055,0.11968,1,1696,1,-5.9612,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABCF2",10061,6,0.15927,0.7017,1,7499,4,-8.2419,0.62349,0.76657,1,12884,0,-8.2419,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABCF3",55324,6,0.14137,0.67958,1,6986,3,-7.9711,0.14685,0.16715,1,2988,0,-7.9711,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABCG1",9619,6,0.15164,0.69002,1,7296,4,-8.0235,0.82753,0.85844,1,17119,0,-8.0235,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCG2",9429,6,0.51024,0.9149,1,14676,3,-7.5264,0.58395,0.74405,1,12123,0,-7.5264,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCG4",64137,6,0.0017701,0.085342,1,217,5,-8.6436,0.91309,0.90669,1,18854,0,-8.6436,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCG5",64240,6,0.87806,0.98026,1,19041,2,-6.9451,0.4272,0.593,1,8882,0,-6.9451,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCG8",64241,6,0.28899,0.82117,1,10934,4,-7.9473,0.95168,0.9372,1,19629,0,-7.9473,"LowConf","No","0","No","0","No","0","No","0",NA
"ABHD1",84696,6,0.85299,0.9771,1,18751,2,-7.4793,0.21449,0.27893,1,4397,0,-7.4793,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD10",55347,6,0.657,0.94869,1,16820,2,-7.0607,0.42519,0.59014,1,8837,0,-7.0607,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD11",83451,6,0.3565,0.86353,1,12340,3,-7.7213,0.58395,0.74405,1,12077,0,-7.7213,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12",26090,6,0.17232,0.71472,1,7920,3,-7.6411,0.09228,0.11968,1,1867,0,-7.6411,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12B",145447,6,0.18445,0.72642,1,8248,4,-8.1476,0.88203,0.89274,1,18190,0,-8.1476,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD13",84945,5,0.017231,0.24368,1,1488,2,-5.7938,0.059606,0.086922,1,1205,1,-5.7938,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14A",25864,6,0.34749,0.85672,1,12195,3,-7.5958,0.26219,0.35326,1,5338,0,-7.5958,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14B",84836,6,0.12231,0.65952,1,6436,4,-8.354,0.46052,0.65908,1,9553,0,-8.354,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD15",116236,6,0.19307,0.73731,1,8489,4,-7.7697,0.94639,0.93162,1,19494,0,-7.7697,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16A",7920,6,0.67967,0.95214,1,17008,1,-5.2787,0.2604,0.3448,1,5308,0,-5.2787,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16B",140701,6,0.29136,0.82315,1,10970,4,-7.6579,0.044515,0.08177,1,906,1,-7.6579,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17A",81926,5,0.45838,0.87397,1,13909,1,-5.1611,0.33636,0.47837,1,6912,0,-5.1611,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17B",51104,6,0.25559,0.79843,1,10141,4,-7.6866,0.64816,0.77708,1,13410,0,-7.6866,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17C",58489,6,0.99545,0.9972,1,20583,0,-6.9313,0.25354,0.32349,1,5178,0,-6.9313,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD2",11057,6,0.16501,0.70855,1,7701,4,-8.3304,0.97688,0.95893,1,20155,0,-8.3304,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD3",171586,6,0.42646,0.88736,1,13417,3,-7.3692,0.02663,0.06564,1,568,1,-7.3692,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD4",63874,6,0.18576,0.72754,1,8288,4,-8.1441,0.96799,0.95003,1,19987,0,-8.1441,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABHD5",51099,6,0.053845,0.48466,1,3543,2,-5.5314,0.39777,0.55152,1,8221,0,-5.5314,"LowConf","No","0","No","0","No","0","No","0",NA
"ABHD6",57406,5,0.47176,0.87889,1,14113,3,-7.3626,0.76285,0.7996,1,15808,0,-7.3626,"LowConf","No","0","No","0","No","0","No","0",NA
"ABHD8",79575,6,0.13555,0.67407,1,6804,4,-7.7132,0.35099,0.49311,1,7230,0,-7.7132,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABI1",10006,6,0.2333,0.77538,1,9538,3,-7.7583,0.85134,0.87053,1,17602,0,-7.7583,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABI2",10152,6,0.12109,0.65698,1,6391,4,-8.4471,0.90371,0.90173,1,18648,0,-8.4471,"LowConf","No","0","No","0","No","0","No","0",NA
"ABI3",51225,5,0.3081,0.79948,1,11348,2,-3.3705,0.016977,0.050126,1,382,1,-3.3705,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABI3BP",25890,6,0.0069726,0.19381,1,695,4,-7.9569,0.40119,0.56076,1,8290,0,-7.9569,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABL1",25,6,0.037623,0.42049,1,2700,3,-6.786,0.33996,0.46881,1,6995,0,-6.786,"LowConf","No","0","No","0","No","0","No","0",NA
"ABL2",27,6,0.016369,0.28956,1,1433,2,-6.8264,0.82057,0.85547,1,16976,0,-6.8264,"LowConf","No","0","No","0","No","0","No","0",NA
"ABLIM1",3983,6,0.30842,0.83449,1,11366,3,-7.0303,0.67855,0.78395,1,14039,0,-7.0303,"LowConf","No","0","No","0","No","0","No","0",NA
"ABLIM2",84448,6,0.50075,0.91214,1,14552,3,-7.2376,0.6876,0.78895,1,14232,0,-7.2376,"LowConf","No","0","No","0","No","0","No","0",NA
"ABLIM3",22885,6,0.043006,0.44524,1,2999,5,-8.5174,0.51748,0.69629,1,10696,0,-8.5174,"LowConf","No","0","No","0","No","0","No","0",NA
"ABO",28,6,0.039489,0.42508,1,2813,4,-8.7344,0.51409,0.69629,1,10653,0,-8.7344,"LowConf","No","0","No","0","No","0","No","0",NA
"ABR",29,6,0.62278,0.94126,1,16351,3,-7.4112,0.7763,0.82841,1,16068,0,-7.4112,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABRA",137735,6,0.036133,0.41209,1,2630,5,-8.4543,0.94898,0.93413,1,19559,0,-8.4543,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABRACL",58527,6,0.95775,0.98847,1,19853,1,-4.6366,0.070756,0.10339,1,1425,1,-4.6366,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABT1",29777,6,0.18201,0.72545,1,8180,1,-5.6044,0.085819,0.11968,1,1727,1,-5.6044,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABTB1",80325,6,0.79882,0.96911,1,18167,2,-7.1237,0.46052,0.65908,1,9542,0,-7.1237,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABTB2",25841,6,0.053986,0.48578,1,3567,3,-7.0197,0.13354,0.15164,1,2716,0,-7.0197,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACAA1",30,6,0.27905,0.8161,1,10713,1,-6.6444,0.075142,0.10883,1,1505,1,-6.6444,"LowConf","No","0","No","0","No","0","No","0",NA
"ACAA2",10449,6,0.5733,0.93102,1,15637,2,-6.8324,0.20474,0.26044,1,4176,0,-6.8324,"LowConf","No","0","No","0","No","0","No","0",NA
"ACACA",31,6,0.051858,0.47981,1,3448,4,-8.4017,0.75626,0.81919,1,15669,0,-8.4017,"LowConf","No","0","No","0","No","0","No","0",NA
"ACACB",32,6,0.88714,0.98167,1,19165,1,-6.1601,0.28749,0.37379,1,5869,0,-6.1601,"LowConf","No","0","No","0","No","0","No","0",NA
"ACAD10",80724,6,0.87585,0.97968,1,19004,2,-6.2231,0.32344,0.43983,1,6629,0,-6.2231,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACAD11",84129,6,0.7723,0.96579,1,17884,2,-6.6556,0.10822,0.14115,1,2197,0,-6.6556,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACAD8",27034,6,0.78753,0.96771,1,18043,2,-6.8522,0.20935,0.27432,1,4288,0,-6.8522,"LowConf","No","0","No","0","No","0","No","0",NA
"ACAD9",28976,6,0.61044,0.93954,1,16189,3,-7.1095,0.79911,0.84427,1,16548,0,-7.1095,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACADL",33,6,0.10266,0.6307,1,5764,4,-8.4042,0.78508,0.83385,1,16276,0,-8.4042,"LowConf","No","0","No","0","No","0","No","0",NA
"ACADM",34,6,0.67746,0.9519,1,16999,2,-6.0288,0.28547,0.36569,1,5829,0,-6.0288,"LowConf","No","0","No","0","No","0","No","0",NA
"ACADS",35,6,0.066889,0.53797,1,4221,5,-8.2614,0.59196,0.74405,1,12253,0,-8.2614,"LowConf","No","0","No","0","No","0","No","0",NA
"ACADSB",36,6,0.0037038,0.1344,1,401,4,-9.3241,0.30207,0.40173,1,6177,0,-9.3241,"LowConf","No","0","No","0","No","0","No","0",NA
"ACADVL",37,6,0.86893,0.97901,1,18933,2,-7.2504,0.70978,0.79874,1,14684,0,-7.2504,"LowConf","No","0","No","0","No","0","No","0",NA
"ACAN",176,6,0.050833,0.47473,1,3401,5,-8.4384,0.92673,0.91461,1,19114,0,-8.4384,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACAP1",9744,6,0.10199,0.62789,1,5727,3,-7.7214,0.39824,0.55152,1,8235,0,-7.7214,"LowConf","No","0","No","0","No","0","No","0",NA
"ACAP2",23527,6,0.036615,0.41335,1,2647,4,-8.3451,0.12686,0.15164,1,2583,0,-8.3451,"LowConf","No","0","No","0","No","0","No","0",NA
"ACAP3",116983,6,0.218,0.76241,1,9168,3,-7.331,0.66908,0.77883,1,13853,0,-7.331,"LowConf","No","0","No","0","No","0","No","0",NA
"ACAT1",38,6,0.0014901,0.076082,1,187,5,-8.8924,0.18934,0.24644,1,3865,0,-8.8924,"LowConf","No","0","No","0","No","0","No","0",NA
"ACAT2",39,6,0.081596,0.583,1,4861,3,-8.1582,0.93132,0.9177,1,19210,0,-8.1582,"LowConf","No","0","No","0","No","0","No","0",NA
"ACBD3",64746,6,0.48005,0.90608,1,14225,3,-7.5833,0.4381,0.60839,1,9119,0,-7.5833,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACBD4",79777,6,0.10899,0.642,1,6035,4,-8.4617,0.82753,0.85844,1,17087,0,-8.4617,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACBD5",91452,6,0.10479,0.63197,1,5857,3,-7.7619,0.6512,0.77708,1,13465,0,-7.7619,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACBD6",84320,6,0.956,0.9883,1,19821,1,-6.6305,0.33829,0.46522,1,6960,0,-6.6305,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACBD7",414149,6,0.11717,0.65314,1,6276,4,-8.4109,0.53836,0.7156,1,11168,0,-8.4109,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACCS",84680,6,0.021423,0.31667,1,1741,3,-7.5698,0.20563,0.26044,1,4222,0,-7.5698,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACCSL",390110,6,0.39286,0.87507,1,12911,3,-7.3373,0.46634,0.66149,1,9660,0,-7.3373,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACD",65057,6,0.43817,0.89203,1,13599,3,-7.26,0.61452,0.76116,1,12708,0,-7.26,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACE",1636,6,0.24913,0.79095,1,9976,3,-7.6109,0.40353,0.56679,1,8349,0,-7.6109,"LowConf","No","0","No","0","No","0","No","0",NA
"ACE2",59272,6,0.17609,0.71924,1,8015,4,-7.6752,0.68714,0.78895,1,14224,0,-7.6752,"LowConf","No","0","No","0","No","0","No","0",NA
"ACER1",125981,6,0.024636,0.34115,1,1946,5,-8.551,0.67134,0.77883,1,13889,0,-8.551,"LowConf","No","0","No","0","No","0","No","0",NA
"ACER2",340485,6,0.34013,0.85275,1,12046,4,-7.9383,0.52004,0.69851,1,10760,0,-7.9383,"LowConf","No","0","No","0","No","0","No","0",NA
"ACER3",55331,6,0.022362,0.32642,1,1792,4,-8.7847,0.18585,0.23691,1,3802,0,-8.7847,"LowConf","No","0","No","0","No","0","No","0",NA
"ACHE",43,6,0.037473,0.42049,1,2691,4,-8.8852,0.7763,0.82841,1,16075,0,-8.8852,"LowConf","No","0","No","0","No","0","No","0",NA
"ACIN1",22985,6,0.010182,0.23416,1,958,6,-8.2951,0.98982,0.97147,1,20461,0,-8.2951,"LowConf","No","0","No","0","No","0","No","0",NA
"ACKR2",1238,6,0.0057625,0.17786,1,600,2,-7.6016,0.21247,0.27893,1,4353,0,-7.6016,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACKR3",57007,6,0.035682,0.41124,1,2591,2,-7.1921,0.31247,0.42484,1,6388,0,-7.1921,"LowConf","No","0","No","0","Yes","0","No","0",NA
"ACKR4",51554,6,0.048215,0.46541,1,3280,4,-8.6726,0.13699,0.15686,1,2783,0,-8.6726,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACLY",47,6,0.25791,0.80355,1,10195,4,-7.8884,0.15981,0.1926,1,3241,0,-7.8884,"LowConf","No","0","No","0","No","0","No","0",NA
"ACMSD",130013,6,0.043241,0.44557,1,3007,3,-7.7519,0.24534,0.3148,1,5015,0,-7.7519,"LowConf","No","0","No","0","No","0","No","0",NA
"ACO1",48,6,0.54092,0.92189,1,15132,3,-7.6603,0.3785,0.53915,1,7825,0,-7.6603,"LowConf","No","0","No","0","No","0","No","0",NA
"ACO2",50,5,0.85665,0.96395,1,18789,1,-5.5848,0.2276,0.30791,1,4663,0,-5.5848,"LowConf","No","0","No","0","No","0","No","0",NA
"ACOT1",641371,6,0.014848,0.27573,1,1334,5,-8.7099,0.42974,0.593,1,8930,0,-8.7099,"LowConf","No","0","No","0","No","0","No","0",NA
"ACOT11",26027,6,0.21545,0.76033,1,9099,2,-6.0218,0.32915,0.44719,1,6747,0,-6.0218,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACOT12",134526,5,0.058546,0.46981,1,3796,3,-5.0647,0.15024,0.18878,1,3056,0,-5.0647,"LowConf","No","0","No","0","No","0","No","0",NA
"ACOT13",55856,6,0.99208,0.9959,1,20497,0,-3.579,0.23249,0.31037,1,4767,0,-3.579,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACOT2",10965,6,0.2429,0.78381,1,9808,4,-7.3972,0.84367,0.86608,1,17432,0,-7.3972,"LowConf","No","0","No","0","No","0","No","0",NA
"ACOT4",122970,6,0.32795,0.84516,1,11780,4,-7.6716,0.27515,0.35737,1,5620,0,-7.6716,"LowConf","No","0","No","0","No","0","No","0",NA
"ACOT6",641372,6,0.55098,0.9245,1,15288,1,-5.7471,0.18913,0.24644,1,3862,0,-5.7471,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACOT7",11332,6,0.30346,0.83007,1,11230,3,-7.8418,0.41656,0.57861,1,8633,0,-7.8418,"LowConf","No","0","No","0","No","0","No","0",NA
"ACOT8",10005,6,0.034113,0.39794,1,2518,3,-8.2523,0.25374,0.32349,1,5181,0,-8.2523,"LowConf","No","0","No","0","No","0","No","0",NA
"ACOT9",23597,6,0.04568,0.45761,1,3148,5,-8.8041,0.93584,0.92313,1,19294,0,-8.8041,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ACOX1",51,6,0.19879,0.74456,1,8669,4,-8.0903,0.92475,0.90992,1,19076,0,-8.0903,"LowConf","No","0","No","0","No","0","No","0",NA
