Column1,EntrezID,Zscore,GeneSymbol,NetworkDegree,Exp_Stat_Value,KEGGdb,LowestCSAscore,LowestCSAscoreCorrected,ZSdes,NAdes,CSAdes,Replicate1
2840,152185,-2.682,SPICE1,2,0,Absent,0.122,0.122,HitbyZS,HitbyNA,HitbyCSA,0.5
3639,198437,-2.675,LKAAEAR1,0,1,Absent,0.155,0.155,HitbyZS,HitbyNA,HitbyCSA,1
5589,26211,-2.675,OR2F1,0,0,Present,0.202,0.202,HitbyZS,HitbyNA,HitbyCSA,0.5
7841,375790,-2.667,AGRN,1,1,Present,0.496,0.496,HitbyZS,HitbyNA,HitbyCSA,1
7736,3728,-2.665,JUP,13,1,Present,0.346,0.346,HitbyZS,HitbyNA,HitbyCSA,1
11037,55294,-2.659,FBXW7,13,1,Present,0.214,0.214,HitbyZS,HitbyNA,HitbyCSA,1
2101,133121,-2.656,ENPP6,0,0,Present,0.225,0.225,HitbyZS,HitbyNA,HitbyCSA,0.5
3635,1981,-2.656,EIF4G1,9,1,Present,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
11770,5692,-2.656,PSMB4,26,1,Present,0.251,0.251,HitbyZS,HitbyNA,HitbyCSA,1
9804,51371,-2.645,POMP,10,1,Present,0.557,0.557,HitbyZS,HitbyNA,HitbyCSA,1
14521,7852,-2.641,CXCR4,3,1,Present,0.15,0.15,HitbyZS,HitbyNA,HitbyCSA,1
6203,283598,-2.638,C14orf177,0,0,Absent,0.087,0.087,HitbyZS,HitbyNA,HitbyCSA,0.5
11510,56,-2.635,ACRV1,0,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
16873,8992,-2.634,ATP6V0E1,0,1,Present,0.291,0.291,HitbyZS,HitbyNA,HitbyCSA,1
4917,23627,-2.628,PRND,0,0,Absent,0.087,0.087,HitbyZS,HitbyNA,HitbyCSA,0.5
11134,55466,-2.628,DNAJA4,0,1,Absent,0.083,0.083,HitbyZS,HitbyNA,HitbyCSA,1
15366,8153,-2.627,RND2,0,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
16486,8557,-2.627,TCAP,0,1,Absent,0.205,0.205,HitbyZS,HitbyNA,HitbyCSA,1
301,10318,-2.623,TNIP1,2,1,Absent,0.796,0.796,HitbyZS,HitbyNA,HitbyCSA,1
16050,84464,-2.62,SLX4,7,1,Absent,0.161,0.161,HitbyZS,HitbyNA,HitbyCSA,1
11576,56145,-2.618,PCDHA3,0,1,Absent,0.289,0.289,HitbyZS,HitbyNA,HitbyCSA,1
6938,3140,-2.615,MR1,0,1,Absent,0.178,0.178,HitbyZS,HitbyNA,HitbyCSA,1
9917,51542,-2.611,VPS54,0,1,Absent,0.002,0.002,HitbyZS,HitbyNA,0,0
12712,6181,-2.604,RPLP2,10,1,Present,0.204,0.204,HitbyZS,HitbyNA,HitbyCSA,1
11141,55501,-2.601,CHST12,0,1,Present,0.073,0.073,HitbyZS,HitbyNA,HitbyCSA,1
4865,23557,-2.6,SNAPIN,4,1,Absent,0.332,0.332,HitbyZS,HitbyNA,HitbyCSA,1
13644,6674,-2.599,SPAG1,0,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
92,10097,-2.595,ACTR2,10,1,Absent,0.085,0.085,HitbyZS,HitbyNA,HitbyCSA,1
8652,4154,-2.594,MBNL1,4,1,Absent,0.017,0.017,HitbyZS,HitbyNA,0,0
16534,8623,-2.594,ASMTL,0,1,Absent,0.17,0.17,HitbyZS,HitbyNA,HitbyCSA,1
7131,3362,-2.59,HTR6,1,1,Present,0.493,0.493,HitbyZS,HitbyNA,HitbyCSA,1
14848,79734,-2.588,KCTD17,4,1,Absent,0.339,0.339,HitbyZS,HitbyNA,HitbyCSA,1
264,10278,-2.587,EFS,0,1,Absent,0.127,0.127,HitbyZS,HitbyNA,HitbyCSA,1
9008,4632,-2.586,MYL1,0,0,Absent,0.079,0.079,HitbyZS,HitbyNA,HitbyCSA,0.5
4378,22938,-2.581,SNW1,12,1,Present,0.1,0.1,HitbyZS,HitbyNA,HitbyCSA,1
6670,29777,-2.577,ABT1,2,1,Absent,0.06,0.06,HitbyZS,HitbyNA,HitbyCSA,1
3804,203228,-2.572,C9orf72,0,1,Absent,0.157,0.157,HitbyZS,HitbyNA,HitbyCSA,1
1264,114771,-2.571,PGLYRP3,0,1,Absent,0.099,0.099,HitbyZS,HitbyNA,HitbyCSA,1
15918,84246,-2.566,MED10,8,1,Absent,0.002,0.002,HitbyZS,HitbyNA,0,0
2520,1459,-2.561,CSNK2A2,54,1,Present,0.212,0.212,HitbyZS,HitbyNA,HitbyCSA,1
12525,5961,-2.561,PRPH2,0,1,Present,0.086,0.086,HitbyZS,HitbyNA,HitbyCSA,1
12164,57595,-2.559,PDZD4,0,1,Absent,0.152,0.152,HitbyZS,HitbyNA,HitbyCSA,1
16886,89978,-2.558,DPH6,0,0,Absent,0.058,0.058,HitbyZS,HitbyNA,HitbyCSA,0.5
12004,57333,-2.551,RCN3,1,1,Absent,0.066,0.066,HitbyZS,HitbyNA,HitbyCSA,1
5891,27120,-2.55,DKKL1,0,1,Absent,0.272,0.272,HitbyZS,HitbyNA,HitbyCSA,1
13498,655,-2.547,BMP7,3,0,Present,0.164,0.164,HitbyZS,HitbyNA,HitbyCSA,0.5
18056,9935,-2.544,MAFB,2,1,Absent,0.232,0.232,HitbyZS,HitbyNA,HitbyCSA,1
6485,2879,-2.543,GPX4,2,1,Present,0.176,0.176,HitbyZS,HitbyNA,HitbyCSA,1
4043,219960,-2.534,OR10Q1,0,1,Present,0.078,0.078,HitbyZS,HitbyNA,HitbyCSA,1
390,1043,-2.528,CD52,0,1,Absent,0.078,0.078,HitbyZS,HitbyNA,HitbyCSA,1
147,10156,-2.523,RASA4,1,1,Absent,0.057,0.057,HitbyZS,HitbyNA,HitbyCSA,1
9657,51192,-2.521,CKLF,0,1,Absent,0.057,0.057,HitbyZS,HitbyNA,HitbyCSA,1
15487,81931,-2.519,ZNF93,0,1,Absent,0.057,0.057,HitbyZS,HitbyNA,HitbyCSA,1
12704,6166,-2.518,RPL36AL,1,1,Present,0.088,0.088,HitbyZS,HitbyNA,HitbyCSA,1
12276,57804,-2.517,POLD4,0,1,Present,0.068,0.068,HitbyZS,HitbyNA,HitbyCSA,1
16666,8777,-2.516,MPDZ,0,0,Present,0.154,0.154,HitbyZS,HitbyNA,HitbyCSA,0.5
17816,9673,-2.514,SLC25A44,1,1,Absent,0.188,0.188,HitbyZS,HitbyNA,HitbyCSA,1
5626,26266,-2.511,SLC13A4,0,0,Absent,0.073,0.073,HitbyZS,HitbyNA,HitbyCSA,0.5
10968,55224,-2.509,ETNK2,1,1,Present,0.278,0.278,HitbyZS,HitbyNA,HitbyCSA,1
3861,2059,-2.502,EPS8,9,1,Absent,0,0,HitbyZS,HitbyNA,0,0
7267,340075,-2.495,ARSI,0,1,Absent,0.09,0.09,HitbyZS,HitbyNA,HitbyCSA,1
14895,79796,-2.485,ALG9,0,1,Present,0.062,0.062,HitbyZS,HitbyNA,HitbyCSA,1
932,11075,-2.484,STMN2,3,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
13548,65981,-2.481,CAPRIN2,0,1,Absent,0.088,0.088,HitbyZS,HitbyNA,HitbyCSA,1
4826,23518,-2.479,R3HDM1,0,1,Absent,0.073,0.073,HitbyZS,HitbyNA,HitbyCSA,1
11814,56975,-2.473,FAM20C,1,1,Absent,0.205,0.205,HitbyZS,HitbyNA,HitbyCSA,1
2824,151903,-2.471,CCDC12,0,1,Present,0.14,0.14,HitbyZS,HitbyNA,HitbyCSA,1
4974,238,-2.47,ALK,0,1,Absent,0.412,0.412,HitbyZS,HitbyNA,HitbyCSA,1
562,10615,-2.469,SPAG5,2,1,Absent,0.058,0.058,HitbyZS,HitbyNA,HitbyCSA,1
9829,51402,-2.466,NA,0,0.5,Present,NA,0.055,HitbyZS,HitbyNA,HitbyCSA,1
10837,55084,-2.465,SOBP,1,1,Absent,0.014,0.014,HitbyZS,HitbyNA,0,0
17569,9412,-2.457,MED21,6,1,Absent,0.258,0.258,HitbyZS,HitbyNA,HitbyCSA,1
14795,79670,-2.454,ZCCHC6,0,1,Absent,0.055,0.055,HitbyZS,HitbyNA,HitbyCSA,1
16929,90249,-2.454,UNC5A,0,1,Present,0.616,0.616,HitbyZS,HitbyNA,HitbyCSA,1
2645,148137,-2.45,PROSER3,0,1,Absent,0.344,0.344,HitbyZS,HitbyNA,HitbyCSA,1
15302,80863,-2.449,PRRT1,0,1,Absent,0.127,0.127,HitbyZS,HitbyNA,HitbyCSA,1
11051,55311,-2.447,ZNF444,0,1,Absent,0.11,0.11,HitbyZS,HitbyNA,HitbyCSA,1
3907,212,-2.446,ALAS2,0,0,Present,0.088,0.088,HitbyZS,HitbyNA,HitbyCSA,0.5
11739,5689,-2.44,PSMB1,34,1,Present,0.346,0.346,HitbyZS,HitbyNA,HitbyCSA,1
9784,5134,-2.434,PDCD2,0,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
4773,23438,-2.433,HARS2,0,1,Present,0.065,0.065,HitbyZS,HitbyNA,HitbyCSA,1
4243,226,-2.432,ALDOA,0,1,Present,0.076,0.076,HitbyZS,HitbyNA,HitbyCSA,1
12232,577,-2.428,BAI3,0,0,Absent,0.11,0.11,HitbyZS,HitbyNA,HitbyCSA,0.5
4779,23451,-2.427,SF3B1,21,1,Present,0.601,0.601,HitbyZS,HitbyNA,HitbyCSA,1
14513,7840,-2.427,ALMS1,0,1,Absent,0.086,0.086,HitbyZS,HitbyNA,HitbyCSA,1
992,11143,-2.424,KAT7,8,1,Absent,0.107,0.107,HitbyZS,HitbyNA,HitbyCSA,1
18060,9939,-2.424,RBM8A,8,1,Present,0.045,0.045,HitbyZS,HitbyNA,0,0
8225,390437,-2.421,OR4N5,0,1,Present,0.57,0.57,HitbyZS,HitbyNA,HitbyCSA,1
1206,11344,-2.418,TWF2,8,1,Absent,0.28,0.28,HitbyZS,HitbyNA,HitbyCSA,1
12431,5891,-2.418,MOK,1,1,Absent,0.126,0.126,HitbyZS,HitbyNA,HitbyCSA,1
872,11007,-2.412,CCDC85B,26,1,Absent,0.196,0.196,HitbyZS,HitbyNA,HitbyCSA,1
10701,54929,-2.412,TMEM161A,0,1,Absent,0.069,0.069,HitbyZS,HitbyNA,HitbyCSA,1
7731,372,-2.41,ARCN1,2,1,Absent,0.1,0.1,HitbyZS,HitbyNA,HitbyCSA,1
