"Node1","Parent1","Name1","Connections1","Confidence","Node2","Parent2","Name2","Connections2","Weight","Source"
"RNA transport.UBE2I","RNA transport","UBE2I","24","Medium","Novel Genes.UBE2V2","Novel Genes","UBE2V2","2","900","database"
"Novel Genes.UBE2V2","Novel Genes","UBE2V2","2","Medium",NA,NA,NA,NA,NA,NA
