"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"Btnl1","100038862",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Btnl10","192194",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Btnl2","547431",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Btnl4","632126",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Btnl6","624681",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Btnl9","237754",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Btrc","12234",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Bub1","12235",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Bub1b","12236",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Bub3","12237",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Bud13","215051",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Bud23","66138",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Bud31","231889",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Bves","23828",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Bysl","53414",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Bzw1","66882",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Bzw2","66912",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C030006K11Rik","223665",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C130026I21Rik","620078",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C130032M10Rik","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C130050O18Rik","319772",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C130060K24Rik","243407",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C130073F10Rik","242574",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C130074G19Rik","226777",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C130079G13Rik","229333",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1d","57316",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C1galt1","94192",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C1galt1c1","59048",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C1qa","12259",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C1qb","12260",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C1qbp","12261",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qc","12262",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C1ql1","23829",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1ql2","226359",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1ql3","227580",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1ql4","239659",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf1","56745",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf12","67389",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf2","69183",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf3","81799",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf4","67445",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf5","235312",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf6","72709",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf7","109323",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1qtnf9","239126",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1ra","50909",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"C1rb","667277",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1rl","232371",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C1s1","50908",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C1s2","317677",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C2","12263",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C230096K16Rik","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd2","207781",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd2l","71764",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd3","277939",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd4a","244911",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd4b","75697",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd4c","237397",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd4d","271944",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd5","74741",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C2cd6","102636554",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C3","12266",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"C330007P06Rik","77644",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C330018D20Rik","77422",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C330021F23Rik","546049",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C3ar1","12267",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C4a","625018",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C4b","12268",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C4bp","12269",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C530008M17Rik","320827",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C530025M09Rik","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C5ar1","12273",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C5ar2","319430",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C6","12274",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C7","109828",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C77080","97130",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C79130","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C87414","381654",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C87436","232196",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C87499","381590",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C87977","97187",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"C8a","230558",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C8b","110382",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C8g","69379",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C9","12279",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"C9orf72","73205",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Caap1","67770",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cab39","12283",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cab39l","69008",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cabcoco1","73287",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cabin1","104248",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cables1","63955",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cables2","252966",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cabp1","29867",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cabp2","29866",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cabp4","73660",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cabp5","29865",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cabp7","192650",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cabs1","70977",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cabyr","71132",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cacfd1","381356",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cachd1","320508",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cacna1a","12286",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna1b","12287",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna1c","12288",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna1d","12289",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Cacna1e","12290",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna1f","54652",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna1g","12291",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna1h","58226",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna1i","239556",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna1s","12292",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna2d1","12293",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna2d2","56808",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacna2d4","319734",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacnb1","12295",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacnb2","12296",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacnb3","12297",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacnb4","12298",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacng1","12299",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacng2","12300",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacng3","54376",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacng4","54377",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacng5","140723",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacng6","54378",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacng7","81904",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cacng8","81905",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cactin","70312",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cacul1","78832",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cacybp","12301",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cad","69719",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cadm1","54725",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Cadm2","239857",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cadm3","94332",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Cadm4","260299",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cadps","27062",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cadps2","320405",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cage1","71213",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calb1","12307",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Calb2","12308",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calca","12310",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calcb","116903",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calcoco1","67488",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calcoco2","76815",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Calcr","12311",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Calcrl","54598",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cald1","109624",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Calhm1","546729",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Calhm2","72691",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calhm3","240669",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calhm4","270711",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calhm5","103511",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calhm6","215900",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calm1","12313",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Calm2","12314",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Calm3","12315",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Calm4","80796",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Calm5","494124",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Calml3","70405",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Calml4","75600",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Caln1","140904",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calr","12317",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Calr3","73316",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calr4","108802",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Calu","12321",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Caly","68566",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camk1","52163",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camk1d","227541",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camk1g","215303",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camk2a","12322",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camk2b","12323",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camk2d","108058",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camk2g","12325",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camk2n1","66259",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Camk2n2","73047",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Camk4","12326",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camkk1","55984",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Camkk2","207565",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camkmt","73582",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camkv","235604",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Caml","12328",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Camp","12796",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Camsap1","227634",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Camsap2","67886",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Camsap3","69697",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Camta1","100072",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Camta2","216874",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cand1","71902",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cand2","67088",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cant1","76025",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Canx","12330",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Cap1","12331",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cap2","67252",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capg","12332",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn1","12333",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Capn10","23830",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn11","268958",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn12","60594",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn13","381122",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn15","50817",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn2","12334",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Capn3","12335",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn5","12337",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn6","12338",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn7","12339",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn8","170725",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capn9","73647",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capns1","12336",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capns2","69543",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Caprin1","53872",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Caprin2","232560",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Caps2","353025",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capsl","75568",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Capza1","12340",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Capza2","12343",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Capza3","12344",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Capzb","12345",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Car1","12346",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car10","72605",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Car11","12348",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Car12","76459",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car13","71934",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car14","23831",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car15","80733",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car2","12349",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car3","12350",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car4","12351",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car5a","12352",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car5b","56078",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car6","12353",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car7","12354",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car8","12319",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Car9","230099",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Card10","105844",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Card11","108723",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Card14","170720",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Card19","68480",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Card6","239319",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Card9","332579",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Carf","241066",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Carhsp1","52502",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Carm1","59035",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Carmil1","68732",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Carmil2","234695",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Carmil3","268747",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Carnmt1","67383",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Carns1","107239",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cars","27267",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cars2","71941",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cartpt","27220",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casc1","320662",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casc3","192160",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casc4","319996",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casd1","213819",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cask","12361",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Caskin1","268932",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Caskin2","140721",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casp1","12362",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casp12","12364",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casp14","12365",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casp2","12366",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casp3","12367",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casp4","12363",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casp6","12368",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casp7","12369",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casp8","12370",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casp8ap2","26885",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casp9","12371",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Casq1","12372",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casq2","12373",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casr","12374",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Cass4","320664",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cast","12380",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Castor1","71962",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Castor2","80909",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Casz1","69743",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cat","12359",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"Catip","241112",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsper1","225865",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsper2","212670",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsper3","76856",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsper4","329954",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsperb","271036",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsperd","106757",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catspere1","631584",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catspere2","545391",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsperg1","320225",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsperg2","76718",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Catsperz","67077",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"Cav1","12389",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Cav2","12390",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
"Cav3","12391",NA,NA,NA,NA,"Background","Yes","0","No","0","Yes","0","No","0",NA
