"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"Clasp1","76707",4,0,219,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Wsb1","78889",2,0,4,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Gimap3","83408",2,2,45,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Cstf2t","83410",3,0,28,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Clmn","94040",0,0,5,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Txndc9","98258",0,0,3,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Cldn16","114141",1,0,12,0.5,"MedConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Cell adhesion molecules (CAMs)"
"B3galt6","117592",1,4,20,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Vgll1","170828",2,0,247,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Vmn1r225","171228",0,4,217,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Rbms3","207181",1,9,11,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"4931408C20Rik","210940",1,0,151,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Gm732","213450",5,0,11,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Gltpd2","216871",0,5,169,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Macc1","238455",7,0,263,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Olfr804","258068",4,0,620,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Olfr564","258356",2,2,14,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Olfr461","258380",3,0,354,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Olfr1350","258384",4,2,482,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Olfr1431","258409",4,0,258,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Olfr700","258593",1,0,7,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Olfr916","258780",2,0,6,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
