,GeneSymbol,EntrezID,Zscore,OffTarget_pValue,AssignedScore
3454,CRKL,1399,0.236,1,0
3455,CRLF1,9244,0.87,1,0
3456,CRLF2,64109,0.337,1,0
3457,CRLF3,51379,-1.838,1,1
3458,CRLS1,54675,0.344,1,0
3459,CRMP1,1400,-0.002,1,0
3460,CRNKL1,51340,0.505,1,0
3461,CRNN,49860,-1.452,1,0.5
3462,CROCC,9696,0.015,1,0
3463,CROT,54677,0.51,1,0
3464,CRP,1401,0.564,1,0
3465,CRTAC1,55118,0.238,1,0
3466,CRTAM,56253,0.628,1,0
3467,CRTAP,10491,-1.194,1,0.5
3468,CRTC1,23373,0.576,1,0
3469,CRTC2,200186,0.739,1,0
3470,CRTC3,64784,1.185,1,0
3471,CRX,1406,-1.036,1,0.5
3472,CRY1,1407,-0.084,1,0
3473,CRY2,1408,0.041,1,0
3474,CRYAA,1409,-0.76,1,0
3475,CRYAB,1410,0.127,0.779,0
3476,CRYBA1,1411,0.09,1,0
3477,CRYBA2,1412,1.192,1,0
3478,CRYBA4,1413,-0.794,1,0
3479,CRYBB1,1414,0.864,1,0
3480,CRYBB2,1415,0.274,1,0
3481,CRYBB3,1417,0.38,0.836,0
3482,CRYBG1,202,-0.862,1,0
3483,CRYBG2,55057,-1.678,1,1
3484,CRYBG3,131544,-0.097,1,0
3485,CRYGA,1418,-0.883,1,0
3486,CRYGB,1419,1.258,1,0
3487,CRYGC,1420,1.086,1,0
3488,CRYGD,1421,0.944,1,0
3489,CRYGN,155051,-0.274,1,0
3490,CRYGS,1427,0.499,1,0
3491,CRYL1,51084,0.488,1,0
3492,CRYM,1428,0.305,1,0
3493,CRYZ,1429,-0.848,1,0
3494,CRYZL1,9946,0.436,1,0
3495,CS,1431,0.08,1,0
3496,CSAD,51380,-1.095,1,0.5
3497,CSAG1,158511,0.474,1,0
3498,CSDC2,27254,0.748,1,0
3499,CSDE1,7812,0.39,1,0
3500,CSE1L,1434,1.552,1,0
3501,CSF1,1435,-0.786,0.596,0
3502,CSF1R,1436,-3.099,1,1
3503,CSF2,1437,-0.946,0.697,0
3504,CSF2RA,1438,0.184,1,0
3505,CSF2RB,1439,-0.491,0.233,0
3506,CSF3,1440,0.118,1,0
3507,CSF3R,1441,0.585,1,0
3508,CSGALNACT1,55790,-1.962,1,1
3509,CSGALNACT2,55454,-0.168,1,0
3510,CSH2,1443,0.695,1,0
3511,CSHL1,1444,-1.56,1,0.5
3512,CSK,1445,0.23,1,0
3513,CSKMT,751071,-0.084,1,0
3514,CSMD1,64478,1.7,1,0
3515,CSMD2,114784,-0.132,1,0
3516,CSMD3,114788,0.08,1,0
3517,CSN1S1,1446,-0.948,1,0
3518,CSN2,1447,0.166,1,0
3519,CSN3,1448,-0.22,1,0
3520,CSNK1A1,1452,-0.308,1,0
3521,CSNK1A1L,122011,0.8,1,0
3522,CSNK1D,1453,0.48,1,0
3523,CSNK1E,1454,-0.909,1,0
3524,CSNK1G1,53944,-0.76,1,0
3525,CSNK1G2,1455,0.09,1,0
3526,CSNK1G2-AS1,255193,1.133,1,0
3527,CSNK1G3,1456,1.212,1,0
3528,CSNK2A1,1457,-0.278,1,0
3529,CSNK2A2,1459,-2.561,1,1
3530,CSNK2B,1460,1.375,1,0
3531,CSPG4,1464,0.16,1,0
3532,CSPG5,10675,-1.715,1,1
3533,CSPP1,79848,0.48,1,0
3534,CSRNP1,64651,-0.356,1,0
3535,CSRNP2,81566,1,1,0
3536,CSRNP3,80034,-0.496,1,0
3537,CSRP1,1465,1.004,1,0
3538,CSRP2,1466,-1.004,1,0.5
3539,CSRP3,8048,0.21,1,0
3540,CST1,1469,0.2,1,0
3541,CST11,140880,-0.31,1,0
3542,CST2,1470,-0.706,1,0
3543,CST3,1471,0.608,1,0
3544,CST4,1472,-0.226,1,0
3545,CST5,1473,0.713,1,0
3546,CST6,1474,0.192,1,0
3547,CST7,8530,-0.038,1,0
3548,CST8,10047,0.296,1,0
3549,CST9,128822,0.598,1,0
3550,CST9L,128821,-0.02,0.697,0
3551,CSTA,1475,-1.252,1,0.5
3552,CSTB,1476,-0.4,1,0
3553,CSTF1,1477,1.507,1,0
3554,CSTF2,1478,0.154,1,0
3555,CSTF2T,23283,0.288,1,0
3556,CSTF3,1479,0.886,1,0
3557,CSTL1,128817,0.762,1,0
3558,CT45A1,541466,1.258,1,0
3559,CT45A2,728911,0.651,1,0
3560,CT45A3,441519,1.823,1,0
3561,CT45A5,441521,-0.408,1,0
3562,CT45A6,541465,0.63,1,0
3563,CT47A1,728096,1.615,1,0
3564,CT47A10,728036,1.381,1,0
3565,CT47A11,255313,1.224,1,0
3566,CT47A2,728090,-0.144,1,0
3567,CT47A3,728082,1.118,1,0
3568,CT47A4,728075,0.006,1,0
3569,CT47A5,728072,1.224,1,0
3570,CT47A6,728062,0.739,1,0
3571,CT47A7,653282,0.92,1,0
3572,CT47A8,728049,1.744,1,0
3573,CT47A9,728042,0.824,1,0
3574,CT55,54967,-0.005,1,0
3575,CT83,203413,-1.542,1,0.5
3576,CTAG1A,246100,-0.666,1,0
3577,CTAG1B,1485,0.632,1,0
3578,CTAG2,30848,-0.832,1,0
3579,CTAGE1,64693,1.29,1,0
3580,CTAGE15,441294,-0.706,1,0
3581,CTAGE6,340307,0.618,1,0
3582,CTBP1,1487,0.282,1,0
3583,CTBP1-DT,92070,-0.184,1,0
3584,CTBP2,1488,0.494,1,0
3585,CTBS,1486,1.129,1,0
3586,CTC1,80169,0.268,1,0
3587,CTCF,10664,0.81,1,0
3588,CTCFL,140690,-0.53,1,0
3589,CTDNEP1,23399,0.55,1,0
3590,CTDP1,9150,0.884,1,0
3591,CTDSP1,58190,-1.68,1,1
3592,CTDSP2,10106,1.22,1,0
3593,CTDSPL,10217,1.524,1,0
3594,CTDSPL2,51496,-1.354,1,0.5
3595,CTF1,1489,0.084,1,0
3596,CTGF,1490,-1.354,1,0.5
3597,CTH,1491,0.132,1,0
3598,CTHRC1,115908,-0.142,1,0
3599,CTIF,9811,-0.905,1,0
3600,CTLA4,1493,-0.13,1,0
3601,CTNNA1,1495,0.419,1,0
3602,CTNNA2,1496,1.168,1,0
3603,CTNNA3,29119,0.974,1,0
3604,CTNNAL1,8727,0.263,1,0
3605,CTNNB1,1499,-0.258,1,0
3606,CTNNBIP1,56998,-1.5,1,0.5
3607,CTNNBL1,56259,0.399,1,0
3608,CTNND1,1500,-2.175,1,1
3609,CTNND2,1501,0.546,1,0
3610,CTNS,1497,0.39,1,0
3611,CTPS1,1503,-0.032,1,0
3612,CTPS2,56474,0.262,1,0
3613,CTR9,9646,-0.668,1,0
3614,CTRB1,1504,-0.856,1,0
3615,CTRC,11330,0.093,0.583,0
3616,CTRL,1506,-1.089,0.004,0
3617,CTSA,5476,-0.468,1,0
3618,CTSB,1508,-0.234,1,0
3619,CTSC,1075,-0.043,1,0
3620,CTSD,1509,-0.784,1,0
3621,CTSE,1510,1.601,1,0
3622,CTSF,8722,-0.522,1,0
3623,CTSG,1511,-0.09,1,0
3624,CTSH,1512,0.176,1,0
3625,CTSK,1513,-0.476,0.363,0
3626,CTSL,1514,0.552,1,0
3627,CTSL3P,392360,-0.013,1,0
3628,CTSO,1519,0.841,1,0
3629,CTSS,1520,-0.142,1,0
3630,CTSV,1515,-0.392,0.568,0
3631,CTSW,1521,0.856,1,0
3632,CTSZ,1522,-0.072,1,0
3633,CTTN,2017,-0.095,1,0
3634,CTTNBP2,83992,-0.688,1,0
3635,CTTNBP2NL,55917,0.003,1,0
3636,CTU1,90353,-0.452,1,0
3637,CTU2,348180,0.11,1,0
3638,CTXN1,404217,0.007,1,0
3639,CTXN3,613212,0.012,1,0
3640,CUBN,8029,0.341,1,0
3641,CUEDC1,404093,-0.415,1,0
3642,CUEDC2,79004,0.033,1,0
3643,CUL1,8454,-0.313,1,0
3644,CUL2,8453,-0.18,1,0
3645,CUL3,8452,1.502,1,0
3646,CUL4A,8451,-0.496,1,0
3647,CUL4B,8450,-0.444,1,0
3648,CUL5,8065,-0.616,1,0
3649,CUL7,9820,-0.266,1,0
3650,CUL9,23113,-0.201,1,0
3651,CUTA,51596,-0.575,1,0
3652,CUTC,51076,0.489,1,0
3653,CUX1,1523,-0.962,1,0
3654,CUX2,23316,-0.484,0.155,0
3655,CUZD1,50624,-0.648,1,0
3656,CWC15,51503,-0.366,0.262,0
3657,CWC22,57703,-0.214,1,0
3658,CWC25,54883,0.192,1,0
3659,CWC27,10283,-0.301,1,0
3660,CWF19L1,55280,-1.472,1,0.5
3661,CWF19L2,143884,-0.196,1,0
3662,CWH43,80157,0.536,1,0
3663,CX3CL1,6376,-0.1,1,0
3664,CX3CR1,1524,-1.159,1,0.5
3665,CXADR,1525,0.529,1,0
3666,CXCL1,2919,0.834,1,0
3667,CXCL10,3627,-0.358,1,0
3668,CXCL11,6373,-1.223,0.751,0.5
3669,CXCL12,6387,1.184,1,0
3670,CXCL13,10563,-1.317,1,0.5
3671,CXCL14,9547,-0.309,0.654,0
3672,CXCL16,58191,-0.071,1,0
3673,CXCL17,284340,-0.526,1,0
3674,CXCL2,2920,-0.624,1,0
3675,CXCL3,2921,0.102,1,0
3676,CXCL5,6374,0.394,1,0
3677,CXCL6,6372,1.43,1,0
3678,CXCL8,3576,-0.779,1,0
3679,CXCL9,4283,-1.046,0.048,0
3680,CXCR1,3577,1.656,1,0
3681,CXCR2,3579,-0.177,1,0
3682,CXCR3,2833,-1.053,1,0.5
3683,CXCR4,7852,-2.641,1,1
3684,CXCR5,643,-0.846,1,0
3685,CXCR6,10663,0.064,1,0
3686,CXorf21,80231,-0.082,1,0
3687,CXorf38,159013,-0.758,1,0
3688,CXorf40A,91966,-0.134,1,0
3689,CXorf40B,541578,0.273,1,0
3690,CXorf56,63932,-1.156,1,0.5
3691,CXorf58,254158,-1.331,1,0.5
3692,CXorf65,158830,0.428,1,0
3693,CXorf66,347487,-0.592,1,0
3694,CXorf67,340602,-0.218,1,0
3695,CXXC1,30827,-0.644,1,0
3696,CXXC4,80319,-0.32,1,0
3697,CXXC5,51523,0,1,0
3698,CYB561,1534,-0.472,1,0
3699,CYB561A3,220002,0.079,1,0
3700,CYB561D1,284613,0.732,1,0
3701,CYB561D2,11068,0.822,1,0
3702,CYB5A,1528,1.618,1,0
3703,CYB5B,80777,-0.116,1,0
3704,CYB5D1,124637,-0.2,1,0
3705,CYB5D2,124936,0.278,1,0
3706,CYB5R1,51706,-1.67,1,1
3707,CYB5R2,51700,0.509,1,0
3708,CYB5R3,1727,-1.035,1,0.5
3709,CYB5R4,51167,-0.206,1,0
3710,CYB5RL,606495,0.36,1,0
3711,CYBA,1535,0.969,1,0
3712,CYBB,1536,-0.662,1,0
3713,CYBC1,79415,-0.88,0.273,0
3714,CYBRD1,79901,-2.096,1,1
3715,CYC1,1537,-0.306,1,0
3716,CYCS,54205,0.798,1,0
3717,CYFIP1,23191,0.487,1,0
3718,CYFIP2,26999,-1.117,1,0.5
3719,CYGB,114757,-0.337,1,0
3720,CYHR1,50626,1.574,1,0
3721,CYLC1,1538,1.166,1,0
3722,CYLC2,1539,0.426,1,0
3723,CYLD,1540,-3.084,1,1
3724,CYP11A1,1583,0.52,1,0
3725,CYP11B1,1584,0.802,1,0
3726,CYP11B2,1585,0.811,1,0
3727,CYP17A1,1586,0.075,1,0
3728,CYP19A1,1588,-1.234,1,0.5
3729,CYP1A1,1543,1.806,1,0
3730,CYP1A2,1544,0.044,1,0
3731,CYP1B1,1545,0.65,1,0
3732,CYP20A1,57404,-0.192,1,0
3733,CYP21A2,1589,-1.119,1,0.5
3734,CYP24A1,1591,-0.997,1,0
3735,CYP26A1,1592,1.898,1,0
3736,CYP26B1,56603,0.356,1,0
3737,CYP26C1,340665,0.84,1,0
3738,CYP27A1,1593,-2.756,1,1
3739,CYP27B1,1594,-1.284,1,0.5
3740,CYP27C1,339761,-0.284,1,0
3741,CYP2A13,1553,-0.862,1,0
3742,CYP2A6,1548,-1.582,1,0.5
3743,CYP2A7,1549,0.249,1,0
3744,CYP2B6,1555,0.284,1,0
3745,CYP2C18,1562,0.12,1,0
3746,CYP2C19,1557,-0.733,1,0
3747,CYP2C8,1558,-0.399,1,0
3748,CYP2C9,1559,1.716,1,0
3749,CYP2D6,1565,0.658,1,0
3750,CYP2E1,1571,0.194,1,0
3751,CYP2F1,1572,0.778,1,0
3752,CYP2J2,1573,-0.152,1,0
3753,CYP2R1,120227,-0.158,1,0
3754,CYP2S1,29785,1.19,1,0
3755,CYP2U1,113612,0.392,1,0
3756,CYP2W1,54905,-1.09,1,0.5
3757,CYP39A1,51302,-0.06,1,0
3758,CYP3A4,1576,0.205,1,0
3759,CYP3A43,64816,1.331,1,0
3760,CYP3A5,1577,-2.147,0.155,0.5
3761,CYP3A7,1551,0.354,1,0
3762,CYP46A1,10858,0.318,1,0
3763,CYP4A11,1579,1.533,1,0
3764,CYP4A22,284541,0.968,1,0
3765,CYP4B1,1580,0.348,1,0
3766,CYP4F11,57834,-0.922,1,0
3767,CYP4F12,66002,-0.286,1,0
3768,CYP4F2,8529,0.502,1,0
3769,CYP4F22,126410,0.136,1,0
3770,CYP4F3,4051,-0.089,1,0
3771,CYP4F8,11283,-1.162,1,0.5
3772,CYP4V2,285440,0.031,1,0
3773,CYP4X1,260293,0.973,1,0
3774,CYP4Z1,199974,0.356,1,0
3775,CYP51A1,1595,0.148,1,0
3776,CYP7A1,1581,0.271,1,0
3777,CYP7B1,9420,0.378,1,0
3778,CYP8B1,1582,0.902,1,0
3779,CYR61,3491,-0.373,1,0
3780,CYREN,78996,0.63,1,0
3781,CYS1,192668,-1.646,1,1
3782,CYSLTR1,10800,0.246,1,0
3783,CYSLTR2,57105,-0.222,1,0
3784,CYSRT1,375791,-0.159,1,0
3785,CYSTM1,84418,-0.55,1,0
3786,CYTH1,9267,-1.151,1,0.5
3787,CYTH2,9266,-0.605,1,0
3788,CYTH3,9265,0.064,1,0
3789,CYTH4,27128,-0.386,1,0
3790,CYTIP,9595,-0.653,1,0
3791,CYTL1,54360,-0.391,1,0
3792,CYYR1,116159,0.822,1,0
3793,D2HGDH,728294,1.896,1,0
3794,DAAM1,23002,1.424,1,0
3795,DAAM2,23500,0.6,1,0
3796,DAB1,1600,0.798,1,0
3797,DAB2,1601,-0.082,1,0
3798,DAB2IP,153090,-0.298,1,0
3799,DACH1,1602,-0.65,1,0
3800,DACH2,117154,-0.729,1,0
3801,DACT1,51339,1.286,1,0
3802,DACT2,168002,-1.101,1,0.5
3803,DACT3,147906,0.688,1,0
3804,DAD1,1603,-2.098,0.95,1
3805,DAG1,1605,-0.116,1,0
3806,DAGLA,747,0.562,1,0
3807,DAGLB,221955,-0.721,1,0
3808,DALRD3,55152,-0.654,1,0
3809,DAND5,199699,1.244,1,0
3810,DAO,1610,0.738,1,0
3811,DAOA,267012,-1.144,1,0.5
3812,DAP,1611,-0.911,1,0
3813,DAP3,7818,0.288,1,0
3814,DAPK1,1612,-0.406,1,0
3815,DAPK2,23604,-0.593,1,0
3816,DAPK3,1613,0.496,1,0
3817,DAPL1,92196,2.149,1,0
3818,DAPP1,27071,-0.01,1,0
3819,DARS,1615,0.66,1,0
3820,DARS2,55157,0.002,1,0
3821,DAW1,164781,1.153,1,0
3822,DAXX,1616,1.445,1,0
3823,DAZ1,1617,-0.274,1,0
3824,DAZ2,57055,0.208,1,0
3825,DAZ3,57054,0.133,1,0
3826,DAZ4,57135,1.218,1,0
3827,DAZAP1,26528,-0.758,1,0
3828,DAZAP2,9802,0.142,1,0
3829,DAZL,1618,-0.528,1,0
3830,DBF4,10926,0.452,1,0
3831,DBF4B,80174,-0.304,1,0
3832,DBH,1621,1.397,1,0
3833,DBI,1622,-0.388,1,0
3834,DBN1,1627,-0.448,1,0
3835,DBNDD1,79007,-0.444,0.155,0
3836,DBNDD2,55861,0.338,1,0
3837,DBNL,28988,0.183,1,0
3838,DBP,1628,-0.198,0.155,0
3839,DBR1,51163,-0.464,1,0
3840,DBT,1629,-1.42,1,0.5
3841,DBX1,120237,-0.642,1,0
3842,DBX2,440097,-0.914,1,0
3843,DCAF1,9730,1.276,1,0
3844,DCAF10,79269,0.468,1,0
3845,DCAF11,80344,0.014,1,0
3846,DCAF12,25853,0.903,1,0
3847,DCAF12L1,139170,0.601,1,0
3848,DCAF12L2,340578,-0.501,0.568,0
3849,DCAF13,25879,-0.31,1,0
3850,DCAF15,90379,0.622,1,0
3851,DCAF16,54876,-1.786,0.647,1
3852,DCAF17,80067,-1.235,1,0.5
3853,DCAF4,26094,-0.272,1,0
3854,DCAF4L1,285429,-0.525,1,0
3855,DCAF4L2,138009,-1.02,1,0.5
3856,DCAF5,8816,-0.006,1,0
3857,DCAF6,55827,0.212,1,0
3858,DCAF7,10238,-0.662,1,0
3859,DCAF8,50717,0.624,1,0
3860,DCAF8L1,139425,-0.49,1,0
3861,DCAKD,79877,-0.8,1,0
3862,DCANP1,140947,1.322,1,0
3863,DCBLD1,285761,0.546,1,0
3864,DCBLD2,131566,-1.028,1,0.5
3865,DCC,1630,1.072,1,0
3866,DCD,117159,-0.902,1,0
3867,DCDC1,341019,-0.868,1,0
3868,DCDC2,51473,0.728,1,0
3869,DCHS1,8642,1.661,1,0
3870,DCK,1633,-1.437,1,0.5
3871,DCLK1,9201,0.154,1,0
3872,DCLK2,166614,0.57,1,0
3873,DCLK3,85443,0.983,1,0
3874,DCLRE1A,9937,-0.318,1,0
3875,DCLRE1B,64858,0.352,1,0
3876,DCLRE1C,64421,0.192,1,0
3877,DCN,1634,-0.076,1,0
3878,DCP1A,55802,0.93,1,0
3879,DCP1B,196513,0.106,1,0
3880,DCP2,167227,-0.399,1,0
3881,DCPS,28960,-0.226,1,0
3882,DCST1,149095,0.398,1,0
3883,DCST2,127579,0.428,1,0
3884,DCSTAMP,81501,-0.452,1,0
3885,DCT,1638,-0.116,1,0
3886,DCTD,1635,-0.053,1,0
3887,DCTN1,1639,1.426,1,0
3888,DCTN2,10540,0.292,1,0
3889,DCTN4,51164,-0.8,1,0
3890,DCTN5,84516,0.821,1,0
3891,DCTN6,10671,-0.188,1,0
3892,DCTPP1,79077,-0.754,1,0
3893,DCUN1D1,54165,-0.55,1,0
3894,DCUN1D2,55208,1.065,1,0
3895,DCUN1D3,123879,0.228,1,0
3896,DCUN1D4,23142,-0.252,1,0
3897,DCUN1D5,84259,-0.229,1,0
3898,DCX,1641,-0.168,1,0
3899,DCXR,51181,0.862,0.155,0
3900,DDA1,79016,-0.464,1,0
3901,DDAH1,23576,-0.864,0.262,0
3902,DDAH2,23564,-1.688,1,1
3903,DDB1,1642,0.188,1,0
3904,DDB2,1643,0.888,1,0
3905,DDC,1644,-0.414,1,0
3906,DDHD1,80821,0.736,1,0
3907,DDHD2,23259,-0.514,1,0
3908,DDI1,414301,-0.856,0.105,0
3909,DDI2,84301,-0.296,1,0
3910,DDIAS,220042,0.724,1,0
3911,DDIT3,1649,1.214,1,0
3912,DDIT4,54541,1.066,1,0
3913,DDIT4L,115265,-0.621,1,0
3914,DDN,23109,-0.582,1,0
3915,DDO,8528,1.095,1,0
3916,DDOST,1650,0.09,1,0
3917,DDR1,780,0.744,1,0
3918,DDR2,4921,0.672,1,0
3919,DDRGK1,65992,1.185,1,0
3920,DDT,1652,0.304,1,0
3921,DDTL,100037417,0.602,1,0
3922,DDX1,1653,-0.368,1,0
3923,DDX10,1662,-0.643,1,0
3924,DDX11,1663,0.48,1,0
3925,DDX12P,440081,-0.295,1,0
3926,DDX17,10521,-0.082,1,0
3927,DDX18,8886,0.376,1,0
3928,DDX19A,55308,-0.08,1,0
3929,DDX19B,11269,0.114,1,0
3930,DDX20,11218,-0.162,1,0
3931,DDX21,9188,0.12,1,0
3932,DDX23,9416,-0.578,1,0
3933,DDX24,57062,1.169,1,0
3934,DDX25,29118,0.118,1,0
3935,DDX27,55661,0.047,1,0
3936,DDX28,55794,0.692,1,0
3937,DDX31,64794,0.503,1,0
3938,DDX39A,10212,-2.092,1,1
3939,DDX39B,7919,0.416,1,0
3940,DDX3X,1654,-1.191,1,0.5
3941,DDX3Y,8653,0.173,1,0
3942,DDX4,54514,-0.018,0.599,0
3943,DDX41,51428,-1.75,1,1
3944,DDX42,11325,-0.042,1,0
3945,DDX43,55510,-0.872,1,0
3946,DDX46,9879,-0.63,1,0
3947,DDX47,51202,1.27,1,0
3948,DDX49,54555,-0.642,1,0
3949,DDX5,1655,0.383,1,0
3950,DDX50,79009,0.414,1,0
3951,DDX51,317781,-1.338,1,0.5
3952,DDX52,11056,0.239,1,0
3953,DDX53,168400,0.748,1,0
3954,DDX54,79039,-0.332,1,0
3955,DDX55,57696,0.44,1,0
3956,DDX56,54606,0.527,1,0
3957,DDX58,23586,-0.246,1,0
3958,DDX59,83479,1.153,1,0
3959,DDX6,1656,-0.928,1,0
3960,DDX60,55601,-0.307,1,0
3961,DEAF1,10522,0.904,1,0
3962,1-Dec,50514,0.595,1,0
3963,DECR1,1666,-0.408,1,0
3964,DECR2,26063,0.18,1,0
3965,DEDD,9191,-0.697,1,0
3966,DEDD2,162989,-0.138,1,0
3967,DEF6,50619,0.188,1,0
3968,DEF8,54849,0.004,1,0
3969,DEFA1,1667,0.518,1,0
3970,DEFA3,1668,2.016,1,0
3971,DEFA4,1669,0.258,1,0
3972,DEFA5,1670,1.252,1,0
3973,DEFA6,1671,0.724,1,0
3974,DEFB1,1672,0.53,1,0
3975,DEFB103A,414325,0.361,1,0
3976,DEFB103B,55894,0.81,1,0
3977,DEFB104A,140596,0.97,1,0
3978,DEFB104B,503618,-1.115,1,0.5
3979,DEFB105A,245908,-0.537,1,0
3980,DEFB105B,504180,-0.328,1,0
3981,DEFB106A,245909,-0.114,1,0
3982,DEFB106B,503841,0.382,1,0
3983,DEFB107A,245910,0.02,1,0
3984,DEFB107B,503614,0.206,1,0
3985,DEFB108B,245911,-0.17,1,0
3986,DEFB110,245913,1.614,1,0
3987,DEFB112,245915,-0.632,1,0
3988,DEFB113,245927,-0.426,0.647,0
3989,DEFB114,245928,-1.53,1,0.5
3990,DEFB115,245929,1.147,1,0
3991,DEFB116,245930,-1.248,1,0.5
3992,DEFB118,117285,-0.621,1,0
3993,DEFB119,245932,-0.445,1,0
3994,DEFB121,245934,0.443,1,0
3995,DEFB123,245936,-0.472,1,0
3996,DEFB124,245937,0.041,1,0
3997,DEFB125,245938,-0.423,1,0
3998,DEFB126,81623,1.276,1,0
3999,DEFB127,140850,0.23,1,0
4000,DEFB128,245939,0.038,1,0
4001,DEFB129,140881,0.127,1,0
4002,DEFB130A,245940,0.169,1,0
4003,DEFB131A,644414,0.736,1,0
4004,DEFB132,400830,0.066,1,0
4005,DEFB134,613211,-0.424,1,0
4006,DEFB135,613209,-0.281,1,0
4007,DEFB136,613210,-0.831,1,0
4008,DEFB4A,1673,0.114,1,0
4009,DEGS1,8560,-0.196,1,0
4010,DEGS2,123099,0.1,1,0
4011,DEK,7913,1.224,1,0
4012,DELE1,9812,-0.828,1,0
4013,DENND1A,57706,-0.328,1,0
4014,DENND1B,163486,0.204,1,0
4015,DENND1C,79958,-1.895,1,1
4016,DENND2A,27147,0.464,1,0
4017,DENND2C,163259,-0.432,1,0
4018,DENND2D,79961,0.431,1,0
4019,DENND3,22898,-0.528,1,0
4020,DENND4A,10260,1.177,1,0
4021,DENND4C,55667,0.359,1,0
4022,DENND5A,23258,1.58,1,0
4023,DENND5B,160518,0.202,1,0
4024,DENND6A,201627,-0.58,1,0
4025,DENND6B,414918,1.464,1,0
4026,DENR,8562,-0.712,1,0
4027,DEPDC1B,55789,0.135,1,0
4028,DEPDC4,120863,-0.35,1,0
4029,DEPDC5,9681,-0.872,1,0
4030,DEPDC7,91614,0.04,1,0
4031,DEPP1,11067,-0.194,1,0
4032,DEPTOR,64798,0.422,1,0
4033,DERA,51071,-1.246,1,0.5
4034,DERL1,79139,-0.678,1,0
4035,DERL2,51009,-1.793,1,1
4036,DERL3,91319,-0.525,1,0
4037,DES,1674,-0.112,1,0
4038,DESI1,27351,1.818,1,0
4039,DESI2,51029,0.409,1,0
4040,DET1,55070,-1.151,1,0.5
4041,DEUP1,159989,-0.016,1,0
4042,DEXI,28955,0.062,1,0
4043,DFFA,1676,0.11,1,0
4044,DFFB,1677,0.693,1,0
4045,DGAT1,8694,1.798,1,0
4046,DGAT2,84649,-0.812,1,0
4047,DGAT2L6,347516,-0.339,0.363,0
4048,DGCR2,9993,-0.254,1,0
4049,DGCR6,8214,-0.095,1,0
4050,DGCR6L,85359,-0.2,1,0
4051,DGCR8,54487,-0.108,1,0
4052,DGKA,1606,1.217,1,0
4053,DGKB,1607,-0.764,1,0
4054,DGKD,8527,0.691,1,0
4055,DGKE,8526,-1.234,1,0.5
4056,DGKG,1608,-0.279,1,0
4057,DGKH,160851,0.282,1,0
4058,DGKI,9162,-0.004,1,0
4059,DGKK,139189,-0.876,1,0
4060,DGKQ,1609,-0.548,1,0
4061,DGKZ,8525,-1.51,0.511,0.5
4062,DGLUCY,80017,-0.184,1,0
4063,DGUOK,1716,-0.358,1,0
4064,DHCR24,1718,0.04,1,0
4065,DHCR7,1717,0.799,1,0
4066,DHDDS,79947,-0.432,0.654,0
4067,DHDH,27294,-0.546,1,0
4068,DHFR,1719,1.13,1,0
4069,DHFR2,200895,0.9,0.754,0
4070,DHH,50846,1.334,1,0
4071,DHODH,1723,1.302,1,0
4072,DHPS,1725,1.376,1,0
4073,DHRS1,115817,0.694,1,0
4074,DHRS11,79154,-0.306,1,0
4075,DHRS12,79758,0.098,1,0
4076,DHRS13,147015,-1.017,1,0.5
4077,DHRS2,10202,0.116,1,0
4078,DHRS3,9249,1.418,1,0
4079,DHRS4,10901,0.462,1,0
4080,DHRS4L1,728635,0.326,1,0
4081,DHRS4L2,317749,-0.84,1,0
4082,DHRS7,51635,-1.37,1,0.5
4083,DHRS7B,25979,0.473,1,0
4084,DHRS9,10170,0.677,1,0
4085,DHRSX,207063,0.777,1,0
4086,DHTKD1,55526,-0.496,1,0
4087,DHX15,1665,0.214,1,0
4088,DHX16,8449,2.433,1,0
4089,DHX29,54505,0.17,1,0
4090,DHX30,22907,0.506,1,0
4091,DHX32,55760,2.096,1,0
4092,DHX33,56919,-0.68,1,0
4093,DHX34,9704,0.883,1,0
4094,DHX35,60625,0.26,1,0
4095,DHX36,170506,-0.714,1,0
4096,DHX37,57647,0.932,1,0
4097,DHX38,9785,1.256,1,0
4098,DHX40,79665,-0.866,1,0
4099,DHX57,90957,-0.76,1,0
4100,DHX58,79132,0.018,1,0
4101,DHX8,1659,0.834,1,0
4102,DHX9,1660,-0.603,1,0
4103,DIABLO,56616,-0.796,1,0
4104,DIAPH1,1729,-0.72,1,0
4105,DIAPH2,1730,0.23,1,0
4106,DIAPH3,81624,0.111,1,0
4107,DICER1,23405,-0.391,1,0
4108,DIDO1,11083,0.338,1,0
4109,DIMT1,27292,-1.116,1,0.5
4110,DIO1,1733,-0.612,1,0
4111,DIO2,1734,1.286,1,0
4112,DIO3,1735,1.99,1,0
4113,DIP2A,23181,0.512,1,0
4114,DIP2B,57609,0.762,1,0
4115,DIP2C,22982,0.576,1,0
4116,DIPK1A,388650,-0.052,1,0
4117,DIPK1B,138311,-1.619,1,0.5
4118,DIPK1C,125704,-1.073,1,0.5
4119,DIPK2A,205428,-0.901,1,0
4120,DIPK2B,79742,0.252,1,0
4121,DIRAS1,148252,-1.206,1,0.5
4122,DIRAS2,54769,0.801,1,0
4123,DIRAS3,9077,1.75,1,0
4124,DIRC1,116093,-0.284,1,0
4125,DIRC2,84925,-0.026,1,0
4126,DIS3,22894,0.252,1,0
4127,DIS3L,115752,-0.83,1,0
4128,DIS3L2,129563,0.474,1,0
