,GeneSymbol,EntrezID,Zscore,OffTarget_pValue,AssignedScore
144,ACER3,55331,0.52,1,0
145,ACHE,43,0.642,1,0
146,ACIN1,22985,-2.127,1,1
147,ACKR1,2532,-0.032,1,0
148,ACKR2,1238,0.098,1,0
149,ACKR3,57007,-0.027,1,0
150,ACKR4,51554,-0.222,1,0
151,ACLY,47,-0.62,1,0
152,ACMSD,130013,-0.76,1,0
153,ACO1,48,-0.242,1,0
154,ACO2,50,-3.282,1,1
155,ACOT1,641371,0.86,1,0
156,ACOT11,26027,-0.212,1,0
157,ACOT12,134526,0.788,1,0
158,ACOT13,55856,0.716,1,0
159,ACOT2,10965,-0.748,1,0
160,ACOT4,122970,-0.852,1,0
161,ACOT6,641372,-0.742,0.262,0
162,ACOT7,11332,0.119,1,0
163,ACOT8,10005,-0.117,1,0
164,ACOT9,23597,-0.472,1,0
165,ACOX1,51,-0.414,1,0
166,ACOX2,8309,1.258,1,0
167,ACOX3,8310,0.279,1,0
168,ACOXL,55289,0.737,1,0
169,ACP1,52,0.389,1,0
170,ACP2,53,1.371,1,0
171,ACP4,93650,-0.584,1,0
172,ACP5,54,-0.26,1,0
173,ACP6,51205,0.204,1,0
174,ACP7,390928,0.95,1,0
175,ACPP,55,-0.654,1,0
176,ACR,49,0.178,1,0
177,ACRBP,84519,-0.59,1,0
178,ACRV1,56,-2.635,0.417,1
179,ACSBG1,23205,0.998,1,0
180,ACSBG2,81616,-0.038,1,0
181,ACSF2,80221,0.296,1,0
182,ACSF3,197322,0.474,1,0
183,ACSL1,2180,0.452,1,0
184,ACSL3,2181,-0.095,1,0
185,ACSL4,2182,0.239,1,0
186,ACSL5,51703,-1.839,1,1
187,ACSL6,23305,-0.207,1,0
188,ACSM1,116285,-0.584,1,0
189,ACSM2A,123876,-0.124,1,0
190,ACSM2B,348158,0.584,1,0
191,ACSM3,6296,1.123,1,0
192,ACSM4,341392,-0.501,1,0
193,ACSM5,54988,-0.17,1,0
194,ACSM6,142827,-0.222,1,0
195,ACSS1,84532,0.062,1,0
196,ACSS2,55902,0.254,1,0
197,ACSS3,79611,-0.731,1,0
198,ACTA1,58,0.068,1,0
199,ACTA2,59,-1.544,1,0.5
200,ACTB,60,0.12,1,0
201,ACTBL2,345651,-0.43,1,0
202,ACTC1,70,0.748,1,0
203,ACTG1,71,-0.584,1,0
204,ACTG2,72,0.568,1,0
205,ACTL10,170487,0.252,1,0
206,ACTL6A,86,0.02,1,0
207,ACTL6B,51412,-0.324,1,0
208,ACTL7A,10881,-1.032,1,0.5
209,ACTL7B,10880,0.59,1,0
210,ACTL8,81569,0.273,1,0
211,ACTL9,284382,0.03,1,0
212,ACTN1,87,-0.333,1,0
213,ACTN2,88,-0.514,1,0
214,ACTN3,89,-0.859,1,0
215,ACTN4,81,-0.093,1,0
216,ACTR10,55860,-0.412,1,0
217,ACTR1A,10121,0.834,1,0
218,ACTR1B,10120,-0.075,1,0
219,ACTR2,10097,-2.595,1,1
220,ACTR3,10096,0.028,1,0
221,ACTR3B,57180,-0.462,1,0
222,ACTR5,79913,0.32,1,0
223,ACTR6,64431,0.038,1,0
224,ACTRT1,139741,-0.541,1,0
225,ACTRT2,140625,-1.052,1,0.5
226,ACTRT3,84517,-0.249,1,0
227,ACVR1,90,0.37,1,0
228,ACVR1B,91,-0.042,1,0
229,ACVR1C,130399,-0.039,1,0
230,ACVR2A,92,-0.534,1,0
231,ACVR2B,93,-0.5,1,0
232,ACVRL1,94,-1.49,1,0.5
233,ACY1,95,-0.252,0.155,0
234,ACY3,91703,0.178,1,0
235,ACYP1,97,0.548,1,0
236,ACYP2,98,0.482,1,0
237,ADA,100,-0.77,1,0
238,ADA2,51816,-0.159,1,0
239,ADAD1,132612,-0.466,1,0
240,ADAD2,161931,-0.413,0.596,0
241,ADAL,161823,0.787,1,0
242,ADAM10,102,0.684,1,0
243,ADAM11,4185,-1.599,1,0.5
244,ADAM12,8038,-1.237,1,0.5
245,ADAM15,8751,0.31,1,0
246,ADAM17,6868,-0.048,1,0
247,ADAM18,8749,-0.061,1,0
248,ADAM19,8728,0.314,1,0
249,ADAM2,2515,-0.836,1,0
250,ADAM20,8748,0.498,1,0
251,ADAM21,8747,-0.24,1,0
252,ADAM22,53616,1.242,1,0
253,ADAM23,8745,0.934,1,0
254,ADAM28,10863,-0.627,1,0
255,ADAM29,11086,-0.233,1,0
256,ADAM30,11085,-0.14,1,0
257,ADAM32,203102,0.266,1,0
258,ADAM33,80332,1.468,1,0
259,ADAM7,8756,0.292,1,0
260,ADAM8,101,0.138,1,0
261,ADAM9,8754,-1.077,1,0.5
262,ADAMDEC1,27299,0.813,1,0
263,ADAMTS1,9510,0.042,1,0
264,ADAMTS10,81794,-0.936,1,0
265,ADAMTS12,81792,0.148,1,0
266,ADAMTS13,11093,-0.28,1,0
267,ADAMTS14,140766,0.47,1,0
268,ADAMTS15,170689,0.251,1,0
269,ADAMTS16,170690,-1.248,0.779,0.5
270,ADAMTS17,170691,-0.758,1,0
271,ADAMTS18,170692,-0.35,1,0
272,ADAMTS19,171019,1.071,1,0
273,ADAMTS2,9509,0.728,1,0
274,ADAMTS20,80070,-0.67,1,0
275,ADAMTS3,9508,-0.834,1,0
276,ADAMTS4,9507,0.166,1,0
277,ADAMTS5,11096,-0.098,1,0
278,ADAMTS6,11174,-0.35,0.004,0
279,ADAMTS7,11173,-0.064,1,0
280,ADAMTS8,11095,0.243,1,0
281,ADAMTS9,56999,0.732,1,0
282,ADAMTSL1,92949,0.54,1,0
283,ADAMTSL2,9719,0.35,1,0
284,ADAMTSL3,57188,-0.251,1,0
285,ADAMTSL4,54507,0.101,1,0
286,ADAMTSL5,339366,0.768,1,0
287,ADAP1,11033,1.027,1,0
288,ADAP2,55803,0.898,1,0
289,ADAR,103,0.301,1,0
290,ADARB1,104,-0.953,1,0
291,ADARB2,105,-0.603,1,0
292,ADAT1,23536,0.44,1,0
293,ADAT2,134637,0.265,1,0
294,ADAT3,113179,-0.162,1,0
295,ADCK1,57143,0.464,1,0
296,ADCK2,90956,0.176,1,0
297,ADCK5,203054,1.053,1,0
298,ADCY1,107,-0.008,1,0
299,ADCY10,55811,0.815,1,0
300,ADCY2,108,0.989,1,0
301,ADCY3,109,1.313,1,0
302,ADCY4,196883,0.495,1,0
303,ADCY5,111,0.56,1,0
304,ADCY6,112,0.505,1,0
305,ADCY7,113,0.497,1,0
306,ADCY8,114,0.68,1,0
307,ADCY9,115,1.202,1,0
308,ADCYAP1,116,-0.1,1,0
309,ADCYAP1R1,117,-1.436,1,0.5
310,ADD1,118,0.672,1,0
311,ADD2,119,-0.802,1,0
312,ADD3,120,0.576,1,0
313,ADGRA1,84435,-1.732,1,0.5
314,ADGRA2,25960,0.548,1,0
315,ADGRA3,166647,0.858,1,0
316,ADGRB1,575,0.968,1,0
317,ADGRB2,576,0.728,1,0
