"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"IL1R2",7850,6,0.32852,0.91496,0.32129,0.48126,0.36021,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL1RAP",3556,6,0.63632,1.1516,0.35724,0.51701,0.24947,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL1RAPL1",11141,6,0.61168,0.83788,0.44472,0.59746,0.4021,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IL1RAPL2",26280,6,0.5839,1.0199,0.55252,0.69087,0.30779,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IL1RL1",9173,6,0.45563,0.68469,0.82859,0.89363,0.49354,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IL1RL2",8808,6,0.38934,0.81274,0.53468,0.67668,0.41636,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IL1RN",3557,6,0.32783,0.64354,0.31949,0.47936,0.51987,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IL2",3558,6,0.34186,0.66344,0.3612,0.52108,0.50705,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL20",50604,6,-0.024679,-0.06508,0.003088,0.019198,0.94811,0.98987,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL20RA",53832,6,0.32919,0.77175,0.32272,0.48253,0.44026,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL20RB",53833,6,0.35696,0.71467,0.41236,0.56936,0.47481,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL21",59067,6,0.25161,0.77659,0.15053,0.28637,0.4374,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL21R",50615,6,0.23216,0.61338,0.12306,0.25042,0.53962,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL22",50616,6,0.42213,0.85817,0.67212,0.7826,0.3908,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL22RA1",58985,6,0.20612,0.67957,0.088998,0.19955,0.49677,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL22RA2",116379,6,0.12533,0.35982,0.031387,0.097202,0.71898,0.95894,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL23A",51561,6,0.35423,0.99308,0.40259,0.56004,0.32067,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL23R",149233,6,0.093465,0.2272,0.019404,0.0693,0.82026,0.96856,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL24",11009,6,0.3257,0.96103,0.31451,0.47435,0.33653,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL25",64806,6,0.51324,0.86205,0.88173,0.92649,0.38866,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL26",55801,6,0.22111,0.62961,0.1072,0.22695,0.52895,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL27",246778,6,0.47025,0.97584,0.89865,0.93822,0.32915,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IL27RA",9466,6,0.40233,0.7343,0.59027,0.72172,0.46276,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL2RA",3559,6,0.26057,0.7186,0.16555,0.30596,0.47239,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL2RB",3560,6,0.085981,0.23717,0.017422,0.06445,0.81253,0.96741,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL2RG",3561,6,0.29323,0.88028,0.2304,0.38354,0.3787,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL3",3562,6,0.029117,0.10267,0.0072821,0.035174,0.91823,0.98232,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IL31",386653,6,0.12244,0.2325,0.030373,0.095162,0.81615,0.96741,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IL31RA",133396,6,0.36469,0.69926,0.43942,0.59269,0.48439,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IL32",9235,6,0.30569,0.58872,0.26077,0.41821,0.55605,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
