"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"A1BG",1,6,0.28614,0.9158,0.21464,0.3654,0.35977,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.21851,0.50948,0.10375,0.22195,0.61041,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.25171,0.70365,0.15071,0.28669,0.48165,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.19061,0.5149,0.073236,0.17439,0.60662,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.18041,0.41047,0.064387,0.15906,0.68146,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.47961,1.1909,0.94847,0.96883,0.23368,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GNT",51146,6,0.08692,0.27971,0.017744,0.065177,0.7797,0.96318,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.61103,0.97689,0.44688,0.59963,0.32862,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AACS",65985,6,0.32024,0.79632,0.30013,0.46002,0.42585,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC",13,6,0.33969,0.90922,0.35447,0.5141,0.36323,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.40935,0.83005,0.61903,0.74235,0.40651,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.39113,0.73998,0.54275,0.68322,0.45931,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.055232,0.16559,0.011476,0.048614,0.86848,0.97592,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.30392,0.904,0.25644,0.41323,0.366,0.95824,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AAED1",195827,6,0.29629,0.52013,0.23842,0.39317,0.60297,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,-0.28388,-1.0162,0,0,0.30952,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AAK1",22848,6,0.44629,0.82796,0.78734,0.86702,0.40769,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.10539,0.17501,0.02369,0.080037,0.86107,0.97403,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",14,6,-0.25231,-0.79604,0,0,0.42601,0.95824,"HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"AANAT",15,6,0.24962,0.65877,0.14749,0.28269,0.51004,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAR2",25980,6,0.0025075,0.0059376,0.004655,0.025486,0.99526,0.9995,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,6,0.24924,0.60055,0.14666,0.28137,0.54814,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,-0.37636,-1.2954,0,0,0.1952,0.95824,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Aminoacyl-tRNA biosynthesis"
"AARS2",57505,6,0.29723,0.64836,0.24072,0.39565,0.51675,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AARSD1",80755,6,0.31123,0.91197,0.27575,0.4351,0.36179,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",132949,6,0.47982,1.104,0.94962,0.96955,0.26959,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,6,0.40275,0.9709,0.59193,0.7229,0.3316,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.055503,0.13058,0.011522,0.048648,0.89611,0.98055,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AATF",26574,6,0.087061,0.23297,0.017744,0.065177,0.81579,0.96741,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,-0.25571,-0.84087,0,0,0.40042,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABAT",18,6,0.42241,0.83582,0.67373,0.78389,0.40326,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA1",19,6,0.2987,0.84232,0.24404,0.39929,0.39961,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.50398,1.048,0.92796,0.95694,0.29465,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.37828,0.83037,0.4903,0.63877,0.40633,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.34812,0.67521,0.38171,0.54052,0.49954,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,-0.025552,-0.062204,0.0029497,0.018508,0.9504,0.98998,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA3",21,6,-0.056124,-0.14986,0.0018897,0.013603,0.88088,0.97902,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.70805,1.2804,0.17122,0.31324,0.20041,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA5",23461,6,0.38955,1.0992,0.53583,0.67751,0.27168,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA6",23460,6,0.3604,0.78766,0.42457,0.58011,0.43089,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA7",10347,6,0.25545,0.59933,0.1568,0.29467,0.54895,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA8",10351,6,0.43089,1.2426,0.71374,0.81471,0.21403,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA9",10350,6,0.84418,1.1951,0.031709,0.097713,0.23204,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB1",5243,6,0.54371,0.81242,0.73471,0.82961,0.41655,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB10",23456,6,0.26103,0.67943,0.16652,0.3071,0.49686,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB11",8647,6,0.59361,0.7681,0.51403,0.65939,0.44243,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB4",5244,6,0.27199,0.56138,0.18726,0.33391,0.57454,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB5",340273,6,0.5205,1.2626,0.84311,0.90282,0.20674,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB6",10058,6,0.069424,0.21584,0.013504,0.05389,0.82911,0.96988,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB7",22,6,-0.25578,-0.7161,0,0,0.47393,0.95824,"HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf","No","MedConf","Yes","HighConf",NA
"ABCB8",11194,6,0.18308,0.44921,0.066691,0.16306,0.65328,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB9",23457,6,-0.057324,-0.24707,0.0017975,0.013252,0.80485,0.96525,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC1",4363,6,0.46549,0.88714,0.87602,0.92303,0.375,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC10",89845,6,0.22387,0.50855,0.11144,0.23376,0.61107,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC11",85320,6,0.51009,1.0696,0.89791,0.93785,0.2848,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC12",94160,6,0.68814,1.0684,0.21316,0.36392,0.28532,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC2",1244,6,0.33463,0.64314,0.34009,0.49997,0.52013,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC3",8714,6,0.31866,0.74166,0.29585,0.4558,0.4583,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC4",10257,6,0.49743,1.0267,0.96179,0.97651,0.30455,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC5",10057,6,0.15036,0.46327,0.043508,0.12187,0.64317,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC6",368,6,-0.1217,-0.32296,0.00059916,0.0061787,0.74672,0.96169,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC8",6833,6,0.090868,0.28179,0.018851,0.068212,0.7781,0.96318,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCC9",10060,6,0.3641,0.81177,0.43739,0.59084,0.41692,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD1",215,6,0.12249,0.36238,0.030373,0.095162,0.71707,0.9589,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD2",225,6,0.4349,1.1352,0.73277,0.8282,0.25629,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD3",5825,6,0.51771,1.0307,0.85763,0.91149,0.30267,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCD4",5826,6,0.50274,0.61558,0.93386,0.9601,0.53817,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCE1",6059,6,0.23219,0.52459,0.1231,0.25049,0.59987,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF1",23,6,0.025541,0.048003,0.0068212,0.033522,0.96171,0.99198,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF2",10061,6,0.35877,0.95772,0.419,0.57512,0.3382,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCF3",55324,6,0.45145,0.98635,0.80984,0.88168,0.32396,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABCG1",9619,6,0.17478,0.45795,0.060285,0.15216,0.64699,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG2",9429,6,0.22214,0.69185,0.10845,0.22905,0.48903,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG4",64137,6,0.33918,0.96311,0.35332,0.51336,0.33549,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG5",64240,6,0.81197,1.0102,0.050514,0.13412,0.31238,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCG8",64241,6,0.45419,0.90221,0.82182,0.88902,0.36695,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD1",84696,6,0.059228,0.1618,0.011799,0.049102,0.87146,0.97664,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD10",55347,6,0.44417,0.67963,0.77702,0.85958,0.49674,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD11",83451,6,-0.41379,-1.1728,0,0,0.24087,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABHD12",26090,6,0.57706,1.0931,0.58045,0.7133,0.27434,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD12B",145447,6,0.3566,0.90523,0.41075,0.56779,0.36535,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD13",84945,6,0.19646,0.49326,0.078674,0.183,0.62183,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14A",25864,6,0.20265,0.46547,0.08545,0.19426,0.6416,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD14B",84836,6,0.11556,0.48233,0.027193,0.08768,0.62957,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD15",116236,6,0.18628,0.66673,0.069226,0.16732,0.50494,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16A",7920,6,0.29752,0.70617,0.24114,0.39603,0.48008,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD16B",140701,6,-0.30979,-1.1394,0,0,0.25453,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABHD17A",81926,6,-0.12227,-0.27677,0.00059916,0.0061787,0.78196,0.96318,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17B",51104,6,0.25575,0.51672,0.15726,0.29531,0.60535,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD17C",58489,6,-0.045991,-0.16708,0.0021201,0.014744,0.86731,0.97529,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD2",11057,6,0.33172,0.87975,0.33037,0.49002,0.379,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD3",171586,6,0.46312,0.95216,0.8645,0.91551,0.34102,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD4",63874,6,0.32353,0.64301,0.30921,0.46926,0.52022,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABHD5",51099,6,0.17306,0.42228,0.058994,0.14974,0.67282,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD6",57406,6,0.39677,0.89239,0.56681,0.70254,0.37219,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABHD8",79575,6,0.19827,0.59462,0.080748,0.18642,0.55209,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI1",10006,6,0.66263,1.1157,0.27824,0.4378,0.26456,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI2",10152,6,0.9671,1.0238,0.0047472,0.025744,0.30595,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABI3",51225,6,0.32142,0.70633,0.3029,0.46256,0.47998,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABI3BP",25890,6,0.36723,0.83446,0.44956,0.6019,0.40402,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABL1",25,6,0.37137,0.94187,0.4638,0.61442,0.34626,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ABL2",27,6,0.14208,0.5051,0.038761,0.11236,0.61349,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM1",3983,6,-0.35377,-1.27,0,0,0.20409,0.95824,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABLIM2",84448,6,0.34775,0.90049,0.38028,0.5391,0.36786,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABLIM3",22885,6,0.49284,1.129,0.98428,0.9899,0.25889,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABO",28,6,-0.00029662,-0.0010932,0.0044707,0.024834,0.99913,0.99987,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABR",29,6,-0.013323,-0.026916,0.0037793,0.022301,0.97853,0.9955,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRA",137735,6,0.62781,0.87855,0.38614,0.5447,0.37964,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABRACL",58527,6,0.011422,0.040149,0.0053925,0.02822,0.96797,0.99274,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABT1",29777,6,-0.61389,-1.6876,0,0,0.091494,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABTB1",80325,6,0.076608,0.19811,0.015025,0.057904,0.84296,0.97167,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABTB2",25841,6,0.3633,1.1236,0.43416,0.58798,0.2612,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAA1",30,6,0.17418,0.50305,0.05987,0.15133,0.61493,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAA2",10449,6,0.40146,0.87869,0.5863,0.71854,0.37957,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACACA",31,6,0.11822,0.35273,0.028391,0.090562,0.72429,0.95946,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACACB",32,6,0.16326,0.52985,0.051251,0.13554,0.59622,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAD10",80724,6,-0.064422,-0.20545,0.0015209,0.01164,0.83722,0.97032,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAD11",84129,6,0.00088693,0.0027779,0.0046089,0.025361,0.99778,0.9997,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAD8",27034,6,0.12138,0.31006,0.029728,0.093791,0.75652,0.96206,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAD9",28976,6,0.43736,0.84719,0.74439,0.83667,0.39689,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACADL",33,6,0.19357,0.47783,0.07614,0.1791,0.63277,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACADM",34,6,0.38628,0.71111,0.52118,0.66525,0.47702,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACADS",35,6,0.017607,0.073975,0.0058533,0.029875,0.94103,0.9883,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACADSB",36,6,0.051023,0.1669,0.010554,0.045618,0.86745,0.97529,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACADVL",37,6,-0.42127,-1.1744,0,0,0.24024,0.95824,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ACAN",176,6,1.0962,1.1371,0.00055307,0.0058622,0.2555,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACAP1",9744,6,0.22507,0.54448,0.11338,0.23679,0.58611,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAP2",23527,6,0.3397,0.44802,0.35447,0.5141,0.65414,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAP3",116983,6,0.26983,0.60059,0.18302,0.3284,0.54812,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACAT1",38,6,0.34712,0.86992,0.37752,0.53624,0.38434,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACAT2",39,6,0.48393,1.1951,0.97013,0.98149,0.23203,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACBD3",64746,6,0.4696,1.0536,0.89556,0.93621,0.29206,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD4",79777,6,0.30979,0.73002,0.2717,0.4308,0.46538,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD5",91452,6,0.57129,1.2543,0.60571,0.73296,0.20973,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD6",84320,6,0.64395,0.94642,0.33217,0.49164,0.34393,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACBD7",414149,6,0.46032,1.0114,0.85049,0.90727,0.31185,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACCS",84680,6,0.49076,0.90253,0.99562,0.99668,0.36677,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACCSL",390110,6,0.39484,0.76314,0.55837,0.69543,0.44538,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACD",65057,6,0.21788,0.62648,0.10287,0.22058,0.531,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACE",1636,6,0.26573,0.63125,0.175,0.31822,0.52788,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACE2",59272,6,0.17674,0.47429,0.061483,0.15415,0.63529,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER1",125981,6,0.34813,1.0997,0.38176,0.54052,0.27146,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER2",340485,6,0.28105,0.80886,0.20519,0.35522,0.4186,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACER3",55331,6,0.35676,0.83124,0.41139,0.56835,0.40584,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACHE",43,6,0.29667,0.67774,0.23934,0.3941,0.49794,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACIN1",22985,6,0.62496,1.0375,0.39618,0.55394,0.29949,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACKR2",1238,6,0.23385,0.65416,0.12559,0.25434,0.51301,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACKR3",57007,6,0.25398,0.86521,0.15458,0.2918,0.38693,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACKR4",51554,6,0.66105,0.96848,0.28211,0.44134,0.3328,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACLY",47,6,0.13159,0.3462,0.033922,0.10217,0.7292,0.95952,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"ACMSD",130013,6,0.3582,0.94818,0.41711,0.5734,0.34304,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACO1",48,6,-0.3267,-0.90235,0,0,0.36687,0.95824,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Biosynthesis of amino acids, Carbon metabolism, Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, 2-Oxocarboxylic acid metabolism"
"ACO2",50,6,-0.45366,-1.2603,0,0,0.20756,0.95824,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Biosynthesis of amino acids, Carbon metabolism, Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, 2-Oxocarboxylic acid metabolism"
"ACOT1",641371,6,0.26519,0.86622,0.1739,0.31693,0.38637,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT11",26027,6,0.1458,0.4237,0.041066,0.11727,0.67178,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOT12",134526,6,-0.1775,-0.47458,0.00018436,0.0024067,0.63509,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT13",55856,6,-0.056913,-0.1883,0.0017975,0.013252,0.85064,0.97272,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOT2",10965,6,0.15703,0.34957,0.047656,0.12953,0.72666,0.95952,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT4",122970,6,0.38965,0.7045,0.53639,0.67805,0.48112,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT6",641372,6,0.25663,0.64928,0.15887,0.29762,0.51616,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOT7",11332,6,0.18868,0.5372,0.071577,0.17145,0.59113,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT8",10005,6,0.30155,1.0418,0.25114,0.40758,0.29748,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOT9",23597,6,0.29188,0.70388,0.228,0.38089,0.48151,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACOX1",51,6,0.23437,0.78481,0.12619,0.25493,0.43256,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOX2",8309,6,0.027328,0.11328,0.0071899,0.035009,0.90981,0.98161,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOX3",8310,6,0.84237,1.0015,0.032447,0.099267,0.31656,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACOXL",55289,6,0.29519,0.78885,0.23492,0.38867,0.4302,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACP1",52,6,0.40663,0.84679,0.60847,0.735,0.39711,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACP2",53,6,-0.10626,-0.2385,0.00082961,0.0078057,0.81149,0.96707,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACP5",54,6,0.23279,0.52191,0.12416,0.25218,0.60174,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ACP6",51205,6,0.47236,1.0696,0.91082,0.94634,0.28482,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ACPP",55,6,0.28258,0.46723,0.20768,0.35759,0.64033,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
