"","name","imports","weights","datasource","Confidence"
"1","1.ACIN1","4.SLC3A2",774,"experimental","High"
"2","1.ACIN1","4.BCAS2",503,"experimental","High"
"3","1.ACIN1","4.SON",442,"experimental","High"
"4","1.ACIN1","4.SAFB",429,"experimental","High"
"5","1.ACIN1","4.SRPK2",612,"experimental","High"
"6","1.EIF2S1","4.YBX1",503,"experimental","High"
"7","1.EIF2S1","4.RPL23A",900,"database","High"
"8","1.EIF2S1","4.RPS2",900,"database","High"
"9","1.EIF2S1","4.RPS8",900,"database","High"
"10","1.EIF2S1","4.RPL19",900,"database","High"
"11","1.EIF2S1","4.EIF2AK2",900,"database","High"
"12","1.EIF2S1","4.RPL27",900,"database","High"
"13","1.EIF2S1","4.RPS27A",900,"database","High"
"14","1.EIF2S1","4.RPL4",900,"database","High"
"15","1.EIF2S1","4.RPLP2",900,"database","High"
"16","1.EIF2S1","4.RPL3",900,"database","High"
"17","1.EIF2S1","4.RPL24",900,"database","High"
"18","1.EIF2S1","4.RPL31",900,"database","High"
"19","1.EIF2S1","4.RPL26L1",900,"database","High"
"20","1.EIF2S1","4.RPL3L",900,"database","High"
"21","1.EIF2S1","4.RPL32",900,"database","High"
"22","1.EIF2S1","4.EIF4H",900,"database","High"
"23","1.EIF2S1","4.MAX",900,"database","High"
"24","1.EIF2S1","4.RPL37",900,"database","High"
"25","1.EIF2S1","4.DNTTIP1",417,"experimental","High"
"26","1.EIF2S1","4.RPL36AL",900,"database","High"
"27","1.EIF2S2","4.RPL23A",900,"database","High"
"28","1.EIF2S2","4.RPS2",900,"database","High"
"29","1.EIF2S2","4.RPS8",900,"database","High"
"30","1.EIF2S2","4.RPL19",900,"database","High"
"31","1.EIF2S2","4.EIF2AK2",900,"database","High"
"32","1.EIF2S2","4.RPL27",900,"database","High"
"33","1.EIF2S2","4.RPS27A",900,"database","High"
"34","1.EIF2S2","4.RPL4",900,"database","High"
"35","1.EIF2S2","4.RPLP2",900,"database","High"
"36","1.EIF2S2","4.RPL3",900,"database","High"
"37","1.EIF2S2","4.RPL24",900,"database","High"
"38","1.EIF2S2","4.RPL31",900,"database","High"
"39","1.EIF2S2","4.RPL26L1",900,"database","High"
"40","1.EIF2S2","4.RPL3L",900,"database","High"
"41","1.EIF2S2","4.RPL32",900,"database","High"
"42","1.EIF2S2","4.CDC5L",417,"experimental","High"
"43","1.EIF2S2","4.C9orf72",534,"experimental","High"
"44","1.EIF2S2","4.EIF4H",900,"database","High"
"45","1.EIF2S2","4.RPL37",900,"database","High"
"46","1.EIF2S2","4.RPL36AL",900,"database","High"
"47","1.EIF2S2","4.RD3",429,"experimental","High"
"48","1.EIF2S3","4.RPL23A",900,"database","Medium"
"49","1.EIF2S3","4.RPS2",900,"database","Medium"
"50","1.EIF2S3","4.RPS8",900,"database","Medium"
"51","1.EIF2S3","4.RPL19",900,"database","Medium"
"52","1.EIF2S3","4.EIF2AK2",900,"database","Medium"
"53","1.EIF2S3","4.RPL27",900,"database","Medium"
"54","1.EIF2S3","4.RPS27A",900,"database","Medium"
"55","1.EIF2S3","4.RPL4",900,"database","Medium"
"56","1.EIF2S3","4.RPLP2",900,"database","Medium"
"57","1.EIF2S3","4.RPL3",900,"database","Medium"
"58","1.EIF2S3","4.RPL24",900,"database","Medium"
"59","1.EIF2S3","4.RPL31",900,"database","Medium"
"60","1.EIF2S3","4.RPL26L1",900,"database","Medium"
"61","1.EIF2S3","4.RPL3L",900,"database","Medium"
"62","1.EIF2S3","4.RPL32",900,"database","Medium"
"63","1.EIF2S3","4.EIF4H",900,"database","Medium"
"64","1.EIF2S3","4.RPL37",900,"database","Medium"
"65","1.EIF2S3","4.RPL36AL",900,"database","Medium"
"66","1.EIF3A","4.RPL23A",900,"database","High"
"67","1.EIF3A","4.RPS2",900,"database","High"
"68","1.EIF3A","4.RPS8",900,"database","High"
"69","1.EIF3A","4.RPL19",900,"database","High"
"70","1.EIF3A","4.PTBP1",900,"database","High"
"71","1.EIF3A","4.RPL27",900,"database","High"
"72","1.EIF3A","4.RPS27A",900,"database","High"
"73","1.EIF3A","4.RPL4",900,"database","High"
"74","1.EIF3A","4.RPLP2",900,"database","High"
"75","1.EIF3A","4.RPL3",900,"database","High"
"76","1.EIF3A","4.RPL24",900,"database","High"
"77","1.EIF3A","4.RPL31",900,"database","High"
"78","1.EIF3A","4.RPL26L1",900,"database","High"
"79","1.EIF3A","4.RPL3L",900,"database","High"
"80","1.EIF3A","4.RPL32",900,"database","High"
"81","1.EIF3A","4.COPS5",720,"database","High"
"82","1.EIF3A","4.EIF4H",900,"database","High"
"83","1.EIF3A","4.RPL37",900,"database","High"
"84","1.EIF3A","4.RPL36AL",900,"database","High"
"85","1.EIF3B","4.RPL23A",900,"database","Medium"
"86","1.EIF3B","4.RPS2",900,"database","Medium"
"87","1.EIF3B","4.RPS8",900,"database","Medium"
"88","1.EIF3B","4.RPL19",900,"database","Medium"
"89","1.EIF3B","4.RPL27",900,"database","Medium"
"90","1.EIF3B","4.RPS27A",900,"database","Medium"
"91","1.EIF3B","4.RPL4",900,"database","Medium"
"92","1.EIF3B","4.RPLP2",900,"database","Medium"
"93","1.EIF3B","4.RPL3",900,"database","Medium"
"94","1.EIF3B","4.RPL24",900,"database","Medium"
"95","1.EIF3B","4.RPL31",900,"database","Medium"
"96","1.EIF3B","4.RPL26L1",900,"database","Medium"
"97","1.EIF3B","4.RPL3L",900,"database","Medium"
"98","1.EIF3B","4.RPL32",900,"database","Medium"
"99","1.EIF3B","4.COPS5",720,"database","Medium"
"100","1.EIF3B","4.MSH2",417,"experimental","Medium"
"101","1.EIF3B","4.EIF4H",900,"database","Medium"
"102","1.EIF3B","4.ATL3",417,"experimental","Medium"
"103","1.EIF3B","4.RPL37",900,"database","Medium"
"104","1.EIF3B","4.RPL36AL",900,"database","Medium"
"105","1.EIF3I","2.PSMC4",774,"experimental","Medium"
"106","1.EIF3I","2.PSMD7",774,"experimental","Medium"
"107","1.EIF3I","4.YBX1",417,"experimental","Medium"
"108","1.EIF3I","4.RPL23A",900,"database","Medium"
"109","1.EIF3I","4.WIPI2",506,"experimental","Medium"
"110","1.EIF3I","4.RPS2",900,"database","Medium"
"111","1.EIF3I","4.SLC3A2",417,"experimental","Medium"
"112","1.EIF3I","4.RPS8",900,"database","Medium"
"113","1.EIF3I","4.RPL19",900,"database","Medium"
"114","1.EIF3I","4.RPL27",900,"database","Medium"
"115","1.EIF3I","4.RPS27A",900,"database","Medium"
"116","1.EIF3I","4.RPL4",900,"database","Medium"
"117","1.EIF3I","4.RPLP2",900,"database","Medium"
"118","1.EIF3I","4.RPL3",900,"database","Medium"
"119","1.EIF3I","4.RPL24",900,"database","Medium"
"120","1.EIF3I","4.RPL31",900,"database","Medium"
"121","1.EIF3I","4.RPL26L1",900,"database","Medium"
"122","1.EIF3I","4.RPL3L",900,"database","Medium"
"123","1.EIF3I","4.RPL32",900,"database","Medium"
"124","1.EIF3I","4.COPS5",720,"database","Medium"
"125","1.EIF3I","4.EIF4H",900,"database","Medium"
"126","1.EIF3I","4.TRA2B",774,"experimental","Medium"
"127","1.EIF3I","4.RPL37",900,"database","Medium"
"128","1.EIF3I","4.PAAF1",774,"experimental","Medium"
"129","1.EIF3I","4.RPL36AL",900,"database","Medium"
"130","1.EIF3J","4.RPL23A",900,"database","Medium"
"131","1.EIF3J","4.RPS2",900,"database","Medium"
"132","1.EIF3J","4.RPS8",900,"database","Medium"
"133","1.EIF3J","4.RPL19",900,"database","Medium"
"134","1.EIF3J","4.RPL27",900,"database","Medium"
"135","1.EIF3J","4.RPS27A",900,"database","Medium"
"136","1.EIF3J","4.RPL4",900,"database","Medium"
"137","1.EIF3J","4.RPLP2",900,"database","Medium"
"138","1.EIF3J","4.RPL3",900,"database","Medium"
"139","1.EIF3J","4.RPL24",900,"database","Medium"
"140","1.EIF3J","4.RPL31",900,"database","Medium"
"141","1.EIF3J","4.RPL26L1",900,"database","Medium"
"142","1.EIF3J","4.RPL3L",900,"database","Medium"
"143","1.EIF3J","4.RPL32",900,"database","Medium"
"144","1.EIF3J","4.COPS5",720,"database","Medium"
"145","1.EIF3J","4.EIF4H",900,"database","Medium"
"146","1.EIF3J","4.RPL37",900,"database","Medium"
"147","1.EIF3J","4.RPL36AL",900,"database","Medium"
"148","1.EIF3J","3.CSNK2A2",594,"experimental","Medium"
"149","1.EIF4A1","4.RPL23A",900,"database","Medium"
"150","1.EIF4A1","4.RPS2",900,"database","Medium"
"151","1.EIF4A1","4.RPS8",900,"database","Medium"
"152","1.EIF4A1","4.RPL19",900,"database","Medium"
"153","1.EIF4A1","4.PTBP1",900,"database","Medium"
"154","1.EIF4A1","4.RPL27",900,"database","Medium"
"155","1.EIF4A1","4.RPS27A",900,"database","Medium"
"156","1.EIF4A1","4.RPL4",900,"database","Medium"
"157","1.EIF4A1","4.RPLP2",900,"database","Medium"
"158","1.EIF4A1","4.RPL3",900,"database","Medium"
"159","1.EIF4A1","4.RPL24",900,"database","Medium"
"160","1.EIF4A1","4.RPL31",900,"database","Medium"
"161","1.EIF4A1","4.RPL26L1",900,"database","Medium"
"162","1.EIF4A1","4.RPL3L",900,"database","Medium"
"163","1.EIF4A1","4.RPL32",900,"database","Medium"
"164","1.EIF4A1","4.NFYB",774,"experimental","Medium"
"165","1.EIF4A1","4.HSPA5",434,"experimental","Medium"
"166","1.EIF4A1","4.EIF4H",900,"database","Medium"
"167","1.EIF4A1","4.MAX",900,"database","Medium"
"168","1.EIF4A1","4.RPL37",900,"database","Medium"
"169","1.EIF4A1","4.EIF4E3",900,"database","Medium"
"170","1.EIF4A1","4.LAGE3",774,"experimental","Medium"
"171","1.EIF4A1","4.CNOT11",900,"database","Medium"
"172","1.EIF4A1","4.RPL36AL",900,"database","Medium"
"173","1.EIF4A1","4.PARN",900,"database","Medium"
"174","1.EIF4A1","2.PSMC4",900,"database","Medium"
"175","1.EIF4B","4.DDX39A",417,"experimental","Medium"
"176","1.EIF4B","4.RPL23A",900,"database","Medium"
"177","1.EIF4B","4.RPS2",900,"database","Medium"
"178","1.EIF4B","4.RPS8",900,"database","Medium"
"179","1.EIF4B","4.RPL19",900,"database","Medium"
"180","1.EIF4B","4.RPL27",900,"database","Medium"
"181","1.EIF4B","4.RPS27A",900,"database","Medium"
"182","1.EIF4B","4.RPL4",900,"database","Medium"
"183","1.EIF4B","4.RPLP2",900,"database","Medium"
"184","1.EIF4B","4.RPL3",900,"database","Medium"
"185","1.EIF4B","4.RPL24",900,"database","Medium"
"186","1.EIF4B","4.RPL31",900,"database","Medium"
"187","1.EIF4B","4.RPL26L1",900,"database","Medium"
"188","1.EIF4B","4.RPL3L",900,"database","Medium"
"189","1.EIF4B","4.RPL32",900,"database","Medium"
"190","1.EIF4B","4.ADPRHL1",614,"experimental","Medium"
"191","1.EIF4B","4.SFN",417,"experimental","Medium"
"192","1.EIF4B","4.EIF4H",900,"database","Medium"
"193","1.EIF4B","4.CFL1",417,"experimental","Medium"
"194","1.EIF4B","4.KBTBD7",620,"experimental","Medium"
"195","1.EIF4B","4.RPL37",900,"database","Medium"
"196","1.EIF4B","4.CNOT11",900,"database","Medium"
"197","1.EIF4B","4.DOHH",417,"experimental","Medium"
"198","1.EIF4B","4.RPL36AL",900,"database","Medium"
"199","1.EIF4B","4.PARN",900,"database","Medium"
"200","1.EIF4G1","2.PSMC4",900,"database","High"
"201","1.EIF4G1","4.RPL23A",900,"database","High"
"202","1.EIF4G1","4.RPS2",900,"database","High"
"203","1.EIF4G1","4.RPS8",900,"database","High"
"204","1.EIF4G1","4.RPL19",900,"database","High"
"205","1.EIF4G1","4.PTBP1",900,"database","High"
"206","1.EIF4G1","4.RPL27",900,"database","High"
"207","1.EIF4G1","4.RPS27A",900,"database","High"
"208","1.EIF4G1","4.RPL4",900,"database","High"
"209","1.EIF4G1","4.RPLP2",900,"database","High"
"210","1.EIF4G1","4.RPL3",900,"database","High"
"211","1.EIF4G1","4.RPL24",900,"database","High"
"212","1.EIF4G1","4.RPL31",900,"database","High"
"213","1.EIF4G1","4.RPL26L1",900,"database","High"
"214","1.EIF4G1","4.RPL3L",900,"database","High"
"215","1.EIF4G1","4.RPL32",900,"database","High"
"216","1.EIF4G1","4.UBB",900,"database","High"
"217","1.EIF4G1","4.PUS7",417,"experimental","High"
"218","1.EIF4G1","4.KIAA0020",417,"experimental","High"
"219","1.EIF4G1","4.POLE",417,"experimental","High"
"220","1.EIF4G1","4.EIF4H",900,"database","High"
"221","1.EIF4G1","4.DCTN4",417,"experimental","High"
"222","1.EIF4G1","4.MAX",900,"database","High"
"223","1.EIF4G1","4.UBC",900,"database","High"
"224","1.EIF4G1","4.RPL37",900,"database","High"
"225","1.EIF4G1","4.EIF4E3",900,"database","High"
"226","1.EIF4G1","4.CNOT11",900,"database","High"
"227","1.EIF4G1","4.RPL36AL",900,"database","High"
"228","1.EIF4G1","4.PARN",900,"database","High"
"229","1.EIF4G2","4.PTBP1",900,"database","High"
"230","1.EIF4G2","4.EIF4H",595,"experimental","High"
"231","1.EIF4G2","4.EIF4E3",900,"database","High"
"232","1.EIF4G2","4.POLDIP3",503,"experimental","High"
"233","1.NUP155","4.DDX39A",900,"database","Medium"
"234","1.NUP155","4.HSPA5",900,"database","Medium"
"235","1.NUP155","4.SRSF1",900,"database","Medium"
"236","1.NUP155","4.SRSF2",900,"database","Medium"
"237","1.NUP155","4.SRSF3",900,"database","Medium"
"238","1.NUP155","4.SNRPD3",900,"database","Medium"
"239","1.NUP155","4.TOP2A",900,"database","Medium"
"240","1.NUP155","4.KBTBD7",620,"experimental","Medium"
"241","1.NUP155","4.CCNB2",900,"database","Medium"
"242","1.NUP155","4.FYTTD1",900,"database","Medium"
"243","1.NUP155","4.CHTOP",900,"database","Medium"
"244","1.NUP155","4.BIRC5",900,"database","Medium"
"245","1.NUP155","4.POLDIP3",900,"database","Medium"
"246","1.NUP155","4.CDCA8",900,"database","Medium"
"247","1.NUP155","4.GCKR",900,"database","Medium"
"248","1.NUP155","4.HSPA13",900,"database","Medium"
"249","1.NUP155","4.LUZP4",900,"database","Medium"
"250","1.NUP188","4.DDX39A",900,"database","Medium"
"251","1.NUP188","4.HSPA5",900,"database","Medium"
"252","1.NUP188","4.SRSF1",900,"database","Medium"
"253","1.NUP188","4.SRSF2",900,"database","Medium"
"254","1.NUP188","4.SRSF3",900,"database","Medium"
"255","1.NUP188","4.SNRPD3",900,"database","Medium"
"256","1.NUP188","4.TOP2A",900,"database","Medium"
"257","1.NUP188","4.NDUFS4",503,"experimental","Medium"
"258","1.NUP188","4.CCNB2",900,"database","Medium"
"259","1.NUP188","4.FYTTD1",900,"database","Medium"
"260","1.NUP188","4.CHTOP",900,"database","Medium"
"261","1.NUP188","4.BIRC5",900,"database","Medium"
"262","1.NUP188","4.POLDIP3",900,"database","Medium"
"263","1.NUP188","4.CDCA8",900,"database","Medium"
"264","1.NUP188","4.GCKR",900,"database","Medium"
"265","1.NUP188","4.HSPA13",900,"database","Medium"
"266","1.NUP188","4.LUZP4",900,"database","Medium"
"267","1.NUP43","4.PPP2R5E",900,"database","Medium"
"268","1.NUP43","4.DDX39A",900,"database","Medium"
"269","1.NUP43","4.PPP2CB",900,"database","Medium"
"270","1.NUP43","4.RPL26L1",774,"experimental","Medium"
"271","1.NUP43","4.TPRKB",774,"experimental","Medium"
"272","1.NUP43","4.HSPA5",900,"database","Medium"
"273","1.NUP43","4.SRSF1",900,"database","Medium"
"274","1.NUP43","4.SRSF2",900,"database","Medium"
"275","1.NUP43","4.SRSF3",900,"database","Medium"
"276","1.NUP43","4.CENPO",900,"database","Medium"
"277","1.NUP43","4.PLK1",900,"database","Medium"
"278","1.NUP43","4.CDC42",900,"database","Medium"
"279","1.NUP43","4.SNRPD3",900,"database","Medium"
"280","1.NUP43","4.TOP2A",900,"database","Medium"
"281","1.NUP43","4.BUB1B",900,"database","Medium"
"282","1.NUP43","4.RAD21",900,"database","Medium"
"283","1.NUP43","4.MIS12",900,"database","Medium"
"284","1.NUP43","4.ITGB3BP",900,"database","Medium"
"285","1.NUP43","4.CCNB2",900,"database","Medium"
"286","1.NUP43","4.CENPH",900,"database","Medium"
"287","1.NUP43","4.CENPP",900,"database","Medium"
