"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"8394","400506",0.33,"KNOP1",0,1,"Absent",0.4,0.4,"0","0","0",0
"8395","400509",0.638,"NA",0,0.5,"Present",NA,0.055,"0","0","0",0
"8396","400555",-1.191,"ZC3H18-AS1",0,0,"Absent",0.278,0.278,"0","0","0",0.5
"8397","400566",-3.945,"C17orf97",0,1,"Absent",0.488,0.488,"HitbyZS","HitbyNA","HitbyCSA",1
"8398","400569",-0.309,"MED11",0,1,"Absent",0.165,0.165,"0","0","0",0
"8399","400576",-0.15,"LOC400576",0,1,"Absent",0.537,0.537,"0","0","0",0
"8400","400591",0.732,"C17orf102",0,0,"Absent",0.595,0.595,"0","0","0",0
"8401","400624",0.729,"FLJ45079",0,0,"Absent",0.879,0.879,"0","0","0",0
"8402","400629",-0.392,"TEX19",0,1,"Absent",0.156,0.156,"0","0","0",0
"8403","400668",-0.397,"PRSS57",0,1,"Absent",0.29,0.29,"0","0","0",0
"8404","400673",1.712,"VMAC",0,1,"Absent",0.802,0.802,"0","0","0",0
"8405","4007",-0.549,"PRICKLE3",0,1,"Absent",0.849,0.849,"0","0","0",0
"8406","400720",-0.445,"ZNF772",0,1,"Absent",0.401,0.401,"0","0","0",0
"8407","400735",-0.482,"PRAMEF4",0,1,"Absent",0.086,0.086,"0","0","0",0
"8408","400746",-0.392,"NCMAP",0,1,"Absent",0.811,0.811,"0","0","0",0
"8409","400757",2.21,"C1orf141",0,1,"Absent",0.681,0.681,"0","0","0",0
"8410","400793",2.187,"C1orf226",0,0,"Absent",0.612,0.612,"0","0","0",0
"8411","400798",1.195,"C1orf220",0,0,"Absent",0.423,0.423,"0","0","0",0
"8412","4008",1.158,"LMO7",0,1,"Present",0.371,0.371,"0","0","0",0
"8413","400818",-1.563,"NBPF9",0,1,"Absent",0.236,0.236,"0","0","0",0.5
"8414","400823",-0.54,"FAM177B",0,1,"Absent",0.038,0.038,"0","0","0",0
"8415","400830",-0.016,"DEFB132",0,1,"Absent",0.038,0.038,"0","0","0",0
"8416","400867",-0.732,"LOC400867",0,0,"Absent",0.51,0.51,"0","0","0",0
"8417","4009",-2.412,"LMX1A",0,1,"Absent",0.342,0.342,"HitbyZS","HitbyNA","HitbyCSA",1
"8418","400916",-1.386,"CHCHD10",0,1,"Absent",0.705,0.705,"0","0","0",0.5
"8419","400935",1.219,"IL17REL",0,1,"Absent",0.753,0.753,"0","0","0",0
"8420","400966",-0.685,"RGPD1",0,1,"Absent",0.365,0.365,"0","0","0",0
"8421","401",-0.609,"PHOX2A",0,1,"Absent",0.097,0.097,"0","0","0",0
"8422","4010",-0.137,"LMX1B",0,1,"Absent",0.563,0.563,"0","0","0",0
"8423","401024",-4.002,"FSIP2",0,1,"Absent",0.055,0.055,"HitbyZS","HitbyNA","HitbyCSA",1
"8424","401027",-0.488,"C2orf66",0,0,"Absent",0.04,0.04,"0","0","0",0
"8425","401036",0.99,"ASB18",0,1,"Absent",0.77,0.77,"0","0","0",0
"8426","401052",-0.036,"LOC401052",0,1,"Absent",0.735,0.735,"0","0","0",0
"8427","401067",-1.881,"IQCF3",0,0.5,"Absent",0.365,0.365,"HitbyZS","HitbyNA","HitbyCSA",1
"8428","401135",-0.017,"SYT14P1",0,0,"Absent",0.343,0.343,"0","0","0",0
"8429","401137",0.019,"PRR27",0,1,"Absent",0.043,0.043,"0","0","0",0
"8430","401138",0.942,"AMTN",0,0,"Absent",0.262,0.262,"0","0","0",0
"8431","401145",0.063,"CCSER1",0,1,"Absent",0.173,0.173,"0","0","0",0
"8432","401152",0.35,"C4orf3",0,1,"Absent",0.244,0.244,"0","0","0",0
"8433","401172",0.898,"FLJ33360",0,0,"Absent",0.449,0.449,"0","0","0",0
"8434","401190",-1.144,"RGS7BP",0,1,"Absent",0.008,0.008,"0","0","0",0
"8435","4012",1.108,"LNPEP",0,1,"Present",0.279,0.279,"0","0","0",0
"8436","401250",0.147,"MCCD1",0,0,"Absent",0.998,0.998,"0","0","0",0
"8437","401251",-0.398,"SAPCD1",0,1,"Absent",0.413,0.413,"0","0","0",0
"8438","401253",0.708,"LINC00336",0,1,"Absent",0.84,0.84,"0","0","0",0
"8439","401258",-0.365,"RAB44",0,1,"Absent",0.161,0.161,"0","0","0",0
"8440","401262",0.595,"CRIP3",0,0,"Absent",0.653,0.653,"0","0","0",0
"8441","401265",-0.264,"KLHL31",0,0,"Absent",0.133,0.133,"0","0","0",0
"8442","401271",0.465,"NA",0,0.5,"Present",NA,0.055,"0","0","0",0
"8443","4013",-0.496,"VWA5A",0,1,"Absent",0.742,0.742,"0","0","0",0
"8444","401387",0.592,"LRRD1",0,1,"Absent",0.311,0.311,"0","0","0",0
